Movie,Date Watched,Rating,Liked,Review
Everything & The Universe,08 Jan 2024,,True,
Him,06 Jan 2024,,False,
The Iron Claw,05 Jan 2024,★★★★½,True,"""ill probably be home by the time u get this"""
Theater Camp,01 Jan 2024,★★★★½,True,"justice for ""camp isnt home"". the oscars WISH the could handle the talent"
Passages,30 Dec 2023,,False,
Quiz Lady,29 Dec 2023,★★★,False,ken jennings wishes he was anne when he's really ron
Percy Jackson & the Olympians: The Lightning Thief,20 Dec 2023,★★★,False,on its own... fun and stupid. but after watching the new series and having actual story lore explained to me... ooooooh. had no clue how far off it was from the series
Razze pure,15 Dec 2023,,True,
Take Care of Maya,13 Dec 2023,★★★★,False,
Davey's Lullaby,12 Dec 2023,,False,
Play Date,11 Dec 2023,,False,
American Fiction,09 Dec 2023,★★★★,True,
Maestro,09 Dec 2023,★★★,False,"couldnt tell where it was going nor what it was trying to do. the technical aspects save so much of it but my GOD that script is ass. tho mr cooper,,, ur on the town segment makes me believe that u should be directing something golden age musical related. dont write it tho... let someone else take the pen"
The Holy Mountain,08 Dec 2023,★★★★,False,soooooo glad i have a psych degree... its not necessary but it does make my brain feel big
Eileen,08 Dec 2023,★★★★,True,"the score, cinematography, graphics *chefs kiss* glad they made rebecca the psychologist bc shes literally just like every other psych major out there"
The Boy and the Heron,07 Dec 2023,★★★★,True,"the ""ill be so lucky to have u"" moment really had me ready to curl up into fetal position"
Saltburn,06 Dec 2023,★★★,False,this was a 4.5 star until emerald fennell decided to do her thing in act 3. abolish all writing utensils from her hands PLS
The Hunger Games: The Ballad of Songbirds & Snakes,06 Dec 2023,★★★★½,True,having a degree plus an old hunger games addition... absolutely lethal combination. cant tell if i wanna read old thg fanfics or write a thesis.
May December,05 Dec 2023,★★★★½,True," ""when did it sink in?"" ""has it sunk in yet?""hate hate hate how this made me feel. forcing myself to watch a boy stuck in a mans body be so truly stuck and seemingly helpless in his situation bc hes never been able to process what has happened to him as it never ended. watching a woman who wants everyone to treat her as a naive, innocent girl take advantage of a child and still only think about herself.… "
Saved!,04 Dec 2023,★★★★★,True,
Surf's Up,01 Dec 2023,★★★★★,True,
Princess Mononoke,28 Nov 2023,★★★★½,False,
Cats,23 Nov 2023,★★★★★,True,
Pride & Prejudice,23 Nov 2023,★★★★★,True,
Class Action Park,22 Nov 2023,★★★,False,
Sydney G. James: How We See Us,17 Nov 2023,,True,
Seeds of Change,17 Nov 2023,,True,
American Pain,16 Nov 2023,★★★½,False,
Priscilla,15 Nov 2023,★★★★½,True,
The Killer,06 Nov 2023,★★★★,False,
House,31 Oct 2023,★★★★,False,
Perfect Blue,31 Oct 2023,★★★★★,True,
Anatomy of a Fall,29 Oct 2023,★★★★½,True,
Shin Godzilla,27 Oct 2023,★★★★★,True,
A Disturbance in the Force: How the Star Wars Holiday Special Happened,26 Oct 2023,★★★,False,
Translators,26 Oct 2023,,False,
The Teachers’ Lounge,25 Oct 2023,★★★★★,True,
The Housewife,24 Oct 2023,,False,
Bizarros Peixes das Fossas Abissais,24 Oct 2023,★★★,False,
sing.ai,24 Oct 2023,,False,
Foe,23 Oct 2023,★★★,False,
Killers of the Flower Moon,23 Oct 2023,★★★★½,False,
Fall to Grace,22 Oct 2023,,False,
Cure,09 Oct 2023,★★★★★,True,
Inside Job,04 Oct 2023,★★★★½,False,
The War Room,03 Oct 2023,★★★★★,False,
Capturing the Friedmans,28 Sep 2023,★★,False,
Uprising,26 Sep 2023,★★★★½,True,
Halloweentown,26 Sep 2023,★★★,False,
Stuck in the Suburbs,25 Sep 2023,★★,False,
Telemarketers,25 Sep 2023,★★★★,False,
Being Mary Tyler Moore,25 Sep 2023,★★★★,False,
Theater Camp,25 Sep 2023,★★★★½,True,"justice for ""camp isnt home"". the oscars WISH the could handle the talent"
Style Wars,19 Sep 2023,,False,
God's Not Dead 2,18 Sep 2023,,True,
Grey Gardens,13 Sep 2023,★★★½,False,
Seahorse: The Dad Who Gave Birth,13 Sep 2023,★★★,False,
Ginger Snaps,11 Sep 2023,★★★★★,True,
Showgirls,11 Sep 2023,★★★½,False,
The Sisterhood of the Traveling Pants,10 Sep 2023,★★★★½,False,
Bottoms,04 Sep 2023,★★★★★,True,
Penelope,01 Sep 2023,★★★★★,False,
D.E.B.S.,01 Sep 2023,★★★★½,False,
Fantastic Mr. Fox,17 Aug 2023,★★★★,False,
Oldboy,16 Aug 2023,★★★★,False,
Meg 2: The Trench,14 Aug 2023,★★★½,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,14 Aug 2023,★★★★,True,
The Meg,09 Aug 2023,★★★½,True,
Surf's Up,07 Aug 2023,★★★★★,True,
Barbie,04 Aug 2023,★★★★,True,
Barbie,21 Jul 2023,,True,
Oppenheimer,21 Jul 2023,★★★★★,True,
Sound of Metal,21 Jul 2023,★★★★½,True,
Drop Dead Gorgeous,17 Jul 2023,★★★★½,True,
Asteroid City,06 Jul 2023,★★★★,False,
Jersey Boys,06 Jul 2023,★★★★,False,
MLK/FBI,04 Jul 2023,★★★,False,
Dear Zachary: A Letter to a Son About His Father,04 Jul 2023,★★★★★,False,
Honk for Jesus. Save Your Soul.,03 Jul 2023,★★★,False,
Girl Picture,29 Jun 2023,★★★★★,True,
Saved!,27 Jun 2023,★★★★★,True,
Becoming Jane,26 Jun 2023,★★★,False,
The Princess Diaries,25 Jun 2023,★★★★,False,
Pusher II,18 Jun 2023,,False,
Past Lives,10 Jun 2023,★★★★½,True,
The Hating Game,03 Jun 2023,★★★,False,
The Little Mermaid,01 Jun 2023,★★★★,False,
BlackBerry,29 May 2023,★★★★,False,
Hillsong: A Megachurch Exposed,25 May 2023,,False,
Confessions of a Shopaholic,23 May 2023,★★★★★,False,
Bama Rush,23 May 2023,★★,False,
Scandalous: The Untold Story of the National Enquirer,23 May 2023,★★★,False,
Netizens,22 May 2023,★★½,False,
Los Angeles Plays Itself,22 May 2023,★★★,False,
Heaven's Gate: The Cult of Cults,18 May 2023,,False,
Yellowface: Asian Whitewashing and Racism in Hollywood,10 May 2023,,False,
In the Mood for Love,08 May 2023,★★★★½,False,
Pride & Prejudice,01 May 2023,★★★★★,True,
Speed,01 May 2023,★★★★★,True,
"Our Father, the Devil",24 Apr 2023,★★★½,False,
The Blue Caftan,24 Apr 2023,★★★½,False,
Beau Is Afraid,22 Apr 2023,★★★½,False,
A Compassionate Spy,21 Apr 2023,★★★½,False,
Stolen Youth: Inside the Cult at Sarah Lawrence,19 Apr 2023,,False,
Pretty Baby: Brooke Shields,17 Apr 2023,,False,
Love According to Dalva,14 Apr 2023,★★★★,False,
Showing Up,14 Apr 2023,★★★½,False,
Cairo Conspiracy,14 Apr 2023,★★★★,False,
The Hamlet Syndrome,14 Apr 2023,★★★½,False,
Blue Jean,13 Apr 2023,★★★★★,True,
Joyland,13 Apr 2023,★★★★½,False,
All the Beauty and the Bloodshed,08 Apr 2023,★★★★★,False,
