Movie,Date Watched,Rating,Liked,Review
Saltburn,14 Jan 2024,★★★★,True,"Gagged, GAGGED the whole way through. He gaslit, gatekeeped, girlbossed his way to the most iconic and camp scene I HAVE EVER SEEN in recent years."
Dune,14 Jan 2024,★★★★½,True,Duncan picking up Paul like a little kid always puts a smile on my face :)
Poison,14 Jan 2024,★★★★½,True,"GRIPPING my seat the whole time, phenomenal. I need more, Wes!! You can’t just leave me hanging like that… 🥲"
The Rat Catcher,14 Jan 2024,★★★½,False,I would’ve added an extra star for more stop motion. And here we are.
The Swan,14 Jan 2024,★★★★½,True,"This one had more impact on me than it should’ve. I was in awe after the final shot, leaving me to wallow in my feelings."
The Wonderful Story of Henry Sugar,14 Jan 2024,★★★★,False,The Wes Anderson-ism of it all fit Benedict and Dev extremely well. GOD I hope he incorporates them into the regular cast.
First Name: Carmen,13 Jan 2024,★★★½,False,"A heist with misogyny, sex, the French Judiciary system and Godard in his pyjamas at mental hospital. They might not seem connected, but I assure you they do."
"Butcher, Baker, Nightmare Maker",07 Jan 2024,★★½,True,Someone described this as a straight to vhs horror film that gets more unhinged as you go and I couldn’t agree more. I think I found a new one for group movie nights.
Menus Plaisirs – Les Troisgros,05 Jan 2024,★★★½,False,"I appreciate what this doc is doing by ultimately showing, not telling and having us ultimately get the full history at the very end. Despite that, I didn’t need to know that much about how to cook an animal brain."
National Lampoon's Christmas Vacation,02 Jan 2024,★★★★,True,My family watches this every year as a coping mechanism after visiting relatives.
Indiana Jones and the Last Crusade,02 Jan 2024,★★★★★,True,What a better way to celebrate Jesus’ birthday with the thrilling search for the cup that people drank his blood out of!  Best Christmas ever! 🙂👍
The Boy and the Heron,20 Dec 2023,★★★★,True,"Totally forgot to log this, but how did they animate this? Are these animators wizards or something???? "
Klaus,17 Dec 2023,★★★★½,True,
Clueless,05 Dec 2023,★★★★,False,
Zero Charisma,02 Dec 2023,★★½,False,
Violent Night,28 Nov 2023,★★★½,True,
Scott Pilgrim vs. the World,22 Nov 2023,★★★★★,True,
Scott Pilgrim Takes Off,20 Nov 2023,★★★★½,True,
Who Framed Roger Rabbit,13 Nov 2023,★★★★½,True,
Mother and Son,11 Nov 2023,★★★½,False,
Five Nights at Freddy's,05 Nov 2023,★★★,False,
Anatomy of a Fall,05 Nov 2023,★★★★½,False,
The Birdcage,03 Nov 2023,★★★★,True,
Trick 'r Treat,01 Nov 2023,★★★,False,
Addams Family Values,01 Nov 2023,★★★★,True,
Inhabitants,30 Oct 2023,★★★★½,True,
Robot Dreams,29 Oct 2023,★★★★★,True,
The Stars at Night,28 Oct 2023,★★★½,False,
The Veil,27 Oct 2023,★★★★,True,
Egghead & Twinkie,26 Oct 2023,★★★★½,False,
The Human Voice,26 Oct 2023,★★★★,False,
Strange Way of Life,26 Oct 2023,★★★★,False,
Farewell My Concubine,18 Oct 2023,★★★★★,False,
Nowhere,15 Oct 2023,★★★★,True,
Mami Wata,09 Oct 2023,★★★★½,True,
Typhoon Club,09 Oct 2023,★★★★,False,
P. P. Rider,05 Oct 2023,★★★★,False,
Past Lives,05 Oct 2023,★★★★★,True,
Over the Garden Wall,02 Oct 2023,★★★★★,True,
The Dark Knight,17 Sep 2023,★★★★½,False,
"Red, White & Royal Blue",29 Aug 2023,★★★½,True,
Batman: The Doom That Came to Gotham,24 Aug 2023,★★★½,False,
Blade Runner 2049,21 Aug 2023,★★★★★,True,
Barbie,13 Aug 2023,★★★★★,True,
Guardians of the Galaxy Vol. 3,03 Aug 2023,★★★★½,True,
Barbie,01 Aug 2023,★★★★★,True,
Oppenheimer,31 Jul 2023,★★★★★,True,
Puss in Boots: The Last Wish,18 Jul 2023,★★★★½,True,
Avengers: Infinity War,17 Jul 2023,★★★★½,False,
Spider-Man: Into the Spider-Verse,07 Jul 2023,★★★★★,True,
Rogue One: A Star Wars Story,25 Jun 2023,★★★★,True,
Star Trek Beyond,25 Jun 2023,★★★½,False,
Star Trek,25 Jun 2023,★★★★½,True,
Guardians of the Galaxy Vol. 2,20 Jun 2023,★★★★,False,
Guardians of the Galaxy,11 Jun 2023,★★★★,True,
Princess Mononoke,08 Jun 2023,★★★★½,True,
Spider-Man: Across the Spider-Verse,06 Jun 2023,★★★★★,True,
Ant-Man and the Wasp: Quantumania,04 Jun 2023,★★,False,
Shazam! Fury of the Gods,03 Jun 2023,★★★½,False,
Resident Evil: Retribution,20 May 2023,★½,False,
