Movie,Date Watched,Rating,Liked,Review
The Boy and the Heron,14 Jan 2024,★★★,False,
"Are You There God? It's Me, Margaret.",13 Jan 2024,★★★★½,False,"A scathing critique of religion in a coming of age story? I’m in cinematic heaven, if there even is one."
Society of the Snow,11 Jan 2024,★★★★½,False,
Firefly,06 Jan 2024,★★★½,False,Maybe the real fireflies are the friends we made along the way
GomBurZa,06 Jan 2024,★★★★★,False,"We may all know how this ends, but the film’s true power lies in its ability to pack an emotional punch beyond the historical facts."
Die Hard,04 Jan 2024,★★★½,False,
(500) Days of Summer,03 Jan 2024,★★★★½,False,The holy grail of contemporary romantic comedy. I’ve had an evolving relationship with this film since it first came out. I think it’s a testament to the film’s power that I went from being a Tom in my teens to fully empathizing with Summer now. 
Cocaine Bear,02 Jan 2024,★,False,
Peel,01 Jan 2024,★★★½,False,
Happy Together,01 Jan 2024,★★★★★,False,
A Haunting in Venice,31 Dec 2023,★½,False,
No One Will Save You,30 Dec 2023,★★★,False,
Fellow Travelers,30 Dec 2023,★★★★,False,
A Very Good Girl,27 Dec 2023,★★★½,False,
Taylor Swift: Reputation Stadium Tour,26 Dec 2023,★★★½,False,
The Front Runner,26 Dec 2023,★★½,False,
The Holdovers,25 Dec 2023,★★★★★,False,My new Christmas comfort film 🥺
"The Mall, The Merrier",25 Dec 2023,★★,False,This is what those Drag Race acting challenges try and fail to be. But Vice Ganda does it so effortlessly. I actually had a few laughs here and there.
Maestro,23 Dec 2023,★★★,False,A series of beautifully shot anecdotes that ultimately amount to nothing more than a showcase for Bradley Cooper’s and Carey Mulligan’s acting chops. Let me just go ahead and re-watch Tár.
Saltburn,22 Dec 2023,★★★,False,
Shadows in Paradise,21 Dec 2023,★★★★,False,Sometimes all you need in life is a job and a baddie to keep you on your toes.
Wonka,16 Dec 2023,★★★½,False,
Renaissance: A Film by Beyoncé,14 Dec 2023,★★★★★,False,"Leave it to Beyoncé to deliver something special beyond the music. This is more than just a concert film. It’s a stunning and powerful portrayal of Beyoncé’s humanity. “I’m not a machine, I’m human”, as she said herself. In fact she showed the humanity of everyone else involved in the making. And this goes to show, wow, what beautiful art humans can make."
Other Side of the Box,09 Dec 2023,★★★★½,False,
Escape Room,07 Dec 2023,★★★½,False,"I fully expected this to be bad, but it’s actually kinda good??? An unapologetic popcorn flick that left my jaw on the floor for the most of it. I love me some mindless viewing once in a while."
Stalled,07 Dec 2023,★★★★,False,
Bottoms,03 Dec 2023,★★★,False,
May December,02 Dec 2023,★★★★,False,
The Holdovers,01 Dec 2023,★★★★½,False,My new Christmas comfort film 🥺
The Match Factory Girl,29 Nov 2023,★★★★★,False,
Captain Coulier (Space Explorer),28 Nov 2023,★★★,False,
The Taste of Things,26 Nov 2023,★★★★,False,"Diegetically speaking, Eugenie and Dodin didn’t have any children. But this movie feels like a rebirth to me, and Juliette Binoche is my mother."
Poor Things,25 Nov 2023,★★★★★,False,
Tavern Man,22 Nov 2023,★★★★½,False,
Crime and Punishment,22 Nov 2023,★★★½,False,
The Killer,13 Nov 2023,★★★½,False,
Passages,09 Nov 2023,★★★★,False,
Fantastic Mr. Fox,31 Oct 2023,★★★★½,False,
Anatomy of a Fall,30 Oct 2023,★★★★½,False,
El Conde,22 Oct 2023,★★★½,False,
Killers of the Flower Moon,21 Oct 2023,★★★★,False,
Bear,16 Oct 2023,★★★,False,
Fair Play,15 Oct 2023,★★★½,False,
Taylor Swift: The Eras Tour,14 Oct 2023,★★★★★,False,
The Shawshank Redemption,12 Oct 2023,★★★★★,False,
The Exorcist,08 Oct 2023,★★★★,False,
Strange Way of Life,05 Oct 2023,★★★,False,
Truth in Advertising,23 Sep 2023,★★★½,False,
Rate Me,23 Sep 2023,★★★½,False,
Koyaanisqatsi,20 Sep 2023,★★★★½,False,
Everything Everywhere All at Once,15 Sep 2023,★★★★★,False,
Her,11 Sep 2023,★★★★★,True,
Summer Hours,08 Sep 2023,★★★★½,False,
Call Me by Your Name,06 Sep 2023,★★★★★,False,
Past Lives,02 Sep 2023,★★★★★,False,
The Net,27 Aug 2023,★★★½,False,
Third World Romance,25 Aug 2023,★★★★,False,
The Apartment,24 Aug 2023,★★★★★,True,
"Red, White & Royal Blue",16 Aug 2023,★★★,False,
Talk to Me,11 Aug 2023,★★★★,False,
Secrets & Lies,08 Aug 2023,★★★★★,False,
Easy Rider,01 Aug 2023,★★★½,False,
Bicycle Thieves,24 Jul 2023,★★★★★,False,
Oppenheimer,23 Jul 2023,★★★★½,False,
Barbie,23 Jul 2023,★★★★,False,
Citizen Kane,17 Jul 2023,★★★★★,False,
Black Mirror: Loch Henry,17 Jun 2023,★★★★½,False,
Black Mirror: Joan Is Awful,15 Jun 2023,★★★★,False,
In My Life,12 Jun 2023,★★★★,False,
BlackBerry,08 Jun 2023,★★★★½,False,
La La Land,07 Jun 2023,★★★★★,False,
Soul Kitchen,05 Jun 2023,★★★½,False,
Spider-Man: Across the Spider-Verse,03 Jun 2023,★★★★½,False,
Mama Susan's Friends,21 May 2023,★,False,
Air,13 May 2023,★★★½,False,
Miss Bulalacao,29 Apr 2023,★★★★,False,
The Firm,28 Apr 2023,★★★★½,False,
Love & Other Drugs,27 Apr 2023,★★★½,False,
A Short History of a Few Bad Things,26 Apr 2023,★★★½,False,
Hunger,25 Apr 2023,★★★,False,
Pera o Bayong (Not da TV),22 Apr 2023,★★,False,
Here Comes the Groom,16 Apr 2023,★★★★,False,
About Us But Not About Us,15 Apr 2023,★★★½,False,
"Terry Tate, Office Linebacker",13 Apr 2023,★★★,False,
Sit in Silence,13 Apr 2023,★★★,False,
Table 7,13 Apr 2023,★★★½,False,
Om,11 Apr 2023,★★,False,
Notes on a Scandal,07 Apr 2023,★★★★,False,
The Nice Guys,05 Apr 2023,★★★½,False,
"sex, lies, and videotape",20 Mar 2023,★★★★,False,
Leonor Will Never Die,17 Mar 2023,★★★★½,False,
Suzume,11 Mar 2023,★★★½,False,
The Fabelmans,04 Mar 2023,★★★★,False,
Crying Ladies,02 Mar 2023,★★★★,False,
Cigarettes & Coffee,01 Mar 2023,★★★★,False,
The Whale,25 Feb 2023,★★★,False,
Women Talking,21 Feb 2023,★★★★,False,
The Wonder,20 Feb 2023,★★★½,False,
All the Crows in the World,19 Feb 2023,★★★,False,
Minority Report,17 Feb 2023,★★★★½,False,
Ten Little Mistresses,15 Feb 2023,★★★½,False,
I Do Bidoo Bidoo: Heto nApo sila!,09 Feb 2023,★★★,False,
Knock at the Cabin,05 Feb 2023,★★★★,False,
Babylon,04 Feb 2023,★★★★½,False,
Don't Worry Darling,01 Feb 2023,★★,False,
Nocebo,18 Jan 2023,★★★★,False,
Aftersun,15 Jan 2023,★★★★½,False,
Rachel Getting Married,12 Jan 2023,★★★★,False,
M3GAN,08 Jan 2023,★★★½,False,
Deleter,03 Jan 2023,★★,False,
Nanahimik ang Gabi,03 Jan 2023,★★★★½,False,
Lady Bird,01 Jan 2023,★★★★★,False,
Folklore: The Long Pond Studio Sessions,01 Jan 2023,★★★½,False,
All Quiet on the Western Front,29 Dec 2022,★★★½,False,
TÁR,28 Dec 2022,★★★★,False,
The Only Living Boy in New York,27 Dec 2022,★,False,
Kendrick Lamar's The Big Steppers Tour: Live from Paris,26 Dec 2022,★★★★,False,
A Trip to the Moon,25 Dec 2022,,False,
The Banshees of Inisherin,24 Dec 2022,★★★★½,False,
The Fabelmans,24 Dec 2022,★★★½,False,
Glass Onion,23 Dec 2022,★★★★,False,
Avatar: The Way of Water,19 Dec 2022,★★★★,False,
Ready or Not,17 Dec 2022,★★★★,False,
RRR,11 Dec 2022,★★★★,False,
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",04 Dec 2022,★★★★½,False,
Triangle of Sadness,30 Nov 2022,★★★★½,False,
James White,29 Nov 2022,★★★★½,False,
She Said,27 Nov 2022,★★★,False,
Bones and All,26 Nov 2022,★★★½,False,
Black Panther: Wakanda Forever,20 Nov 2022,★★★½,False,
The Menu,19 Nov 2022,★★★★★,False,
Starfuckers,10 Nov 2022,★★★★,False,
Diary of a Country Priest,09 Nov 2022,★★★½,False,
"Oslo, August 31st",08 Nov 2022,★★★★★,False,
Black Narcissus,06 Nov 2022,★★★★,False,
Maurice,06 Nov 2022,★★★★½,False,
My Cousin Vinny,05 Nov 2022,★★★★,False,
Midnight Mass,03 Nov 2022,★★★★★,False,
Saw,31 Oct 2022,★★★½,False,
Barbarian,30 Oct 2022,★★★★,False,
Gerald's Game,28 Oct 2022,★★★½,False,
Hush,23 Oct 2022,★★★,False,
Alma,15 Oct 2022,★★★,False,
Jawbreaker,13 Oct 2022,★★★½,False,
A Serious Man,11 Oct 2022,★★★★,False,
The Third Man,08 Oct 2022,★★★★½,False,
