Movie,Date Watched,Rating,Liked,Review
Dave Chappelle: The Dreamer,09 Jan 2024,,False,
Bitconned,08 Jan 2024,,False,
Vertigo,29 Dec 2023,,True,
White Noise,27 Dec 2023,,False,
The Son,27 Dec 2023,,False,
Ricky Gervais: Armageddon,27 Dec 2023,,False,
The Man Who Knew Too Much,27 Dec 2023,,False,
Foreign Correspondent,27 Dec 2023,,False,
Rear Window,25 Dec 2023,,True,
Rope,25 Dec 2023,,False,
Chris Rock: Bring the Pain,25 Dec 2023,,False,
Chris Rock: Big Ass Jokes,25 Dec 2023,,True,
Kevin Hart & Chris Rock: Headliners Only,25 Dec 2023,,False,
Heat,24 Dec 2023,,False,
Dunki,23 Dec 2023,,False,
Trevor Noah: Where Was I,23 Dec 2023,,False,
The Weavers of Nishijin,19 Dec 2023,,False,
That Night's Wife,19 Dec 2023,,True,
Equinox Flower,18 Dec 2023,,True,
Tauw,15 Dec 2023,,False,— How old are you?— Same age as our independence.
Blade,12 Dec 2023,★★★★½,True,
May December,11 Dec 2023,★★★★½,True,
The Prestige,09 Dec 2023,,True,
The Swan,08 Dec 2023,,False,
The Wonderful Story of Henry Sugar,08 Dec 2023,,True,
Gehraiyaan,07 Dec 2023,,False,"Okay, this movie convinced me that I need a yacht. Now what"
Niaye,06 Dec 2023,,True,
Friday Night Plan,03 Dec 2023,,True,
Umrika,02 Dec 2023,,True,
Like Twenty Impossibles,30 Nov 2023,,False,
Tu Jhoothi Main Makkaar,23 Nov 2023,★,False,
The Substitute,22 Nov 2023,,True,
Cities of Last Things,21 Nov 2023,,False,
The Railway Men - The Untold Story of Bhopal 1984,20 Nov 2023,,True,
Zwigato,15 Nov 2023,,True,India mein sab allowed!
The Discoverer of the Discoverers,14 Nov 2023,,False,
The Scorpion,14 Nov 2023,,False,
Under One Roof,14 Nov 2023,,False,
When The Earth Rusted,13 Nov 2023,,False,
The Song,13 Nov 2023,,False,
Clement Town,13 Nov 2023,,False,
Birdsong,13 Nov 2023,,False,"Life is so difficult since my wife passed away. I can no longer find her anywhere. Nobody else would speak to me as sweetly as her. The birdsongs remind me of my wife’s voice, like she is calling me. So I play my flute and hope she replies to me, says “Darling, I am here,” and wipes my tears."
The Landscape of Sanatoriums,13 Nov 2023,,False,
"The Old, the New and the Other",13 Nov 2023,,False,
In The Forest One Thing Can Look Like Another,13 Nov 2023,,False,
Last Days of Summer,12 Nov 2023,,False,
Yellow,11 Nov 2023,,True,
The Poplar Trees,11 Nov 2023,,False,
Roads,11 Nov 2023,,True,
Precious. Rare. For Sale.,11 Nov 2023,,False,
Mountain Man,11 Nov 2023,,False,
Stay Quiet,11 Nov 2023,,True,
Tam-Bram Cooking,11 Nov 2023,,False,
This is TMI,11 Nov 2023,,False,
mmm,11 Nov 2023,,False,
Apat,11 Nov 2023,,False,
Frontiers of Dreams and Fears,11 Nov 2023,★★★★★,True,
"A Day, That Year",11 Nov 2023,,True,
"Swimming, Dancing",11 Nov 2023,,True,
An Explanation: And Then Burn the Ashes,11 Nov 2023,,True,
The Crossing,08 Nov 2023,,False,
Salt of This Sea,08 Nov 2023,★★★★★,True,Your past is my every day.
Kicking and Screaming,21 Oct 2023,,False,
Scenes of the Occupation from Gaza,19 Oct 2023,,False,
Children of Shatila,19 Oct 2023,,True,
Shoebox,18 Oct 2023,★★★★½,True,"Q&A w/ Faraz Ali + Noopur Sinha at The State Theatre, Ann Arbor, MI."
Days of Being Wild,14 Oct 2023,★★★★★,True,
Greenberg,12 Oct 2023,,True,
Love Actually,06 Oct 2023,,True,
Inclusive,27 Sep 2023,,False,
Jawan,26 Sep 2023,,False,
Matangi / Maya / M.I.A.,03 Sep 2023,★★★★,True,
Barbie,03 Sep 2023,★★½,False,
Center Stage,30 Aug 2023,,True,
Rye Lane,26 Aug 2023,,True,Not a lot divided by fuck all!
The Monuments Men,26 Aug 2023,,False,
Torn,26 Aug 2023,,False,
Drive My Car,23 Aug 2023,★★★★★,True,"I hated her, but that wasn’t the only thing I felt about her."
The Joy Luck Club,23 Aug 2023,★★★★★,True,"And even though I taught my daughter the opposite, still she came out the same way."
Women Talking,23 Aug 2023,,False,"Because it’s doomsday, and a call to prayer."
Rocky Aur Rani Kii Prem Kahaani,05 Aug 2023,,True,I love you since last life!
Snowden,03 Aug 2023,,False,
I am a Mobile Librarian,22 Jul 2023,,False,
What Has Happened to This City?,22 Jul 2023,★★★★★,True,
Is This Just a Story?,21 Jul 2023,,False,
Strangers,21 Jul 2023,,False,
Tobacco Embers,21 Jul 2023,,True,
Love in the Time of AIDS,21 Jul 2023,★★★★★,True,
Sudesha,21 Jul 2023,,True,
Lambert & Co.,21 Jul 2023,,False,
The Darktown Revue,21 Jul 2023,,False,
Coded Bias,19 Jul 2023,,False,
Past Lives,08 Jul 2023,★★,False,
Ted,07 Jul 2023,,True,
Joy Ride,06 Jul 2023,,False,
Asteroid City,04 Jul 2023,,True,
After Yang,03 Jul 2023,★★★★★,True,
Farewell My Concubine,19 Jun 2023,,True,
"sex, lies, and videotape",27 May 2023,,False,
The Reader,27 May 2023,,False,
Remember the Titans,21 May 2023,,False,
Kimi,07 May 2023,,True,
The Darjeeling Limited,07 May 2023,,True,
Free Chol Soo Lee,07 May 2023,,True,
Belfast,07 May 2023,★,False,
Air Doll,28 Apr 2023,,True,
The Purple Rose of Cairo,25 Apr 2023,,False,
Black at Yale: A Film Diary,25 Apr 2023,,False,
John Mulaney: Baby J,25 Apr 2023,★,False,
Wonder Wheel,25 Apr 2023,,False,
Brüno,13 Apr 2023,,False,
Breakaway,12 Apr 2023,,False,
Slon Tango,12 Apr 2023,,False,
Some Kind of Intimacy,12 Apr 2023,,False,
The School Is Watching,12 Apr 2023,,False,
10/65: Self-Mutilation,12 Apr 2023,,False,
Visual Training,11 Apr 2023,,False,
The King,06 Apr 2023,,False,
The Death of Gandji,04 Apr 2023,,True,
Time & Fortune Vietnam Newsreel,04 Apr 2023,,False,
Hand Film,04 Apr 2023,,False,
Contact,04 Apr 2023,,False,
Throat Singing in Kangirsuk,04 Apr 2023,,False,
The Fighting Generation,03 Apr 2023,,False,
A Message of Importance,03 Apr 2023,,False,
Madame's Cravings,03 Apr 2023,,False,
X Is Y,03 Apr 2023,,False,
Zoo Piece,03 Apr 2023,,False,
Blessed Land,03 Apr 2023,,False,
A Moment in Love,03 Apr 2023,,False,
Planned Parenthood,30 Mar 2023,,False,
Between the hotel and city hall,29 Mar 2023,,False,
Fa,29 Mar 2023,,False,
The Bead Game,29 Mar 2023,,False,
Afterlife,29 Mar 2023,,False,
Korean Alphabet,29 Mar 2023,,False,
Orgosolo’s Shepherds,24 Mar 2023,,False,
Fishing Boats,24 Mar 2023,,False,
A Day in Barbagia,24 Mar 2023,,False,
The Age of Swordfish,24 Mar 2023,,False,
Easter in Sicily,24 Mar 2023,,False,
Surfarara,24 Mar 2023,,False,
Golden Parable,24 Mar 2023,,False,
Hyas and Stenorhynchus,24 Mar 2023,,False,
Sound of the Night,24 Mar 2023,,False,
Sea Countrymen,23 Mar 2023,,False,
Islands of Fire,23 Mar 2023,,False,
Quiet as Kept,23 Mar 2023,,False,
The Horse,23 Mar 2023,,False,
Baby,23 Mar 2023,,False,
Plastic Bag,23 Mar 2023,,False,
Lift You Up,23 Mar 2023,,False,
Man Push Cart,23 Mar 2023,,True,
Bullet Train,23 Mar 2023,★,False,
Maid Servant,16 Mar 2023,,False,
Grid Corrections,16 Mar 2023,,False,
Walden,16 Mar 2023,,False,
Azaadi,11 Mar 2023,,False,
Scuffle,11 Mar 2023,,False,
Farewell to the Seashore,11 Mar 2023,,False,
Graceful Agitation,11 Mar 2023,,False,
Miasma,11 Mar 2023,,False,
The Unreserved,11 Mar 2023,,False,
Afternoon Clouds,10 Mar 2023,,False,
Midnight Orange,10 Mar 2023,,False,
Durbaar,10 Mar 2023,,False,
Hides and Strings,10 Mar 2023,★★★★★,True,
Priya,10 Mar 2023,,True,
Chitrakathi,10 Mar 2023,,False,
Yet In Him We Trust,10 Mar 2023,,False,
The Delhi Durbar,10 Mar 2023,,False,
Yoga For Health,10 Mar 2023,,False,
Music of India,10 Mar 2023,,True,
While We're Young,09 Mar 2023,,True,
Elvis,08 Mar 2023,,False,
The Departed,08 Mar 2023,,False,
The Big Swallow,08 Mar 2023,,False,
During and After Air Raid,07 Mar 2023,,False,
Kangra and Kulu,07 Mar 2023,,False,
In Chris Marker's Studio,07 Mar 2023,,False,
Ki or Breathing,06 Mar 2023,,True,
Andy Warhol: Re-Reproduction,06 Mar 2023,,False,
Expansion,06 Mar 2023,,False,
Shift,06 Mar 2023,,True,
Sway,06 Mar 2023,,True,
For My Crushed Right Eye,06 Mar 2023,,False,
Connection,06 Mar 2023,,False,
Relation,06 Mar 2023,★★★★★,True,
Metastasis,06 Mar 2023,,False,
Stalin My Neighbour,06 Mar 2023,,False,
Chris Rock: Selective Outrage,05 Mar 2023,,False,
Juno,02 Mar 2023,★★★★★,True,
Monsoon,26 Feb 2023,,False,
The Personal Things,26 Feb 2023,,False,
Closer,25 Feb 2023,★½,False,
Bending the Arc,17 Feb 2023,,True,
Sleepless in Seattle,16 Feb 2023,★★,False,
"To Sir, with Love",15 Feb 2023,★★★★½,True,
The Nice Guys,13 Feb 2023,★★,False,
Knock at the Cabin,13 Feb 2023,★★★★,True,
Triangle of Sadness,10 Feb 2023,★★★★,True,
On the Beach at Night Alone,10 Feb 2023,★★★★½,True,
Jean-Luc Godard and Anne-Marie Miéville on Google StreetView,09 Feb 2023,,True,
VVEBCAM,09 Feb 2023,,True,
i thot i wuz free,09 Feb 2023,,True,
Uncle Josh at the Moving Picture Show,09 Feb 2023,,True,
The Countryman and the Cinematograph,09 Feb 2023,,True,
A Chess Dispute,09 Feb 2023,,False,
Repas d'indiens,09 Feb 2023,,False,
Carga de rurales,09 Feb 2023,,False,
"Danse japonaise, III : Gueichas en Jinrikcha",09 Feb 2023,,False,
Japonaise faisant sa toilette,09 Feb 2023,,False,
Horses Bathing,09 Feb 2023,,True,
Opium Den,09 Feb 2023,,False,
Indochina: Children Gathering Coins Scattered by Western Women,09 Feb 2023,,False,
Pistol Duel,09 Feb 2023,,True,
Le village de Namo - Panorama pris d'une chaise à porteurs,09 Feb 2023,,True,
Ladies' Skirts Nailed to a Fence,09 Feb 2023,,False,
Workers Leaving the Lumière Factory,09 Feb 2023,,False,
Mattress Man Commercial,09 Feb 2023,,False,
Valentine's Day,08 Feb 2023,,False,
"Hail, Caesar!",08 Feb 2023,,False,
Pathaan,07 Feb 2023,★★★★½,True,
Mission: Joy - Finding Happiness in Troubled Times,07 Feb 2023,,True,
Our Father,06 Feb 2023,,False,
Black Narcissus,06 Feb 2023,★★,False,
The Aviator,05 Feb 2023,,False,
La La Land,04 Feb 2023,★★½,False,
Blonde,04 Feb 2023,★,False,
TÁR,03 Feb 2023,,False,
The Castle,02 Feb 2023,★,False,
Bay of Angels,28 Jan 2023,,True,
Brokeback Mountain,25 Jan 2023,,False,
The Umbrellas of Cherbourg,22 Jan 2023,★★★★★,True,
Lola,19 Jan 2023,,True,
Tara vs Bilal,16 Jan 2023,,False,
(500) Days of Summer,16 Jan 2023,,True,
My American Uncle,11 Jan 2023,,True,
Fear Street: 1666,11 Jan 2023,,False,
The Last Emperor,07 Jan 2023,,True,
Prisoners,06 Jan 2023,,True,
The Bourne Supremacy,06 Jan 2023,,False,
To the Wonder,05 Jan 2023,,True,
Language Lessons,04 Jan 2023,,False,
Mona Lisa Smile,04 Jan 2023,,False,
Four Weddings and a Funeral,04 Jan 2023,,False,
The Banshees of Inisherin,02 Jan 2023,,False,
All Quiet on the Western Front,01 Jan 2023,,True,
The Bourne Identity,01 Jan 2023,,True,
"Crazy, Stupid, Love.",31 Dec 2022,,True,
The Grand Budapest Hotel,29 Dec 2022,★★★★★,True,
Love And...,28 Dec 2022,,False,
The Menu,27 Dec 2022,,False,
Heat,26 Dec 2022,★★★★★,True,
Phir Bhi Dil Hai Hindustani,26 Dec 2022,,False,
Kumbha Mela,26 Dec 2022,★★,False,
Barres,26 Dec 2022,,False,
Gone with the Wind,26 Dec 2022,,False,
My Night at Maud's,25 Dec 2022,,True,
Avatar: The Way of Water,25 Dec 2022,,True,
Avatar,24 Dec 2022,,False,
2001: A Space Odyssey,24 Dec 2022,,True,
In the Loop,23 Dec 2022,,True,
Barry Lyndon,23 Dec 2022,★★★★★,True,
Babylon,23 Dec 2022,★★★,False,
Au Hasard Balthazar,19 Dec 2022,,False,
A Night of Knowing Nothing,19 Dec 2022,,False,
The Blood of a Poet,18 Dec 2022,,False,
Les Dames du bois de Boulogne,18 Dec 2022,,False,
The Trial of Joan of Arc,17 Dec 2022,,False,
A Day in the Country,17 Dec 2022,,False,
The Snails,17 Dec 2022,,False,
Bridges-Go-Round 2,17 Dec 2022,,False,
Bridges-Go-Round 1,17 Dec 2022,,False,
Butterfly,17 Dec 2022,,False,
24 Frames Per Second,17 Dec 2022,,False,
In Paris Parks,17 Dec 2022,,False,
Children of Paradise,17 Dec 2022,,True,
Burn After Reading,12 Dec 2022,,False,
The Fabelmans,08 Dec 2022,★★★,True,
99 Songs,08 Dec 2022,,False,
