Movie,Date Watched,Rating,Liked,Review
May December,13 Jan 2024,,False,The only thing she’s serving is jail time
The Lord of the Rings: The Two Towers,02 Jan 2024,★★★★½,False,Further confirming my theory that Frodo is the Bella Swan of the LOTR universe
Saltburn,30 Dec 2023,,False,I wish they were lizard people
The Green Knight,29 Dec 2023,★★★½,False,Pussy energy
American Symphony,25 Dec 2023,½,False,"Inauthentic, unfocused, and it doesn’t even look pretty"
Naked Lunch,23 Dec 2023,★★★★,False,Damn maybe heroin WOULD make me a better artist
The Handmaiden,20 Dec 2023,★★★★½,False,Pussy POV
Talk to Me,17 Dec 2023,★★★★½,False,Y’all the conces are quencing
In the Mood for Love,08 Dec 2023,★★★★½,True,
The Lord of the Rings: The Fellowship of the Ring,02 Dec 2023,★★★★,False,Frodo’s rocking the alt girl barista mullet
Werewolves Within,17 Nov 2023,★★,False,She’s a little on the nose
Dungeons & Dragons: Honor Among Thieves,04 Nov 2023,★★½,False,This movie: 2.5 starsXenk: 5 stars
An American Werewolf in London,28 Oct 2023,★★★★,False,The whole plot is just kys
Mad God,15 Oct 2023,★★★★,False,
Suspiria,01 Oct 2023,★★★★,False,
A Bay of Blood,01 Oct 2023,★★★★,False,
Heat,24 Sep 2023,★★★★½,False,
The Lighthouse,23 Sep 2023,★★★★,True,
Tremors,19 Sep 2023,,False,
Possession,18 Sep 2023,★★★★,False,
Drishyam,19 Aug 2023,★★★½,False,
Dogtooth,17 Aug 2023,★★★½,False,
Cure,15 Aug 2023,★★★★½,False,
Chopping Mall,10 Aug 2023,★★★,False,
Tumbbad,06 Aug 2023,★★½,False,
Barbie,21 Jul 2023,★★★★½,False,
Serial Mom,18 Jul 2023,★★★★,False,
Dog Day Afternoon,14 Jul 2023,★★★★½,False,
Sunshine,13 Jul 2023,★★½,False,
Bound,08 Jul 2023,★★★★,False,
M3GAN,06 Jul 2023,★★★★,False,
Columbus,06 Jul 2023,★½,False,
Spider-Man: Across the Spider-Verse,01 Jul 2023,★★★★½,False,
The Cabin in the Woods,28 Jun 2023,★★★½,False,
Asteroid City,25 Jun 2023,★★½,False,
Spring,22 Jun 2023,,False,
All About Eve,19 Jun 2023,★★★★,False,
The Red Shoes,17 Jun 2023,★★★★½,False,
Kung Fu Hustle,17 Jun 2023,★★★★,False,
The Daytrippers,10 Jun 2023,★★★★½,False,
Good Manners,02 Jun 2023,★★★½,False,
Carrie,24 Apr 2023,★★★★½,True,
Beau Is Afraid,24 Apr 2023,★★★★½,False,
Donnie Darko,03 Apr 2023,★★★★★,False,
My Own Private Idaho,28 Mar 2023,★★★★,False,
Army of Darkness,25 Mar 2023,★★★★,False,
Aftersun,23 Mar 2023,★★★★½,False,
Lady Vengeance,17 Mar 2023,★★★★,False,
Eternal Sunshine of the Spotless Mind,13 Mar 2023,★★★★,False,
The Night House,09 Mar 2023,★★★★,False,
The Bird with the Crystal Plumage,08 Mar 2023,★★★½,False,
Taste of Cherry,06 Mar 2023,★★★★★,False,
Swan Song,28 Feb 2023,★★★★,False,
Bajirao Mastani,23 Feb 2023,★★★★½,False,
Nobody,18 Feb 2023,★★★½,False,
Color Out of Space,08 Feb 2023,★★★½,False,
Infinity Pool,05 Feb 2023,★★★★,False,
Happy New Year,03 Feb 2023,★★½,False,
The Visit,31 Jan 2023,★★★½,False,
The Visit,31 Jan 2023,★★★½,False,
TÁR,15 Jan 2023,★★★★,False,
Jodhaa Akbar,08 Jan 2023,★★★★,False,
Under the Skin,06 Jan 2023,★★★★,False,
Ikiru,04 Jan 2023,★★★★★,False,
The Banshees of Inisherin,27 Dec 2022,★★★★½,False,
"Synecdoche, New York",12 Dec 2022,★★★★★,True,
"Synecdoche, New York",12 Dec 2022,★★★★★,True,
Burn After Reading,06 Dec 2022,★★★½,False,
Shiva Baby,27 Nov 2022,★★★★½,False,
Barbarian,01 Oct 2022,★★★,False,
Where the Wild Things Are,25 Sep 2022,★★★★★,True,
Pearl,20 Sep 2022,★★★★,False,
Daniel Isn't Real,14 Sep 2022,★½,False,
Me and You and Everyone We Know,04 Sep 2022,★★★,False,
Freaky,22 Aug 2022,★★½,False,
Nine to Five,21 Aug 2022,★★★★,False,
Bodies Bodies Bodies,14 Aug 2022,★★★★,False,
Birdman or (The Unexpected Virtue of Ignorance),14 Aug 2022,★★★★½,True,
Last Night in Soho,12 Aug 2022,★★★,False,
Prey,10 Aug 2022,★★,False,
Point Break,09 Aug 2022,★★★★,False,
Nope,07 Aug 2022,★★★★,False,
Resurrection,04 Aug 2022,★★★½,False,
Blade,29 Jul 2022,★★★★,False,
RRR,28 Jul 2022,★★★★,False,
Ambulance,25 Jul 2022,★★½,False,
Pan's Labyrinth,17 Jul 2022,★★★★½,False,
Batman & Robin,04 Jul 2022,★,False,
Ghost World,14 Jun 2022,½,False,
Jennifer's Body,13 Jun 2022,★★★★½,False,
Enter the Dragon,09 Jun 2022,★★★★½,False,
Walk Hard: The Dewey Cox Story,07 Jun 2022,★★½,False,
Tombstone,03 Jun 2022,★★★★,False,
Old,30 May 2022,★★,False,
Paddington 2,26 May 2022,★★★★,False,
The Devil Wears Prada,23 May 2022,★★★★,False,
Black Bear,11 May 2022,★★★★,False,
Gutboy: A Badtime Story,09 May 2022,★★,False,
Everything Everywhere All at Once,07 May 2022,★★★★★,True,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,01 May 2022,★★★★,False,
Mandy,23 Apr 2022,★★★★½,False,
Dora and the Lost City of Gold,21 Apr 2022,★★½,False,
Annihilation,17 Apr 2022,★★★½,False,
Léon: The Professional,04 Apr 2022,★★,False,
Step Up 2: The Streets,27 Mar 2022,★★★,False,
Kajillionaire,25 Mar 2022,★★★★½,False,
Batman Forever,20 Mar 2022,★★★½,False,
Turning Red,17 Mar 2022,★★★,False,
Megamind,12 Mar 2022,★★★½,False,
Titane,27 Feb 2022,★★★★,False,
The Mummy,07 Feb 2022,★★★★,False,
