Movie,Date Watched,Rating,Liked,Review
Beau Is Afraid,09 Jan 2024,,False,
Luca,02 Jan 2024,,False,
Midsommar,28 Dec 2023,,False,
Frozen,28 Dec 2023,,False,
Wonka,22 Dec 2023,,False,
The Hunger Games: The Ballad of Songbirds & Snakes,24 Nov 2023,,False,
Soul,24 Nov 2023,,False,
Inside Out,14 Nov 2023,★★★★½,False,
Talk to Me,01 Nov 2023,,False,
Five Nights at Freddy's,28 Oct 2023,,False,
Elemental,22 Oct 2023,,False,
Saw X,21 Oct 2023,,False,
1408,09 Oct 2023,,False,
The Nun II,17 Sep 2023,,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,04 Sep 2023,,False,
The Last Voyage of the Demeter,25 Aug 2023,,False,
The Flash,22 Aug 2023,,False,
The Little Mermaid,15 Aug 2023,,False,
Barbie,31 Jul 2023,,False,
Haunted Mansion,30 Jul 2023,,False,
Fantastic Mr. Fox,27 Jul 2023,,False,
They Cloned Tyrone,26 Jul 2023,,False,
Nimona,23 Jul 2023,,False,
The Suicide Squad,11 Jul 2023,★★★★★,False,
Indiana Jones and the Dial of Destiny,02 Jul 2023,,False,
Midsommar,02 Jul 2023,,False,
Raiders of the Lost Ark,01 Jul 2023,,False,
No Hard Feelings,01 Jul 2023,,False,
Cashback,23 Jun 2023,,False,
Renfield,19 Jun 2023,,False,
Dungeons & Dragons: Honor Among Thieves,19 Jun 2023,,False,
The Boogeyman,11 Jun 2023,,False,
Guardians of the Galaxy Vol. 3,04 May 2023,,False,
Guardians of the Galaxy Vol. 2,03 May 2023,★★★★★,False,
Shazam! Fury of the Gods,01 May 2023,,False,
Bodies Bodies Bodies,28 Apr 2023,,False,
Evil Dead Rise,22 Apr 2023,,False,
X,16 Apr 2023,,False,
The Shawshank Redemption,09 Apr 2023,,False,
The Super Mario Bros. Movie,08 Apr 2023,,False,
Knock at the Cabin,28 Mar 2023,,False,
Puss in Boots: The Last Wish,27 Mar 2023,,False,
Cocaine Bear,26 Mar 2023,★★½,False,Can't wait for Marijuana Iguana
65,25 Mar 2023,,False,
Winnie the Pooh: Blood and Honey,05 Mar 2023,,False,
Mad God,03 Mar 2023,,False,
Absolutely Anything,02 Mar 2023,,False,
Ant-Man and the Wasp: Quantumania,18 Feb 2023,,False,
Black Panther: Wakanda Forever,17 Feb 2023,,False,
Terrifier 2,04 Feb 2023,,False,
Scream 2,30 Jan 2023,,False,
M3GAN,22 Jan 2023,,False,
Black Adam,16 Jan 2023,,False,
Strange World,10 Jan 2023,,False,
Barbarian,08 Jan 2023,,False,
Glass Onion,31 Dec 2022,,False,
Avatar: The Way of Water,29 Dec 2022,,False,
Troll,28 Dec 2022,,False,
Guillermo del Toro's Pinocchio,21 Dec 2022,,False,
The Menu,17 Dec 2022,,False,
The Guardians of the Galaxy Holiday Special,06 Dec 2022,,False,
Black Panther: Wakanda Forever,26 Nov 2022,,False,
Smile,20 Nov 2022,,False,
Shrek 2,17 Oct 2022,,False,
Werewolf by Night,09 Oct 2022,,False,
Halloween,08 Oct 2022,,False,
Shrek,02 Oct 2022,,False,
Happy Death Day 2U,27 Sep 2022,,False,
Fall,24 Sep 2022,,False,
Gremlins,20 Sep 2022,,False,
Pinocchio,13 Sep 2022,,False,
Everything Everywhere All at Once,04 Sep 2022,,False,
Guardians of the Galaxy,29 Aug 2022,★★★★★,False,
Nope,27 Aug 2022,,False,
The Black Phone,19 Aug 2022,,False,
Bullet Train,17 Aug 2022,,False,
Prey,05 Aug 2022,,False,
Sing 2,05 Aug 2022,,False,
Lightyear,03 Aug 2022,,False,
Chip 'n Dale: Rescue Rangers,03 Aug 2022,,False,
Thor: Love and Thunder,06 Jul 2022,,False,
The Lost City,04 Jul 2022,,False,
Top Gun: Maverick,04 Jun 2022,,False,
Moon Knight,05 May 2022,,False,
Doctor Strange in the Multiverse of Madness,05 May 2022,,False,
Init!ation,02 May 2022,,False,
Hancock,27 Apr 2022,,False,
Choose or Die,26 Apr 2022,,False,
Rat Race,23 Apr 2022,,False,
Ron's Gone Wrong,09 Apr 2022,,False,
Uncharted,20 Mar 2022,,False,
The King's Man,18 Mar 2022,,False,
Fresh,18 Mar 2022,,False,
Turning Red,16 Mar 2022,,False,
The Adam Project,12 Mar 2022,,False,
Texas Chainsaw Massacre,07 Mar 2022,,False,
The Batman,06 Mar 2022,,False,
Jackass 3D,13 Feb 2022,,False,
Spider-Man: No Way Home,10 Feb 2022,★★★★★,False,
Eternals,04 Feb 2022,,False,
Wrong Turn,30 Jan 2022,,False,
Ghostbusters: Afterlife,21 Jan 2022,,False,
Scream,20 Jan 2022,,False,
R.I.P.D.,18 Jan 2022,,False,
Freaky,11 Jan 2022,,False,
Crawl,10 Jan 2022,,False,
The Truman Show,08 Jan 2022,,False,
Spider-Man: No Way Home,29 Dec 2021,★★★★★,False,
Funhouse,28 Dec 2021,,False,
Encanto,27 Dec 2021,,False,
Spider-Man,27 Dec 2021,,False,
Jumanji: Welcome to the Jungle,26 Dec 2021,★★★½,False,
Roald Dahl's The Witches,25 Dec 2021,,False,
Candyman,25 Dec 2021,,False,
Hawkeye,23 Dec 2021,,False,
The Thing,18 Dec 2021,,False,
Old,12 Dec 2021,,False,
Home Sweet Home Alone,11 Dec 2021,,False,
Ghostbusters,08 Dec 2021,,False,
A Boy Called Christmas,08 Dec 2021,,False,
Saw IV,05 Dec 2021,,False,
Scary Movie 3,04 Dec 2021,,False,
Army of Thieves,22 Nov 2021,,False,
Saint,21 Nov 2021,,False,
Eternals,13 Nov 2021,,False,
Jungle Cruise,13 Nov 2021,,False,
Howl's Moving Castle,13 Nov 2021,,False,
Free Guy,06 Nov 2021,,False,
Cruella,06 Nov 2021,,False,
Venom: Let There Be Carnage,05 Nov 2021,,False,
Dune,29 Oct 2021,,False,
The Suicide Squad,20 Oct 2021,,False,
Cars,18 Oct 2021,,False,
Squid Game,10 Oct 2021,,False,
No Time to Die,02 Oct 2021,,False,
Shang-Chi and the Legend of the Ten Rings,04 Sep 2021,,False,
The Tomorrow War,31 Aug 2021,,False,
Titanic,27 Aug 2021,,False,
The Purge,17 Aug 2021,,False,
Free Guy,16 Aug 2021,,False,
Jungle Cruise,11 Aug 2021,,False,
Into the Labyrinth,09 Aug 2021,,False,
The Suicide Squad,08 Aug 2021,,False,
Cube,06 Aug 2021,,False,
Raya and the Last Dragon,05 Aug 2021,,False,
Space Jam: A New Legacy,04 Aug 2021,,False,
Escape Room: Tournament of Champions,03 Aug 2021,,False,
The Magnificent Seven,01 Aug 2021,,False,
Blood Red Sky,31 Jul 2021,,False,
Loki,28 Jul 2021,,False,
"Monsters, Inc.",28 Jul 2021,,False,
Insurgent,27 Jul 2021,,False,
Divergent,26 Jul 2021,,False,
The Mitchells vs. The Machines,22 Jul 2021,,False,
Scary Movie 2,18 Jul 2021,,False,
Scary Movie,17 Jul 2021,,False,
Luca,15 Jul 2021,,False,
Fear Street: 1994,09 Jul 2021,,False,
Black Widow,08 Jul 2021,,False,
America: The Motion Picture,04 Jul 2021,,False,
Escape Room,03 Jul 2021,★★★½,False,
Happy Death Day,02 Jul 2021,,False,
Shrek 2,26 Jun 2021,,False,
Army of the Dead,24 May 2021,,False,
Love and Monsters,22 May 2021,,False,
Countdown,21 May 2021,,False,
The Conjuring,15 May 2021,,False,
The Lighthouse,10 May 2021,,False,
Mortal Kombat,08 May 2021,,False,
Sonic the Hedgehog,26 Apr 2021,★★★★,False,
The Falcon and the Winter Soldier,23 Apr 2021,,False,
Pan's Labyrinth,11 Apr 2021,,False,
The Princess and the Frog,07 Apr 2021,,False,
Wonder Woman 1984,04 Apr 2021,,False,
Toy Story,25 Mar 2021,,False,
Despicable Me 3,23 Mar 2021,,False,
Zack Snyder's Justice League,21 Mar 2021,,False,
WandaVision,05 Mar 2021,,False,
District 9,05 Mar 2021,,False,
Bloodshot,02 Mar 2021,,False,
Don't Breathe,01 Mar 2021,,False,
Get Out,28 Feb 2021,,False,
Avengers: Infinity War,26 Feb 2021,★★★★★,False,
Deadpool,26 Feb 2021,★★★½,False,
Sausage Party,24 Feb 2021,,False,
Black Mirror: Bandersnatch,23 Feb 2021,,False,
The Package,21 Feb 2021,,False,
Logan,12 Feb 2021,,False,
The Wolverine,07 Feb 2021,,False,
Avengers: Age of Ultron,30 Jan 2021,,False,
Bumblebee,23 Jan 2021,,False,
X-Men Origins: Wolverine,22 Jan 2021,,False,
