Movie,Date Watched,Rating,Liked,Review
Natural Born Killers,14 Jan 2024,★★★★,False,This was visually one of the coolest and most beautiful films i’ve ever seenAlso.. the OUTFITS!!!
Go,13 Jan 2024,★★,False,just made me want to watch pulp fiction
2046,10 Jan 2024,★½,False,All i’m gonna say is… you can tell this movie was written by a man. Disappointed!
Kill Bill: Vol. 2,07 Jan 2024,★★★★★,True,
Kill Bill: Vol. 1,06 Jan 2024,★★★★★,True,Uma Thurman & Lucy Liu are the ultimate bad bitches
Valley Girl,01 Jan 2024,★★,False,
200 Cigarettes,01 Jan 2024,★★★★,False,Hits everytime.. no idea why this film is so under the radar
Poor Things,30 Dec 2023,★★★★½,False,Men bad scary weak stupid 👎🏽 Women awesome smart funny resilient 👍🏽Emma Stone’s best performance ever!!
The Sweet East,29 Dec 2023,★★★★★,False,"This is MY kinda movie!!! I fucking loved everything about it: the soundtrack, the insane characters along the way, the humor.. and most importantly, Talia Ryder. New celebrity crush unlocked!!"
Badlands,27 Dec 2023,,False,
Wonka,26 Dec 2023,★★★,False,Timothee Chalamet was just a theatre kid
Fargo,23 Dec 2023,★★★★,False,Youuuuuu betcha!
Videodrome,09 Dec 2023,★★½,False,"Did not captivate me, Debbie Harry is sexy as hell though"
Black Christmas,09 Dec 2023,★★★★,False,I don’t do horror.. but I was talked into watching this and I loved every second! 2024 is my horror era perhaps 😝
Fallen Leaves,09 Dec 2023,★★★★,False,Cute!!!
Saltburn,07 Dec 2023,★★★★½,False,
Forgetting Sarah Marshall,03 Dec 2023,★★★★,False,
Viva,01 Dec 2023,★★★,False,
Romy and Michele's High School Reunion,01 Dec 2023,★★★★★,False,
Real Life,28 Nov 2023,★★★½,False,
Serial Mom,22 Nov 2023,★★★★,False,
Priscilla,06 Nov 2023,★★½,False,
Scream,06 Nov 2023,★★★★,False,
Candy,01 Nov 2023,★★★½,False,
Repo Man,15 Oct 2023,★★★★½,False,
I Am Divine,08 Oct 2023,★★★★★,False,
Polyester,08 Oct 2023,★★★★★,False,
Corpse Bride,05 Oct 2023,★★★½,False,
Stop Making Sense,04 Oct 2023,★★★★★,False,
True Romance,21 Sep 2023,★★★★,False,
Burn After Reading,20 Sep 2023,★★★★,False,
The Acid House,11 Sep 2023,★★★,False,
Splendor,10 Sep 2023,★★★½,False,
Happiness,05 Sep 2023,★★★★,False,
Thelma & Louise,05 Aug 2023,★★★★½,False,
Barbie,25 Jul 2023,★★★★★,False,
True Stories,24 Jun 2023,★★★★★,False,
All the Beauty and the Bloodshed,04 Jun 2023,★★★★★,False,
Lars and the Real Girl,23 May 2023,★★★★,True,
Variety,21 May 2023,★★★½,False,
True Romance,21 May 2023,★★★½,False,
But I'm a Cheerleader,20 May 2023,★★★,False,
The House Bunny,02 May 2023,★★★,False,
Triangle of Sadness,02 May 2023,★★★½,False,
Something Wild,07 Apr 2023,★★★★½,True,
Sound of Metal,25 Mar 2023,★★★★★,False,
Three Colours: Red,12 Feb 2023,★★★★,False,
My Neighbor Totoro,29 Jan 2023,★★★★,True,
Aftersun,28 Jan 2023,★★★★★,True,
Freaky Friday,15 Jan 2023,★★★★,False,
