Movie,Date Watched,Rating,Liked,Review
Galaxy Quest,20 May 2022,,False,
Everything Everywhere All at Once,19 May 2022,,False,
"What's Up, Doc?",18 May 2022,,False,
Morbius,18 May 2022,,False,
Crooked House,17 May 2022,,False,
Some Like It Rare,16 May 2022,,False,
Detention,16 May 2022,,False,
Evolution,15 May 2022,,False,
The Summit of the Gods,15 May 2022,,False,
Mystery Men,14 May 2022,,False,
Gosford Park,14 May 2022,,False,
The Lost City,14 May 2022,,False,
Sunshine,13 May 2022,,False,
The Wave,12 May 2022,,False,
Jumping Over Thorns,10 May 2022,,False,
Ikaw ang Mahal Ko,08 May 2022,,False,
Jologs,08 May 2022,,False,
Once Upon a Time… in Hollywood,05 May 2022,,False,
Beyond the Infinite Two Minutes,05 May 2022,,False,
The Rites of May,04 May 2022,,False,
Under the Silver Lake,04 May 2022,,False,
Manila in the Claws of Light,04 May 2022,,False,
Annette,03 May 2022,,False,
Soltero,03 May 2022,,False,
Moral,03 May 2022,,False,
The Worst Person in the World,02 May 2022,,False,
Kisapmata,02 May 2022,,False,
Marriage Story,01 May 2022,,False,
Ang Pinakamahabang Baba sa Balat ng Lupa,01 May 2022,,False,
The Big Short,19 Apr 2022,,False,
The Hand of God,16 Apr 2022,,False,
The Nice Guys,16 Apr 2022,,False,
"Pedro Penduko, Episode II: The Return Of The Comeback",14 Apr 2022,,False,
Fargo,13 Apr 2022,,False,
I Want You Back,13 Apr 2022,,False,
The Tomorrow War,13 Apr 2022,,False,
The Fifth Element,12 Apr 2022,,False,
Peninsula,11 Apr 2022,,False,
Bad Luck Banging or Loony Porn,09 Apr 2022,,False,
The Outfit,08 Apr 2022,,False,
#Alive,02 Apr 2022,,False,
Moonfall,01 Apr 2022,,False,
The Lost Boys,31 Mar 2022,,False,
The Host,31 Mar 2022,,False,
Snatch,30 Mar 2022,,False,
Death on the Nile,30 Mar 2022,,False,
Marry Me,29 Mar 2022,,False,
Tag-ulan sa Tag-araw,29 Mar 2022,,False,
My Dear Enemy,28 Mar 2022,,False,
Karma,27 Mar 2022,,False,
Black Crab,24 Mar 2022,,False,
Om Shanti Om,19 Mar 2022,,False,
Windfall,19 Mar 2022,,False,
"Welcome Back, Mr. McDonald",18 Mar 2022,,False,
Promising Young Woman,13 Mar 2022,,False,
Titane,13 Mar 2022,,False,
Get the Hell Out,09 Mar 2022,,False,
Tenement 66,25 Feb 2022,,False,
Scream,24 Feb 2022,,False,
Scream 4,24 Feb 2022,,False,
The Card Counter,24 Feb 2022,,False,
Parallel Mothers,22 Feb 2022,,False,
The Woodsman and the Rain,21 Feb 2022,,False,
Joni's Promise,17 Feb 2022,,False,
"My Donkey, My Lover & I",06 Feb 2022,,False,
Billy Elliot,11 Dec 2021,,False,
Chasing Amy,09 Dec 2021,,False,
Where the Wild Things Are,09 Dec 2021,,False,
Mr. & Mrs. Smith,09 Dec 2021,,False,
The Godfather,08 Dec 2021,,False,
Ocean's Eleven,07 Dec 2021,,False,
Booksmart,07 Dec 2021,,False,
The Feast,06 Dec 2021,,False,
Jaws,06 Dec 2021,,False,
Kajillionaire,06 Dec 2021,,False,
Last Night in Soho,06 Dec 2021,,False,
Gunpowder Milkshake,28 Nov 2021,,False,
Free Guy,26 Nov 2021,,False,
Venom: Let There Be Carnage,26 Nov 2021,,False,
Earwig and the Witch,23 Nov 2021,,False,
Shang-Chi and the Legend of the Ten Rings,21 Nov 2021,,False,
It's a Disaster,11 Nov 2021,,False,
Halloween Kills,09 Nov 2021,,False,
Arrival,05 Nov 2021,,False,
Dune,02 Nov 2021,,False,
The Hunt,02 Nov 2021,,False,
Minari,27 Oct 2021,,False,
The Dead Don't Die,25 Oct 2021,,False,
Destination Wedding,24 Oct 2021,,False,
Little Evil,23 Oct 2021,,False,
Villains,23 Oct 2021,,False,
The Trip,22 Oct 2021,,False,
Vicious Fun,22 Oct 2021,,False,
Werewolves Within,22 Oct 2021,,False,
The Banana Splits Movie,21 Oct 2021,,False,
Joker,19 Oct 2021,,False,
The King of Comedy,19 Oct 2021,,False,
Taxi Driver,19 Oct 2021,,False,
Run,17 Oct 2021,,False,
Mamma Mia! Here We Go Again,17 Oct 2021,,False,
Jojo Rabbit,16 Oct 2021,,False,
Roald Dahl's The Witches,16 Oct 2021,,False,
Still Alice,16 Oct 2021,,False,
The Skeleton Twins,15 Oct 2021,,False,
Cruel Intentions,14 Oct 2021,,False,
Army of the Dead,14 Oct 2021,,False,
ParaNorman,14 Oct 2021,,False,
One Cut of the Dead,14 Oct 2021,,False,
Heathers,14 Oct 2021,,False,
In Time,14 Oct 2021,,False,
Hellfire,14 Oct 2021,,False,
Little Miss Sunshine,10 Oct 2021,,False,
"Shake, Rattle & Roll V",09 Oct 2021,,False,
"Shake, Rattle & Roll IV",08 Oct 2021,,False,
"Shake, Rattle & Roll III",07 Oct 2021,,False,
Balawis,05 Oct 2021,,False,
"Shake, Rattle & Roll",05 Oct 2021,,False,
Dead Silence,04 Oct 2021,,False,
The Green Knight,03 Oct 2021,,False,
Midnight in a Perfect World,02 Oct 2021,,False,
Loves of a Blonde,01 Oct 2021,,False,
Smaller and Smaller Circles,30 Sep 2021,,False,
The Evil Dead,30 Sep 2021,,False,
Breach,29 Sep 2021,,False,
The Dog Outwits the Kidnapper,25 Sep 2021,,False,
Sunny,25 Sep 2021,,False,
The Young Girls of Rochefort,24 Sep 2021,,False,
Old,24 Sep 2021,,False,
Scream 3,23 Sep 2021,,False,
Scream 2,23 Sep 2021,,False,
Scream,23 Sep 2021,,False,
As Tears Go By,21 Sep 2021,,False,
Escape Room,20 Sep 2021,,False,
Downton Abbey,18 Sep 2021,,False,
Escape Room: Tournament of Champions,17 Sep 2021,,False,
Annette,16 Sep 2021,,False,
The Ritual,14 Sep 2021,,False,
Prey,14 Sep 2021,,False,
The Mansion,13 Sep 2021,,False,
Malignant,12 Sep 2021,,False,
Black Widow,11 Sep 2021,,False,
Us,05 Sep 2021,,False,
Contact,01 Sep 2021,,False,
Gattaca,31 Aug 2021,,False,
Zathura: A Space Adventure,26 Aug 2021,,False,
Naked Lunch,25 Aug 2021,,False,
Aruna & Her Palate,16 Aug 2021,,False,
Death of Nintendo,13 Aug 2021,,False,
A Summer Solstice Story,12 Aug 2021,,False,
Deep Red,12 Aug 2021,,False,
The Suicide Squad,08 Aug 2021,,False,
Ad Astra,07 Aug 2021,,False,
The Legend of Suram Fortress,05 Aug 2021,,False,
Blood Red Sky,04 Aug 2021,,False,
One Cut of the Dead,03 Aug 2021,,False,
Burning,31 Jul 2021,,False,
Election 2,31 Jul 2021,,False,
Hero,31 Jul 2021,,False,
Election,30 Jul 2021,,False,
The Eighth Happiness,29 Jul 2021,,False,
Doubles Cause Troubles,29 Jul 2021,,False,
20 30 40,28 Jul 2021,,False,
Arab Blues,24 Jul 2021,,False,
Tie Me Up! Tie Me Down!,24 Jul 2021,,False,
The Fountain,22 Jul 2021,,False,
Dear Ex,21 Jul 2021,,False,
The Warm Money,20 Jul 2021,,False,
Zombi Child,20 Jul 2021,,False,
Undine,19 Jul 2021,,False,
Radiance,17 Jul 2021,,False,
Fear Street: 1666,17 Jul 2021,,False,
A Classic Horror Story,16 Jul 2021,,False,
Little Big Women,15 Jul 2021,,False,
Memoir of a Murderer,14 Jul 2021,,False,
Monster Hunter,14 Jul 2021,,False,
Spring,12 Jul 2021,,False,
Mana,12 Jul 2021,,False,
Scare Me,11 Jul 2021,,False,
Seventh Son,11 Jul 2021,,False,
The Wicker Man,10 Jul 2021,,False,
Fear Street: 1978,10 Jul 2021,,False,
Bloody Hell,09 Jul 2021,,False,
"As Above, So Below",09 Jul 2021,,False,
The Wolf of Snow Hollow,08 Jul 2021,,False,
30 Days of Night,08 Jul 2021,,False,
Anna and the Apocalypse,07 Jul 2021,,False,
"Love, Antosha",07 Jul 2021,,False,
You're Next,06 Jul 2021,,False,
I Know What You Did Last Summer,06 Jul 2021,,False,
Cry_Wolf,06 Jul 2021,,False,
Saint Maud,05 Jul 2021,,False,
Spontaneous,05 Jul 2021,,False,
Censor,04 Jul 2021,,False,
A Quiet Place Part II,04 Jul 2021,,False,
Till Death,04 Jul 2021,,False,
Fear Street: 1994,04 Jul 2021,,False,
Vivarium,03 Jul 2021,,False,
Kramer vs. Kramer,30 Jun 2021,,False,
Irma Vep,29 Jun 2021,,False,
Halloween,29 Jun 2021,,False,
Lulu in the Nude,28 Jun 2021,,False,
Adira,28 Jun 2021,,False,
The Beautiful Person,28 Jun 2021,,False,
La Haine,27 Jun 2021,,False,
The Nun,26 Jun 2021,,False,
Love Songs,26 Jun 2021,,False,
Barber's Tales,25 Jun 2021,,False,
Rafiki,25 Jun 2021,,False,
Prinsipe Teñoso,23 Jun 2021,,False,
Manila by Night,22 Jun 2021,,False,
Moments in a Stolen Dream,21 Jun 2021,,False,
The Cabin in the Woods,21 Jun 2021,,False,
Jesus Is Dead,20 Jun 2021,,False,
Fan Girl,19 Jun 2021,,False,
Song of the Exile,19 Jun 2021,,False,
The Love Witch,19 Jun 2021,,False,
Castle in the Sky,18 Jun 2021,,False,
Ad Lib Night,17 Jun 2021,,False,
Dead Pigs,16 Jun 2021,,False,
The Woman in the Septic Tank,16 Jun 2021,,False,
Cleaners,16 Jun 2021,,False,
Greener Grass,15 Jun 2021,,False,
The Final Girls,14 Jun 2021,,False,
Gusto Kita with All My Hypothalamus,14 Jun 2021,,False,
The Orphan,13 Jun 2021,,False,
Momshies! Your Soul is Mine,13 Jun 2021,,False,
Charade,12 Jun 2021,,False,
Violet & Daisy,12 Jun 2021,,False,
Romeo + Juliet,11 Jun 2021,,False,
The War of the Worlds,10 Jun 2021,,False,
Patintero: Ang Alamat ni Meng Patalo,08 Jun 2021,,False,
The Butterfly Effect,05 Jun 2021,,False,
The Girl and The Gun,05 Jun 2021,,False,
Metropolitan,05 Jun 2021,,False,
The Cameraman's Revenge,04 Jun 2021,,False,
Pride,03 Jun 2021,,False,
Videodrome,02 Jun 2021,,False,
"Birds, Orphans and Fools",30 May 2021,,False,
Cruella,29 May 2021,,False,
Sila-Sila,29 May 2021,,False,
The Lacemaker,27 May 2021,,False,
Mainstream,25 May 2021,,False,
