Movie,Date Watched,Rating,Liked,Review
50 First Dates,26 Dec 2023,★★★½,False,
Nacho Libre,26 Dec 2023,★★½,False,
Saltburn,25 Dec 2023,★★★½,False,
Minority Report,29 Oct 2023,★★★½,False,
The French Connection,22 Oct 2023,★★★★,False,
Practical Magic,21 Oct 2023,★★★,False,
The Batwoman,16 Oct 2023,★★★,False,
Slacker,15 Oct 2023,★★★,False,
Ghost Dog: The Way of the Samurai,15 Oct 2023,★★★★½,False,
The Haunted Mansion,10 Oct 2023,★★½,False,
Kika,08 Oct 2023,★★★★,False,
Women on the Verge of a Nervous Breakdown,05 Oct 2023,★★★★★,False,
John Tucker Must Die,04 Oct 2023,★★★,False,Ashanti!
Suspiria,01 Oct 2023,★★★½,False,
Varda by Agnès,30 Sep 2023,★★★★,False,
The Craft,29 Sep 2023,★★★½,False,
Milford Graves Full Mantis,29 Sep 2023,★★★★,False,
Wings of Desire,28 Sep 2023,★★★★½,False,
Contempt,28 Sep 2023,★★★½,False,
"Paris, Texas",25 Sep 2023,★★★★★,True,❤️
You Are So Not Invited to My Bat Mitzvah,24 Sep 2023,★★,False,
But I'm a Cheerleader,17 Sep 2023,★★★★★,True,Oups I watched it again
Clueless,17 Sep 2023,★★★½,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,04 Sep 2023,★★★½,True,fake Pizza Hut logo on all the pizza boxes is criminal but at least they went to L&B spumoni
Whiplash,30 Aug 2023,★★★★½,True,
She's the Man,30 Aug 2023,★★★½,False,
Beat Street,26 Aug 2023,★★★½,False,
Wild Style,26 Aug 2023,★★★★½,True,
The Comfort of Strangers,26 Aug 2023,★★½,False,
Suspiria,26 Aug 2023,★★★,False,
Deep Cover,14 Aug 2023,★★★½,False,
Ford v Ferrari,28 Jul 2023,★★★,False,
Triangle of Sadness,27 Jul 2023,★★½,False,
Baby Driver,27 Jul 2023,★★★★,False,
The Young Girls of Rochefort,26 Jul 2023,★★★★,False,
Legally Blonde,26 Jul 2023,★★★,False,
Barbie,26 Jul 2023,★★★★,False,
Barbie,22 Jul 2023,★★★★,False,
Oppenheimer,22 Jul 2023,★★★,False,
Dog Day Afternoon,19 Jul 2023,★★★★,False,
Amores Perros,18 Jul 2023,★★★★,False,
Showgirls,18 Jul 2023,★★★★★,False,
Amélie,13 Jul 2023,★★★★,True,
Bridesmaids,13 Jul 2023,★★★,False,
Ana Mendieta: Fuego de Tierra,26 Jun 2023,,True,
Moonrise Kingdom,26 Jun 2023,★★★★½,True,
Asteroid City,24 Jun 2023,★★★★,True,
Vortex,17 Jun 2023,★★★★,False,
The Apartment,17 Jun 2023,★★★★½,False,
The Super Mario Bros. Movie,30 Apr 2023,★★★½,False,I just love jack black 😮‍💨
My Night at Maud's,02 Apr 2023,★★★★½,False,
"Crouching Tiger, Hidden Dragon",02 Apr 2023,★★★★,False,
I ♥ Huckabees,01 Apr 2023,★★★★,False,
Zoolander 2,20 Jan 2023,★★½,False,
Zoolander,19 Jan 2023,★★★,False,
Whip It,06 Jan 2023,★★★★,False,Iconic
The Menu,04 Jan 2023,★★★½,False,
This Place Rules,04 Jan 2023,★★★½,False,
Hidden Figures,02 Jan 2023,★★★★,False,
But I'm a Cheerleader,01 Jan 2023,★★★★★,True,Oups I watched it again
Glass Onion,31 Dec 2022,★★★,False,
Farha,27 Dec 2022,★★★★,True,🇵🇸🕊️🤍
Black Panther: Wakanda Forever,26 Dec 2022,★★★½,False,
Be Kind Rewind,23 Dec 2022,★★★½,False,Obsessed with the crafty sets
Wild at Heart,22 Dec 2022,★★★★★,True,All around out of control and untamed. Chef’s kiss
The Whale,22 Dec 2022,★★★,False,
The Shape of Water,20 Dec 2022,★★★½,False,Gorgeous gorgeous gorgeous
Untamed Heart,19 Dec 2022,★★★★,False,Please don’t judge me 🥴
District 9,17 Dec 2022,★★★½,False,
Scooby-Doo 2: Monsters Unleashed,12 Dec 2022,★★★★,False,
Scooby-Doo,11 Dec 2022,★★★★½,False,
Menorah in the Middle,07 Dec 2022,,False,
The Gleaners and I,04 Dec 2022,★★★★★,False,
Never Been Kissed,04 Dec 2022,★★★,False,
A Cinderella Story,03 Dec 2022,★★★★,False,
"Paris, Texas",27 Nov 2022,★★★★★,True,❤️
TÁR,21 Nov 2022,★★★½,False,
Garlic Is as Good as Ten Mothers,15 Nov 2022,★★★★,False,
"Yum, Yum, Yum! A Taste of Cajun and Creole Cooking of Louisiana",15 Nov 2022,,False,
Burden of Dreams,15 Nov 2022,,False,
Gap-Toothed Women,15 Nov 2022,★★★★,False,
Ghost Dog: The Way of the Samurai,15 Nov 2022,★★★★½,False,
Let the Right One In,14 Nov 2022,★★★★,False,
Tintin in Tibet,11 Oct 2022,★★★★,False,
A Woman Is a Woman,22 Sep 2022,★★★★,True,I love being silly woman
Blue Velvet,20 Sep 2022,★★★★,False,
Valley Girl,19 Sep 2022,★★★½,False,
Pumping Iron,18 Sep 2022,★★★★,False,
Daisies,21 Aug 2022,★★★★★,True,
Live Flesh,20 Aug 2022,★★★½,False,
Matador,20 Aug 2022,★★★★½,False,
Talk to Her,19 Aug 2022,★★★½,False,
All About My Mother,19 Aug 2022,★★★★,True,
Women on the Verge of a Nervous Breakdown,18 Aug 2022,★★★★½,False,
Nope,13 Aug 2022,,True,
Before Sunset,08 Aug 2022,★★★½,False,
Before Sunrise,08 Aug 2022,★★★★,False,
"At Night, They Dance",05 Aug 2022,★★★★,True,
