Movie,Date Watched,Rating,Liked,Review
Mean Girls,15 Jan 2024,★★★,True,"I feel like Mean Girls was the last movie on earth that needed a remake, it’s perfectly early 2000s. Regardless of if we need it or not, it’s here, and I dunno it’s alright."
The Color Purple,06 Jan 2024,★★★★,True,"I’m not really the target audience for this movie so don’t listen to me, just go see it it’s really good"
The Iron Claw,30 Dec 2023,★★★★½,True," “Ever since I was a child, people said my family was cursed“It’s all one long match. We fight, take bumps, get back up and do it all over again. They say what doesn’t kill you makes you stronger, but why does each hit hurt more than the last? As much as it can take from you, the pain you experience can give just as much. It teaches us, inspires us, strengthens us. Don’t shake it off or try and… "
Violent Night,29 Dec 2023,★★,False,"Honestly I expected a little better. Santa Harbour carries this movie, but not super far. Could’ve been a lot shorter"
Four Christmases,24 Dec 2023,★★½,False,
The Super Mario Bros. Movie,24 Dec 2023,★★★,True,Even more fun if you watch it with a toddler
How the Grinch Stole Christmas,23 Dec 2023,★★★,True,He just like me fr
The Holdovers,19 Dec 2023,★★★★★,True,"Something about this movie just really gets me. I find myself very much drawn to these films that embrace the wonder of human connection (Before Sunrise, Dead Poets Society, etc). This movie is very simple but I think its lack of a desire to overstate itself is a part of its charm. This’ll probably be a yearly watch for me from now on, and just an all time favorite in general"
Men in Black II,19 Dec 2023,★★½,True,Michael Jackson???
Priscilla,19 Dec 2023,★★★★,True,Cailee Spaeny is incredible here. Sofia Coppola’s directing is so good. Not a spectacular movie but one that definitley feels important
Renfield,18 Dec 2023,★★½,True,He was so silly
Air,18 Dec 2023,★★★★,True,I put this on for my dad and it was like putting on cocomelon for a toddler
Wonka,15 Dec 2023,★★★★,True," “Every good thing in this world started with a dream”Of course everything fun and whimsical in this world is destroyed by corporate greed.I was shocked at how much I loved this, even if I was one of the more hopeful people after seeing the first trailers. This might honestly be my favorite performance so far from Timothee, as I really feel like he falls into this role quite well. Also as someone who isn’t big on musicals I… "
Nope,10 Dec 2023,★★★★★,True,
One Piece: Stampede,08 Dec 2023,★★★★½,True,
The Boy and the Heron,08 Dec 2023,★★★★,True,
Focus,08 Dec 2023,★★½,False,
Men in Black,05 Dec 2023,★★★★,True,
Godzilla Minus One,04 Dec 2023,★★★★½,True,
Now You See Me 2,03 Dec 2023,★★½,False,
The Harder They Fall,02 Dec 2023,★★★★,True,
Leo,01 Dec 2023,★★,False,
The Hunger Games: Catching Fire,30 Nov 2023,★★★★,True,
Snowpiercer,29 Nov 2023,★★★★,True,
The Hunger Games,28 Nov 2023,★★★½,True,
The Holdovers,24 Nov 2023,★★★★½,True,"Something about this movie just really gets me. I find myself very much drawn to these films that embrace the wonder of human connection (Before Sunrise, Dead Poets Society, etc). This movie is very simple but I think its lack of a desire to overstate itself is a part of its charm. This’ll probably be a yearly watch for me from now on, and just an all time favorite in general"
The Hunger Games: The Ballad of Songbirds & Snakes,20 Nov 2023,★★★,True,
Midsommar,19 Nov 2023,★★★★,True,
Pitch Perfect,18 Nov 2023,★★½,True,
The Killer,17 Nov 2023,★★★★,True,
My Big Fat Greek Wedding 3,17 Nov 2023,★½,False,
The Marvels,12 Nov 2023,★★★,True,
Friday the 13th Part VI: Jason Lives,31 Oct 2023,★★★½,True,
Friday the 13th: A New Beginning,30 Oct 2023,★★★½,True,
Do the Right Thing,30 Oct 2023,★★★★½,True,
BlacKkKlansman,28 Oct 2023,★★★★½,True,
Five Nights at Freddy's,28 Oct 2023,★★½,False,
Donnie Darko,27 Oct 2023,★★★★,True,
Killer Klowns from Outer Space,27 Oct 2023,★★★★,True,
Killers of the Flower Moon,24 Oct 2023,★★★★½,True,
Saw X,24 Oct 2023,★★★★,True,
Ghosted,20 Oct 2023,★,False,
Friday the 13th: The Final Chapter,20 Oct 2023,★★★,True,
Insidious: Chapter 3,20 Oct 2023,★★★,False,
Friday the 13th Part III,19 Oct 2023,★★½,False,
Insidious: Chapter 2,19 Oct 2023,★★½,False,
Friday the 13th Part 2,19 Oct 2023,★★★,True,
Insidious,18 Oct 2023,★★★½,True,
Spiral: From the Book of Saw,17 Oct 2023,★★★,True,
Hush,14 Oct 2023,★★★½,True,
Friday the 13th,13 Oct 2023,★★★,True,
Jigsaw,12 Oct 2023,★★½,False,
Saw 3D,12 Oct 2023,★½,False,
Saw VI,11 Oct 2023,★★,False,
Barbie,11 Oct 2023,★★★★½,True,
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),09 Oct 2023,★★★★,True,
Saw V,09 Oct 2023,★★★,False,
Saw IV,06 Oct 2023,★★½,True,
Saw III,05 Oct 2023,★★,False,
Red Desert,05 Oct 2023,★★,False,
Saw II,03 Oct 2023,★★★★,True,
Saw,03 Oct 2023,★★★★½,True,
Bottoms,02 Oct 2023,★★★★½,True,
The Creator,26 Sep 2023,★★★½,True,
Bottoms,22 Sep 2023,★★★★½,True,
Suspicion,20 Sep 2023,★★★½,True,
Cries and Whispers,13 Sep 2023,★★½,False,
The Passion of Joan of Arc,06 Sep 2023,★★★★,True,
Billy Madison,31 Aug 2023,★★,False,
Oldboy,30 Aug 2023,★★★★½,True,
Bones and All,27 Aug 2023,★★★½,True,
Lost in Translation,23 Aug 2023,★★½,False,
Blue Beetle,19 Aug 2023,★★★★,True,
Unbreakable,17 Aug 2023,★★★★,True,
Rise of the Teenage Mutant Ninja Turtles: The Movie,16 Aug 2023,★★★½,True,
Happy Gilmore,16 Aug 2023,★★½,False,
The Matrix,13 Aug 2023,★★★★★,True,
No Hard Feelings,10 Aug 2023,★★★½,True,
Barbie,09 Aug 2023,★★★★½,True,
