Movie,Date Watched,Rating,Liked,Review
The Iron Claw,06 Jan 2024,,True,I am in love with this film (notes to come tomorrow)
The Color Purple,05 Jan 2024,,True,FANTASIA!!!!
Wonka,01 Jan 2024,,True,This was a joy! Honestly surprised
My Octopus Teacher,27 Nov 2023,★★★★,True,Awe!
La La Land,18 Oct 2023,★★★,True,
The Truman Show,07 Oct 2023,★★★★,True,Christof needs a nap
Aftersun,02 Sep 2023,★★★★½,True,this is so sad and so familiar
Drive My Car,27 Aug 2023,★★★★,True,"Everything here felt so perfect without trying. Such a natural display of grief, shame & walking through the storm"
The Dark Knight,16 Aug 2023,★★★½,False,I know that nobody agrees. But I like Dark Knight Rises a lot more
Ex Machina,11 Aug 2023,★★★½,False,what a twist
First Reformed,05 Aug 2023,★★★★½,False,2nd watch — just as painful
Oppenheimer,28 Jul 2023,★★★★★,True,Saw this in IMAX 70mm @ TCL Chinese Theater. Genuinely in awe of this film. I don’t need to write a think piece — the right decisions were made
Columbus,22 Jul 2023,★★★½,True,Soft in every way
Vice,16 Jul 2023,★★★,False,
Spider-Man: Across the Spider-Verse,01 Jul 2023,★★★★½,True,
Good Will Hunting,26 Jun 2023,★★★★,True,
Women Talking,26 Jun 2023,★★★★,True,
Top Gun: Maverick,24 Jun 2023,★★★,False,
The Insider,28 May 2023,★★★★★,True,
American Psycho,25 May 2023,★★★½,False,
American Psycho,25 May 2023,★★★½,False,
The Big Short,20 May 2023,★★★★,True,
Se7en,20 Apr 2023,★★★★,True,
C'mon C'mon,17 Apr 2023,★★★★★,True,
Air,16 Apr 2023,★★★,False,
Zodiac,12 Apr 2023,★★★★½,True,
John Wick: Chapter 4,11 Apr 2023,★★★★,False,
TÁR,03 Mar 2023,★★★★,True,
The Master,25 Feb 2023,★★★★★,True,
High Life,18 Feb 2023,★★★½,False,
Your Place or Mine,15 Feb 2023,½,False,
The Banshees of Inisherin,05 Feb 2023,,False,
Marcel the Shell with Shoes On,21 Jan 2023,★★★★,True,
Fight Club,05 Jan 2023,★★★★,True,
The Menu,04 Jan 2023,★★½,False,
Sicario,01 Jan 2023,★★★★,True,
The Seventh Seal,01 Jan 2023,★★★,False,
On the Count of Three,01 Jan 2023,★★★½,True,
The Farewell,01 Jan 2023,★★★★½,True,
Glass Onion,30 Dec 2022,★★★,False,
mid90s,30 Dec 2022,★★★★½,True,
The Grand Budapest Hotel,23 Dec 2022,★★★★,False,
Lamb,05 Dec 2022,★★★½,True,
Black Panther: Wakanda Forever,20 Nov 2022,★★★★½,False,
Annihilation,20 Nov 2022,★½,False,
Isle of Dogs,23 Oct 2022,★★★★★,False,
Blade Runner 2049,16 Oct 2022,★★★★½,False,
Moneyball,14 Oct 2022,★★★★★,True,
Nope,31 Jul 2022,★★★★,True,
Everything Everywhere All at Once,10 Apr 2022,★★★★★,True,
The Batman,06 Mar 2022,★★★★½,False,
Fantastic Mr. Fox,27 Feb 2022,★★★★,True,
The Darjeeling Limited,12 Feb 2022,★★★★½,True,
Prisoners,29 Jan 2022,★★★★,False,
Pride & Prejudice,24 Jan 2022,★★★★,False,
The Life Aquatic with Steve Zissou,16 Jan 2022,★★★½,True,
The Royal Tenenbaums,14 Jan 2022,★★★★½,False,
Spider-Man: No Way Home,07 Jan 2022,★★★½,False,
The Green Knight,07 Jan 2022,★★★★,True,
Don't Look Up,01 Jan 2022,★★★★,True,
Nomadland,01 Nov 2021,★★★½,False,
A Ghost Story,01 Nov 2021,★★★½,False,
The Killing of a Sacred Deer,01 Nov 2021,★★★½,False,
Sound of Metal,01 Nov 2021,★★★★★,True,
Zack Snyder's Justice League,01 Nov 2021,★★★½,False,
WandaVision,01 Nov 2021,★★★★,False,
The Lobster,01 Nov 2021,★★★½,False,
mother!,01 Nov 2021,★★★★,False,
Nightcrawler,01 Nov 2021,★★★½,False,
Tenet,01 Nov 2021,★★★½,False,
Whiplash,01 Nov 2021,★★★★½,False,
The Witch,01 Nov 2021,★★★★★,False,
Shang-Chi and the Legend of the Ten Rings,01 Nov 2021,★★★★½,False,
Get Out,01 Nov 2021,★★★★★,False,
Joker,01 Nov 2021,★★★★,False,
I'm Thinking of Ending Things,01 Nov 2021,★★★★,True,
Dune,31 Oct 2021,★★★★½,True,
Mandy,31 Oct 2021,★★★★½,False,
Once Upon a Time… in Hollywood,31 Oct 2021,★★★★½,False,
Nomadland,17 Mar 2021,★★★★★,False,
Sound of Metal,31 Jan 2021,★★★★★,True,

Followers
ashkenaziyew,morganweir,carolynlalonde,kevmoore77,alexmpeters,jhnboulanger,eldenlashley,biancapsmith,mcpetes,bberg94,michael_morbius,tbrown17,garrettbeachy,resulonrsl,ksbr,gymnopedie,kikiavacados,_supersonick,citrusandacidic,boringlaursav,laurengallagher,lzbthvdngrnd,thehorrorkid,courtneynuss,itwasramirez

Following
ashkenaziyew,carolynlalonde,kevmoore77,alexmpeters,_supersonick,bberg94,jhnboulanger,eldenlashley,biancapsmith,mcpetes,garrettbeachy,crew,kikiavacados,citrusandacidic,boringlaursav,laurengallagher,lzbthvdngrnd,thehorrorkid,courtneynuss,_jh_,itwasramirez
