Movie,Date Watched,Rating,Liked,Review
The Emperor's New Groove,14 Jan 2024,,True,
Mean Girls,14 Jan 2024,,False,
The Marvels,10 Jan 2024,,True,"My bf worked on this for TWO YEARS!!!! Yay!!!! Love women, love cats"
Bottoms,09 Jan 2024,,False,
Dungeons & Dragons: Honor Among Thieves,06 Jan 2024,,True,The Baulders gate player in me was smiling & rubbing my feet together. So fun
Showing Up,03 Jan 2024,,False,SGN-SFO
Earth Mama,28 Dec 2023,,False,SFO-SGN
Die Hard,24 Dec 2023,,True,
Dream Scenario,24 Dec 2023,,False,
Chicken Run,15 Dec 2023,,True,Top ten all time
Star Wars: The Force Awakens,14 Dec 2023,,False,
Return of the Jedi,13 Dec 2023,,True,Ewok lover. Jar Jar sympathizer.
The Empire Strikes Back,13 Dec 2023,,True,
Star Wars,08 Dec 2023,,True,
Solo: A Star Wars Story,07 Dec 2023,,False,
Star Wars: Episode III – Revenge of the Sith,06 Dec 2023,,False,
Star Wars: Episode II – Attack of the Clones,29 Nov 2023,,False,
Practical Magic,22 Oct 2023,,True,
The Wonderful Story of Henry Sugar,16 Oct 2023,,False,
Taylor Swift: The Eras Tour,14 Oct 2023,,False,
Clue,12 Oct 2023,,False,
Austin Powers: International Man of Mystery,11 Sep 2023,,False,
The Princess Bride,06 Sep 2023,,False,
Edge of Tomorrow,31 Jul 2023,,False,
Over the Hedge,27 Jul 2023,,False,
Barbie,26 Jul 2023,,True,
Mission: Impossible – Dead Reckoning Part One,13 Jul 2023,,False,
Mission: Impossible – Ghost Protocol,18 Jun 2023,,False,
Mission: Impossible III,18 Jun 2023,,False,
Mission: Impossible II,15 Jun 2023,,False,
Mission: Impossible,14 Jun 2023,,False,
Don't Look Up,10 Jun 2023,,False,
Spider-Man: Across the Spider-Verse,06 Jun 2023,,False,
Men in Black 3,30 May 2023,,False,
Stranger Than Fiction,28 May 2023,,False,
Snowpiercer,21 May 2023,,False,
Tropic Thunder,18 May 2023,,False,
Terminator 2: Judgment Day,28 Apr 2023,,True,
Wilder Than Her,26 Apr 2023,,True,First time logging a feature I designed :’)
Cocaine Bear,20 Mar 2023,,False,
Hot Rod,20 Mar 2023,,True,
Sherlock: The Great Game,25 Feb 2023,,False,
Sherlock: The Blind Banker,24 Feb 2023,,False,
Sherlock: A Study in Pink,23 Feb 2023,,False,
Top Gun: Maverick,14 Feb 2023,,True,
Pirates of the Caribbean: At World's End,11 Feb 2023,,False,
Fargo,11 Feb 2023,,True,ORLY - LAX
The Departed,11 Feb 2023,,False,ORLY - LAX
Don't Worry Darling,11 Feb 2023,,False,ORLY - LAX
Ratatouille,08 Feb 2023,,False,"Hotel floor Paris tea party watch, Oui Oui"
Minari,06 Feb 2023,,True,
Lost in Translation,06 Feb 2023,,True,
Zoolander,03 Feb 2023,,False,
In Bruges,30 Jan 2023,,True,
Fat Girl,15 Jan 2023,,False,
22 Jump Street,14 Jan 2023,,False,
Beau Travail,13 Jan 2023,,True,
21 Jump Street,12 Jan 2023,,False,
Harry Potter and the Deathly Hallows: Part 2,11 Jan 2023,,True,
Harry Potter and the Deathly Hallows: Part 1,11 Jan 2023,,False,
Harry Potter and the Half-Blood Prince,11 Jan 2023,,False,
Harry Potter and the Order of the Phoenix,10 Jan 2023,,False,
Harry Potter and the Goblet of Fire,10 Jan 2023,,False,
Jurassic Park,10 Jan 2023,,True,
The Menu,08 Jan 2023,,False,
Harry Potter and the Philosopher's Stone,04 Jan 2023,,False,
Adaptation.,03 Jan 2023,,True,
The Fabelmans,30 Dec 2022,,False,
Harry Potter and the Prisoner of Azkaban,30 Dec 2022,,False,
EO,29 Dec 2022,,False,
The Whale,29 Dec 2022,,False,
Triangle of Sadness,24 Dec 2022,,False,
TÁR,24 Dec 2022,,False,
Triangle of Sadness,07 Dec 2022,,False,
Moonlight,01 Dec 2022,,True,
Morvern Callar,27 Nov 2022,,True,
Pearl,23 Nov 2022,,False,
Whiplash,20 Nov 2022,,False,
The Craft,21 Oct 2022,,False,
The One I Love,11 Oct 2022,,True,
Everything Everywhere All at Once,27 Sep 2022,,False,
Carrie,24 Sep 2022,,False,
Barbarian,09 Sep 2022,,True,
Bodies Bodies Bodies,03 Sep 2022,,False,
"Yes, God, Yes",25 Aug 2022,,False,
Thelma & Louise,24 Aug 2022,,True,
Love in the Afternoon,23 Aug 2022,,True,
The Texas Chain Saw Massacre,10 Aug 2022,,True,
X,05 Aug 2022,,False,
Nymphomaniac: Vol. II,25 Jul 2022,,False,
X,15 Jul 2022,,False,
The Tree of Life,13 Jul 2022,,False,
Chicken Run,09 Jul 2022,,True,Top ten all time
Crooked Trees Gon Give Me Wings,07 Jul 2022,,True,Designed this ♥️
Gone Girl,22 Jun 2022,,False,
Marie Antoinette,12 Jun 2022,,False,
"Girl, Interrupted",12 Jun 2022,,False,
Harry Potter and the Deathly Hallows: Part 2,29 May 2022,,True,
Harry Potter and the Deathly Hallows: Part 1,29 May 2022,,False,
Harry Potter and the Half-Blood Prince,28 May 2022,,False,
Star Wars: Episode II – Attack of the Clones,20 May 2022,,False,
Star Wars: Episode I – The Phantom Menace,18 May 2022,,True,
Our Father,13 May 2022,,False,
The Dropout,12 May 2022,,False,
Fresh,14 Mar 2022,,False,
Parasite,21 Feb 2022,,True,
Malignant,11 Jan 2022,,False,
Harry Potter and the Deathly Hallows: Part 2,08 Jan 2022,,True,
Harry Potter and the Deathly Hallows: Part 1,07 Jan 2022,,False,
Harry Potter and the Half-Blood Prince,06 Jan 2022,,False,
Harry Potter and the Order of the Phoenix,06 Jan 2022,,False,
Harry Potter and the Goblet of Fire,05 Jan 2022,,False,
Harry Potter and the Prisoner of Azkaban,04 Jan 2022,,False,
Harry Potter and the Chamber of Secrets,04 Jan 2022,,False,
Harry Potter 20th Anniversary: Return to Hogwarts,03 Jan 2022,,False,
Harry Potter and the Philosopher's Stone,03 Jan 2022,,False,
Harry Potter 20th Anniversary: Return to Hogwarts,02 Jan 2022,,False,
She's the Man,23 Nov 2021,,False,
The Twilight Saga: Breaking Dawn – Part 1,23 Nov 2021,,False,
All Too Well: The Short Film,13 Nov 2021,,False,
The Big Lebowski,13 Nov 2021,,True,
Dune,22 Oct 2021,,True,
Spy Kids,21 Oct 2021,,False,
Unorthodox,21 Oct 2021,,False,
Running on Empty,20 Oct 2021,,True,
The Twilight Saga: Eclipse,08 Oct 2021,,False,
The Twilight Saga: New Moon,08 Oct 2021,,False,
School of Rock,29 Sep 2021,,True,
The Emperor's New Groove,25 Sep 2021,,True,
Tangled,25 Sep 2021,,False,
Pretty Woman,28 Jul 2021,,False,
Pirates of the Caribbean: The Curse of the Black Pearl,26 Jul 2021,,True,
Hereditary,25 Jul 2021,,True,
Bo Burnham: Inside,25 Jul 2021,,False,
Luca,24 Jul 2021,,False,
My Octopus Teacher,19 Jul 2021,,True,
Incredibles 2,19 Jul 2021,,False,
The Incredibles,05 Jul 2021,,False,
Chicken Run,14 Jun 2021,,True,Top ten all time
Earth Girls Are Easy,27 May 2021,,True,
Dark Phoenix,13 May 2021,,False,
Rango,11 May 2021,,True,
X-Men: Days of Future Past,11 May 2021,,False,
Aliens,09 May 2021,,False,
Sweet Home Alabama,06 May 2021,,False,
The Social Network,23 Apr 2021,,True,
My Octopus Teacher,15 Apr 2021,,True,
Booksmart,22 Mar 2021,,False,
Scooby-Doo on Zombie Island,21 Mar 2021,,False,
The Martian,16 Feb 2021,,False,
Pirates of the Caribbean: Dead Man's Chest,05 Feb 2021,,True,
Jurassic World,26 Jan 2021,,False,
Over the Moon,22 Jan 2021,,False,
The Devil All the Time,21 Jan 2021,,False,
The One and Only Ivan,14 Jan 2021,,False,
What Ever Happened to Baby Jane?,02 Jan 2021,,True,
You Only Live Twice,30 Dec 2020,,True,
Radioactive,29 Dec 2020,,False,
The Croods: A New Age,28 Dec 2020,,False,
Jingle All the Way,25 Dec 2020,,True,
Wonder Woman 1984,25 Dec 2020,,False,
Wonder Woman,24 Dec 2020,,False,
The Cabin in the Woods,10 Dec 2020,,False,
The Karate Kid,07 Dec 2020,,False,
Harry Potter and the Prisoner of Azkaban,22 Nov 2020,,False,
The Wicker Man,13 Oct 2020,,False,
The Texas Chain Saw Massacre,11 Oct 2020,,True,
Scooby-Doo! and the Witch's Ghost,06 Oct 2020,,False,
All About My Mother,28 Sep 2020,,False,
Hardcore,02 Sep 2020,,False,
Hustlers,30 Aug 2020,,False,
Thelma & Louise,22 Aug 2020,,True,
Knives Out,13 Aug 2020,,False,
Where Is the Friend's House?,10 Aug 2020,,True,
Puberty Blues,07 Aug 2020,,False,
McCabe & Mrs. Miller,29 Jul 2020,,True,
Images,27 Jul 2020,,True,
Dawn of the Dead,27 Jul 2020,,True,
Decalogue IX,20 Jul 2020,,True,
Decalogue VII,19 Jul 2020,,True,
Decalogue VI,16 Jul 2020,,True,
Decalogue V,15 Jul 2020,,True,
Decalogue IV,15 Jul 2020,,True,
Decalogue III,14 Jul 2020,,True,
A Knight's Tale,14 Jul 2020,,True,
Polyester,12 Jul 2020,,False,
Decalogue II,11 Jul 2020,,True,
Full Moon in Paris,10 Jul 2020,,True,
The Land,08 Jul 2020,,True,
"Sherlock, Jr.",07 Jul 2020,,True,
A Summer's Tale,05 Jul 2020,,True,
The Aviator's Wife,02 Jul 2020,,False,
Rosemary's Baby,29 Jun 2020,,False,
Four Adventures of Reinette and Mirabelle,23 Jun 2020,,True,
Woman in the Dunes,21 Jun 2020,,True,
My Night at Maud's,20 Jun 2020,,True,
Goldman v Silverman,19 Jun 2020,,False,
Squeegee,19 Jun 2020,,False,
The Bakery Girl of Monceau,04 Jun 2020,,False,
Being John Malkovich,03 Jun 2020,,True,
Claire's Knee,02 Jun 2020,,True,
Boyfriends and Girlfriends,30 May 2020,,True,
Barry Lyndon,29 May 2020,,True,
Lady Bird,22 May 2020,,True,
Pirates of the Caribbean: At World's End,20 May 2020,,False,
Pirates of the Caribbean: Dead Man's Chest,18 May 2020,,True,
Certified Copy,18 May 2020,,True,
Pirates of the Caribbean: The Curse of the Black Pearl,17 May 2020,,True,
Blade Runner,15 May 2020,,True,
The Double Life of Véronique,13 May 2020,,True,
Three Colours: Red,12 May 2020,,True,
Taxi Driver,12 May 2020,,True,
Dead Ringers,08 May 2020,,True,
Under the Skin,07 May 2020,,False,
Under the Silver Lake,07 May 2020,,True,
The Empire Strikes Back,05 May 2020,,True,
Twin Peaks: Fire Walk with Me,21 Apr 2020,,False,
Twin Peaks,16 Apr 2020,,True,
Three Colours: White,02 Apr 2020,,False,
Three Colours: Blue,30 Mar 2020,,True,
Persona,30 Mar 2020,,True,
The Devil Wears Prada,28 Mar 2020,,True,
Portrait of a Lady on Fire,28 Mar 2020,,False,
Uncut Gems,27 Mar 2020,,True,
