Movie,Date Watched,Rating,Liked,Review
Killers of the Flower Moon,15 Jan 2024,★★★★,True,
The Beekeeper,14 Jan 2024,★★★½,True,“He keeps bees!!”
Lift,13 Jan 2024,½,False,
The Act,09 Jan 2024,★★★★,True,
Society of the Snow,06 Jan 2024,★★★★½,True,Good thing they had tons of cigs
This Is Where I Leave You,06 Jan 2024,★★,False,
Love Has Won: The Cult of Mother God,04 Jan 2024,★★★,True,“Something is fucky on this planet”
Dave Chappelle: The Dreamer,03 Jan 2024,,True,
Stavros Halkias: Fat Rascal,03 Jan 2024,,True,
Spy Kids,27 Dec 2023,★★★★★,True,This is why I’d get spy stuff at the scholastic book fair.
Cop Land,25 Dec 2023,★★★★,True,
Fair Play,22 Dec 2023,★★½,False,
The Iron Claw,21 Dec 2023,★★★★½,True,
Deck the Halls,19 Dec 2023,★★★,True,"There’s really no plot and the character motivations don’t make sense, but it’s fun :)"
Sanctuary,17 Dec 2023,★★★½,True,
Morning Glory,17 Dec 2023,★★★★,True,They sure don’t make em like this no more
The Super Mario Bros. Movie,17 Dec 2023,★★★,True,
Leave the World Behind,17 Dec 2023,★★½,True,gotta buy more DVDs
War for the Planet of the Apes,13 Dec 2023,★★★★½,True,
Dawn of the Planet of the Apes,11 Dec 2023,★★★★,True,
Fool's Paradise,11 Dec 2023,★,False,
Rise of the Planet of the Apes,10 Dec 2023,★★★½,True,
Love and Monsters,10 Dec 2023,★★★,True,this had an amazing stage dog what a good boy
Zodiac,10 Dec 2023,★★★★,True,
Quiz Lady,09 Dec 2023,★★★½,True,
Animal,04 Dec 2023,½,False,
May December,01 Dec 2023,★★★★½,True,
Saltburn,30 Nov 2023,★★★★,True,
The Holdovers,27 Nov 2023,★★★★½,True,
Where the Crawdads Sing,26 Nov 2023,★★★,True,
8 Mile,26 Nov 2023,★★★,True,mom spaghetti
Napoleon,23 Nov 2023,★★★,True,
Spider-Man 2,22 Nov 2023,★★★,True,
The Age of Adaline,19 Nov 2023,★★½,True,lol at the second car crash
Killers of the Flower Moon,17 Nov 2023,★★★★½,True,
The Killer,12 Nov 2023,★★½,True,the McMuffin with no bun was where I drew the line.
Infinity Pool,30 Oct 2023,★★★★,True,MEMBAS OF THA BUS
Tangled,29 Oct 2023,★★★½,True,
Talk to Me,25 Oct 2023,★★★½,True,
Taylor Swift: The Eras Tour,15 Oct 2023,,True,
80 for Brady,14 Oct 2023,★★★½,True,
10 Cloverfield Lane,14 Oct 2023,★★★,True,
The Road to El Dorado,08 Oct 2023,★★★½,True,
Love at First Sight,29 Sep 2023,★★★★,True,
The Wonderful Story of Henry Sugar,28 Sep 2023,★★★★,True,
Reservoir Dogs,25 Sep 2023,★★★★★,True,
Obsessed,17 Sep 2023,★½,False,
Jawan,11 Sep 2023,★★★½,False,
Risky Business,09 Sep 2023,★★★★,True,
Shane Gillis: Beautiful Dogs,08 Sep 2023,,True,
Bottoms,04 Sep 2023,★★★★½,True,
Gran Turismo,04 Sep 2023,★★★★,True,
Evil Dead Rise,02 Sep 2023,★★★,False,
Barbie,30 Aug 2023,★★★★½,True,
You Are So Not Invited to My Bat Mitzvah,28 Aug 2023,★★★½,True,
Warm Bodies,28 Aug 2023,★★★½,True,
Zoey 102,19 Aug 2023,★,False,
King Richard,13 Aug 2023,★★★★,True,
Oppenheimer,12 Aug 2023,★★★★,True,
Charlie Wilson's War,30 Jul 2023,★★★,True,
Mission: Impossible – Dead Reckoning Part One,24 Jul 2023,★★★★,True,
Oppenheimer,21 Jul 2023,★★★½,True,
Teen Wolf: The Movie,15 Jul 2023,★★★,True,
Bodies Bodies Bodies,14 Jul 2023,★★★★½,True,
The Parent Trap,05 Jul 2023,★★★★★,True,
The Woman King,04 Jul 2023,★★★★,True,
Asteroid City,02 Jul 2023,★★★,False,
Long Shot,01 Jul 2023,★★★½,True,
The Sea Beast,25 Jun 2023,★★★½,True,
Legally Blonde,24 Jun 2023,★★★★,True,
Extraction 2,22 Jun 2023,★★★,True,
Black Mirror: Beyond the Sea,16 Jun 2023,★★★,True,
Beautiful Boy,14 Jun 2023,★★★★,True,
Spider-Man: Across the Spider-Verse,09 Jun 2023,★★★★★,True,
A Simple Favor,03 Jun 2023,★★★½,True,
Marcel the Shell with Shoes On,30 May 2023,★★★★½,True,
Maid,29 May 2023,★★★★½,True,
Missing,27 May 2023,★★★½,True,
Game Night,21 May 2023,★★★,True,
Fast X,19 May 2023,★★★★,True,
Air,12 May 2023,★★★,True,
Tetris,10 May 2023,★★★½,True,
Guardians of the Galaxy Vol. 3,06 May 2023,★★★★,True,
John Mulaney: Baby J,05 May 2023,,True,
American Gangster,03 May 2023,★★★½,True,
Mean Streets,29 Apr 2023,★★★★½,True,
BEEF,25 Apr 2023,★★★★½,True,
High School Musical 3: Senior Year,16 Apr 2023,★★,False,
Bones and All,13 Apr 2023,★★★★,True,
Puss in Boots: The Last Wish,12 Apr 2023,★★★★½,True,
Shark Tale,08 Apr 2023,★★★★,True,
Murder Mystery 2,03 Apr 2023,★★★,True,
Burnt,29 Mar 2023,★★½,True,
Guillermo del Toro's Pinocchio,25 Mar 2023,★★★★½,True,
Burlesque,25 Mar 2023,★★★½,True,
John Wick: Chapter 4,23 Mar 2023,★★★★★,True,
Any Given Sunday,20 Mar 2023,★★★★,True,
The Hunger Games: Catching Fire,19 Mar 2023,★★★★,True,
The Hunger Games,19 Mar 2023,★★★,True,
Emily the Criminal,19 Mar 2023,★★★,True,
Windfall,13 Mar 2023,★,False,
Chernobyl,12 Mar 2023,★★★★,True,
Everything Everywhere All at Once,11 Mar 2023,★★★½,True,
Pearl,04 Mar 2023,★★★★,True,
Cocaine Bear,03 Mar 2023,★½,False,
X,03 Mar 2023,★★★½,True,
Babylon,24 Feb 2023,★★★,True,
Ant-Man and the Wasp: Quantumania,20 Feb 2023,★★½,True,
Practical Magic,18 Feb 2023,★★★,True,
Judas and the Black Messiah,18 Feb 2023,★★★★,True,
Training Day,03 Feb 2023,★★★★,True,
Ambulance,07 Jan 2023,★★½,True,
Inside Out,07 Jan 2023,★★★★★,True,
Barbarian,31 Oct 2022,★★★★½,True,
Identity,30 Oct 2022,★★★★,True,
Hawkeye,24 Dec 2021,★★★,True,
The Princess Switch 3: Romancing the Star,22 Dec 2021,★★½,False,
Spider-Man: No Way Home,16 Dec 2021,★★★★★,True,
Red Notice,23 Nov 2021,★,False,
Ghostbusters: Afterlife,20 Nov 2021,★★★★½,True,
All Too Well: The Short Film,13 Nov 2021,,True,
Spencer,11 Nov 2021,★★★,True,
Eternals,07 Nov 2021,★★½,True,
The Life Aquatic with Steve Zissou,06 Nov 2021,★★★★½,True,
Last Night in Soho,02 Nov 2021,★★½,True,
Quantum of Solace,01 Nov 2021,★★★,True,
Scenes from a Marriage,25 Oct 2021,★★★★½,True,
Licence to Kill,18 Oct 2021,★★★★,True,
The Living Daylights,16 Oct 2021,★★★½,True,
No Time to Die,10 Oct 2021,★★★★,True,
Spirited Away,09 Oct 2021,★★★★½,True,
Dear Evan Hansen,04 Oct 2021,½,False,
The Guilty,02 Oct 2021,★★,False,
Titane,02 Oct 2021,★★★★,True,
Miss Sloane,02 Oct 2021,★★★,True,
The Many Saints of Newark,01 Oct 2021,★½,False,
Mortal Kombat,30 Sep 2021,★★½,True,
Squid Game,28 Sep 2021,★★★★,True,
School of Rock,22 Sep 2021,★★★★★,True,
Dark Phoenix,22 Sep 2021,★½,False,
Malignant,16 Sep 2021,★★★½,True,
He's All That,16 Sep 2021,★,False,
Cinderella,06 Sep 2021,★,False,
The Fifth Element,06 Sep 2021,★★★,False,
Shang-Chi and the Legend of the Ten Rings,03 Sep 2021,★★★★,True,
Jennifer's Body,01 Sep 2021,★★★★★,True,
Eyes Wide Shut,30 Aug 2021,★★★½,True,
Austin Powers: International Man of Mystery,20 Aug 2021,★,False,
Chinatown,19 Aug 2021,★★★★,True,
Midnight Run,18 Aug 2021,★★★,True,
The Suicide Squad,08 Aug 2021,★★★★★,True,
Jungle Cruise,04 Aug 2021,★★,True,
The Tourist,25 Jul 2021,★★★,True,
Space Jam: A New Legacy,24 Jul 2021,★½,False,
In the Time It Takes to Get There,21 Jul 2021,,True,
Rough Night,18 Jul 2021,★★★,True,
Loki,16 Jul 2021,★★★★½,True,
Deepwater Horizon,12 Jul 2021,★★★½,True,
The Fate of the Furious,12 Jul 2021,★★★,True,
Black Widow,09 Jul 2021,★★★,True,
Escape from New York,06 Jul 2021,★★½,True,
Gravity,04 Jul 2021,★★★★★,True,
Zola,03 Jul 2021,★★★,True,
Furious 7,30 Jun 2021,★★★½,True,
Nobody,27 Jun 2021,★★★,True,
An American Pickle,26 Jun 2021,★½,False,
In the Heights,26 Jun 2021,★★★,True,
Kajillionaire,25 Jun 2021,★★★½,True,
The Fast and the Furious,25 Jun 2021,★★★½,True,
