Movie,Date Watched,Rating,Liked,Review
"Paris, Texas",13 Jan 2024,★★★★★,True," Got to see this gem at the Egyptian theater -- a 500 seater -- in a completely sold-out screening. Paris, Texas is one of my dream movies to catch in a theater, so to see it in one of LA's greatest makes it all the better.Always rejuvenating to be watching a masterpiece like this. The vibrant cinematography, the fined-tuned performances, and the greatest writing -- and I make no exaggerations with that last point.The parallel strolling on the… "
Howl's Moving Castle,06 Jan 2024,★★★★,False,The dog — THE DOG
The Zone of Interest,05 Jan 2024,★★★★½,True,Never seen so many people BOLT from the theater the moment the screen went black. Now That's What I Call Cinema!
The Remains of the Day,02 Jan 2024,★★★★,True,Great movie my keyboard broke in the middle of watching this and I couldn’t pause so I had to watch the second half in deep distress
Petite Maman,01 Jan 2024,★★★★,True,Choked up multiple times while looking at empty rooms
The Iron Claw,28 Dec 2023,★★★½,False,Felt a little more pillowy then I thought the direction it was gonna take but still a heart wrenching story
Maestro,26 Dec 2023,★★★,False,Felt like the movie pushed my buttons and made me feel sentimental but didn’t know when to have that big release.
The Muppet Christmas Carol,25 Dec 2023,★★★★,False,Byebye Buddy the Elf go eat a snowball
Ferrari,25 Dec 2023,★★½,False,Christmas Movie with the Family. Restriction is watching movies that are based on a true story — time for another biopic!
Jackie Brown,24 Dec 2023,★★★★½,True,Finally this guy makes one good fucking movie
Godzilla Minus One,23 Dec 2023,★★★½,False,Go straight into this guy battling his demons and then G-Dizzle shows up with his 12 piece brass band to blow the candles out on the birthday cake
Killers of the Flower Moon,22 Dec 2023,★★★★½,True,Must Watch
The Elephant Man,22 Dec 2023,★★★★,False,
The Mask,22 Dec 2023,★★★★,False,
Baby Driver,18 Dec 2023,★★★½,False,
Paper Moon,16 Dec 2023,★★★★½,True,
Mustang,15 Dec 2023,★★★½,False,
May December,15 Dec 2023,★★★★,True,
All of Us Strangers,10 Dec 2023,★★★★,False,
The Holdovers,02 Dec 2023,★★★★,False,
Inside Llewyn Davis,29 Nov 2023,★★★★,True,
The Hunger Games: Catching Fire,27 Nov 2023,★★★,False,
The Hunger Games: The Ballad of Songbirds & Snakes,26 Nov 2023,★★★,False,
Poison,25 Nov 2023,★★★½,False,
Dream Scenario,19 Nov 2023,★★★,False,
Young Frankenstein,14 Nov 2023,★★★½,False,
Midnight Cowboy,11 Nov 2023,★★★★★,True,
Raising Arizona,08 Nov 2023,★★★★,False,
Over the Garden Wall,07 Nov 2023,★★★★★,True,
The Hunger Games,06 Nov 2023,★★½,False,
Wolfwalkers,04 Nov 2023,★★★½,False,
Defending Your Life,02 Nov 2023,★★★★,False,
Targets,31 Oct 2023,★★★,False,
The Killer,24 Oct 2023,★★★★,False,
Senna,23 Oct 2023,★★,False,
Killers of the Flower Moon,21 Oct 2023,★★★★½,True,Must Watch
Anatomy of a Fall,21 Oct 2023,★★★½,False,
Shrek,20 Oct 2023,★★½,False,
Hairspray,17 Oct 2023,★★★,False,
La Haine,13 Oct 2023,★★★★½,True,
"What's Up, Doc?",12 Oct 2023,★★★★½,True,
Charley Varrick,09 Oct 2023,★★½,False,
In the Heat of the Night,08 Oct 2023,★★★★,False,
The Spy Who Came in from the Cold,07 Oct 2023,★★★,False,
Sleuth,06 Oct 2023,★★★½,False,
The Wonderful Story of Henry Sugar,30 Sep 2023,★★★½,False,
Butch Cassidy and the Sundance Kid,30 Sep 2023,★★★½,False,
Stop Making Sense,30 Sep 2023,★★★★★,True,
Night and Fog,28 Sep 2023,,False,
After Life,26 Sep 2023,★★★½,False,
Ford v Ferrari,23 Sep 2023,★★★,False,
Before Midnight,20 Sep 2023,★★★★,False,
Before Sunset,16 Sep 2023,★★★★½,True,
Before Sunrise,14 Sep 2023,★★★★★,True,
Bound,12 Sep 2023,★★★★½,True,
High Fidelity,11 Sep 2023,★★½,False,
Bottoms,09 Sep 2023,★★★,False,
(500) Days of Summer,09 Sep 2023,★★,False,
Thunderbolt and Lightfoot,07 Sep 2023,★★★½,False,
First Cow,05 Sep 2023,★★★★,False,
Mother,03 Sep 2023,★★★,False,
Blow Out,31 Aug 2023,★★★,False,
The Apartment,27 Aug 2023,★★★★,False,
California Split,25 Aug 2023,★★★½,False,
Philadelphia,25 Aug 2023,★★★★½,True,
Richard Pryor: Live in Concert,22 Aug 2023,★★★★,False,
Short Cuts,20 Aug 2023,★★★★½,True,
The Hudsucker Proxy,20 Aug 2023,★★★½,False,
