Movie,Date Watched,Rating,Liked,Review
Past Lives,29 Dec 2023,★★★★½,False,"Loved this. Felt incredibly lived, accurate, humane, complex, and understated. A snapshot of life, and the paths not taken, with all the complications that come with that."
The Hunger Games: The Ballad of Songbirds & Snakes,07 Dec 2023,★★★½,False,"ohhhhhhhh, Snow’s the villain. "
A Haunting in Venice,17 Sep 2023,★★★★,False,"A bit too spooky for me, but I’m a scaredy cat. I was surprised though that finally a Branagh Poirot was actually good. Keeping it confined to one location helped focus it."
"Red, White & Royal Blue",18 Aug 2023,★★★,True," On a rewatch, I still had fun with it. Going in knowing what I was gonna get made it more enjoyable to watch. But I do miss the nuance and subtlety from the book. There’s a lot of choices that are made to get this to a two hour minute movie.  Characters and plots are cut and sometimes replaced (most egregious IMO is the creation of Miguel, the Hot Bad Gay Journalist Ex-Hookup, who is a poor amalgamation of four… "
Oppenheimer,30 Jul 2023,★★★★★,False,So worth seeing this in 70mm IMAX.
Happy Together,25 Jul 2023,★★★,False,"Expected to like this more than I did. In the end, I found it frequently dull — I think the relentless negativity in the central relationship (and in the characters generally) just wore its welcome for me quite quickly, resulting in a morass of sadness that never became particularly interesting outside of a few sweet/poignant moments. A lot of stylistic choices also didn’t work for me, distracting from the story when I might otherwise be engaged. The tough thing is, I can see the artistry. But I just didn’t feel it."
Beyto,21 Jul 2023,★★,False," Look, you KNOW I love me a pair of men kissing while wearing speedos. You KNOW I love slow motion shots of a man swimming in water. You KNOW I love happy endings (in both senses of the phrase). But this did nothing for me, I’m afraid. Don’t get me wrong — the actor who plays Beyto is gorgeous, and I would happily stare into his eyes for eternity. The problem is Mike. I hate Mike with the passion of… "
Out in the Dark,20 Jul 2023,★★★½,False,"Okay, this is not an easy watch, but they are cute, so plus?"
Barbie,20 Jul 2023,★★★½,False,"Hmm, didn’t quite work for me. Very colorful, frequently funny, surprisingly airless (for Gerwig). Overall had a good time, but despite the color palette, it left me a bit cold."
Maurice,19 Jul 2023,★★★★★,True,I’ve got that Oscar Wilde thing going on too.
Mission: Impossible – Dead Reckoning Part One,19 Jul 2023,★★★★½,True,
Of an Age,19 Jul 2023,★★★★,True,"Watched this on a sick day, so I was shivering as they were crying. "
Titanic,19 Jul 2023,★★★★,False,"I can finally say I’ve seen this. I watched it with a nasty sore throat, so I was sipping soothing tea while watching people fall, drown, and scream to their deaths."
Cabaret,15 Jul 2023,★★★★★,True,
Mission: Impossible – Dead Reckoning Part One,11 Jul 2023,★★★★,True,
Indiana Jones and the Dial of Destiny,06 Jul 2023,★★★½,False,
Ratatouille,19 Jun 2023,★★★★★,True,
Breach,06 Apr 2023,★★★½,False,
Air Force One,30 Dec 2022,★★★½,False,
Boyfriends of Christmas Past,21 Dec 2022,,False,
Glass Onion,25 Nov 2022,★★★★★,True,
Ticket to Paradise,19 Nov 2022,★★★,False,
Bride & Prejudice,13 Nov 2022,★★★★★,False,
See How They Run,06 Nov 2022,★★★½,False,
Bros,16 Oct 2022,,True,
Love in the Villa,03 Sep 2022,★½,False,
Victim,13 Aug 2022,★★★★½,False,
The Password Is Courage,13 Aug 2022,★★★,False,
Pride and Prejudice,10 Jul 2022,★★★★,False,
Three Months,06 Jul 2022,★★★★,False,
The Man with the Answers,27 Jun 2022,★★★,False,
Just Friends,26 Jun 2022,★★½,False,
Luca,23 Apr 2022,★★★★½,True,
Spider-Man: No Way Home,16 Jan 2022,★★★★,False,
A Christmas Prince,08 Dec 2021,★,False,
Single All the Way,03 Dec 2021,★★★,False,
Black Widow,10 Oct 2021,★★½,False,
Cinderella,06 Sep 2021,★,False,
Shelter,05 Jul 2021,★★★,False,
Philadelphia,25 Jun 2021,★★★★,False,
José,24 Jun 2021,★★½,False,
The Strong Ones,22 Jun 2021,★★★★,True,
Luca,19 Jun 2021,★★★★½,True,
It's a Sin,23 Jan 2021,★★★★★,False,
Funny Boy,10 Jan 2021,★★★,False,
Closet Monster,07 Jan 2021,★★★½,False,
Esteros,04 Jan 2021,★★★½,False,
The Way He Looks,31 Dec 2020,★★★★½,True,
Beautiful Thing,24 Dec 2020,★★★★,False,
Jason Bourne,09 Dec 2020,★★★½,False,
Great Expectations,19 Aug 2020,★★★,False,
Paris 05:59 / Théo & Hugo,10 Aug 2020,★★★★★,False,
Topkapi,18 Jan 2020,★★★,False,
Knives Out,25 Dec 2019,★★★★★,True,
The Good Liar,23 Nov 2019,★★★,False,
God's Own Country,02 Sep 2019,★★★★★,True,
Rocketman,02 Sep 2019,★★★½,True,
God's Own Country,01 Sep 2019,★★★★½,True,
Erin Brockovich,11 Aug 2019,★★★★½,False,
The Name of the Rose,03 Aug 2019,★★½,False,
Evita,03 Aug 2019,★,False,
The Sound of Music,20 May 2019,★★★★★,False,
The China Syndrome,17 May 2019,★★★★½,False,
National Treasure,17 May 2019,★½,False,
Mission: Impossible – Fallout,09 May 2019,★★★★★,False,
The Matrix,04 May 2019,,False,
Ratatouille,03 May 2019,★★★★★,True,
Mad Max: Fury Road,29 Apr 2019,,True,
Avengers: Endgame,27 Apr 2019,★★★★½,True,
Headshot,03 Apr 2019,★½,False,
Cobra,20 Feb 2019,½,False,
Live and Let Die,31 Jan 2019,,False,
Diamonds Are Forever,31 Jan 2019,,False,
On Her Majesty's Secret Service,31 Jan 2019,,False,
You Only Live Twice,30 Jan 2019,,False,
Goldfinger,30 Jan 2019,★★★★½,False,
Sunset Boulevard,26 Jan 2019,★★★★½,False,
Roma,06 Jan 2019,★★★½,False,
Mary Poppins,05 Jan 2019,★★★★★,False,
Mary Poppins Returns,02 Jan 2019,★★★★½,False,
Dead Again,01 Jan 2019,★★★★,False,
How the Grinch Stole Christmas!,26 Dec 2018,★★★★★,False,
Crazy Rich Asians,30 Nov 2018,★★★★½,True,
The Bedroom Window,15 Nov 2018,★½,False,
Under Capricorn,25 Oct 2018,★★,False,
The Kindergarten Teacher,21 Oct 2018,★★★,False,
State of Play,15 Oct 2018,★★★★★,True,
Rebecca,18 Sep 2018,★★★★,False,
Raiders of the Lost Ark,15 Sep 2018,★★★★★,True,
Colossal,25 Aug 2018,★½,False,
"Love, Simon",04 Aug 2018,★★★★,True,
Mamma Mia! Here We Go Again,19 Jul 2018,★★½,False,
Set It Up,14 Jul 2018,★★,False,
A Very English Scandal,01 Jul 2018,★★★★½,False,
Incredibles 2,12 Jun 2018,★★★★,False,
Ocean's Eight,09 Jun 2018,★★★★,True,
Michael Clayton,27 May 2018,★★★★,False,
Paddington 2,20 Apr 2018,★★★★★,True,
The Reckless Moment,06 Apr 2018,★★★,False,
Paddington,31 Mar 2018,★★★★½,True,
Call Me by Your Name,29 Mar 2018,★★★★★,True,
Out of the Past,18 Mar 2018,★★★★,False,
Groundhog Day,03 Feb 2018,★★★★,False,
Double Indemnity,31 Jan 2018,★★★★½,False,
All the President's Men,27 Jan 2018,★★★★★,True,
The Post,27 Jan 2018,★★★★½,True,
Shrek 2,26 Jan 2018,★★★,False,
Call Me by Your Name,23 Jan 2018,★★★★★,True,
Phantom Thread,20 Jan 2018,★★★½,False,
The Big Sick,20 Jan 2018,★★★★½,True,
Mission: Impossible – Ghost Protocol,16 Jan 2018,,False,
The American President,14 Jan 2018,★★★★,False,
Molly's Game,13 Jan 2018,★★★★,True,
The Shape of Water,09 Jan 2018,★★★★,False,
Call Me by Your Name,05 Jan 2018,★★★★★,True,
Darkest Hour,31 Dec 2017,★★★★,False,
Father of the Bride,30 Dec 2017,★★½,False,
Die Hard 2,24 Dec 2017,★★½,False,
The Post,23 Dec 2017,★★★★½,True,
Star Wars: The Last Jedi,21 Dec 2017,★★★★,False,
Witness for the Prosecution,17 Dec 2017,★★★★½,True,
Thor: Ragnarok,01 Dec 2017,★★★★,True,
Chicken Run,24 Nov 2017,★★★★,True,
Gattaca,20 Nov 2017,★★★,False,
Harry Potter and the Philosopher's Stone,11 Nov 2017,,True,
Harry Potter and the Philosopher's Stone,11 Nov 2017,,True,
An American in Paris,06 Nov 2017,,False,
All the President's Men,21 Oct 2017,★★★★½,True,
No Greater Glory,03 Oct 2017,★★★,False,
Life Story,21 Sep 2017,★★½,False,
Three Comrades,18 Sep 2017,★★★½,False,
Lazybones,11 Sep 2017,★★,False,
History Is Made at Night,06 Sep 2017,,False,
Adaptation.,27 Aug 2017,★★★★★,True,
Dunkirk,23 Jul 2017,★★★★½,False,
Spider-Man: Homecoming,13 Jul 2017,★★★★,True,
The Big Sick,09 Jul 2017,★★★★½,True,
Baby Driver,04 Jul 2017,★★★★½,True,
The Name of the Rose,18 Jun 2017,★★★½,False,
Wonder Woman,11 Jun 2017,★★★½,True,
Logan,17 Mar 2017,★★★½,False,
Kubo and the Two Strings,25 Feb 2017,★★★★½,True,
The Lego Batman Movie,18 Feb 2017,★★★★½,True,
My Fair Lady,14 Jan 2017,★★★,False,
Florence Foster Jenkins,08 Jan 2017,,False,
True Lies,07 Jan 2017,★★½,False,
The Wolf of Wall Street,24 Dec 2016,★★★★½,True,
Black Girl,17 Oct 2016,★★★,False,
Up,13 Oct 2016,★★★★★,True,
Güeros,06 Oct 2016,★★★½,False,
The Gang's All Here,04 Oct 2016,,False,
Apocalypse Now,21 May 2015,★★★★★,True,
Everyone Says I Love You,20 May 2015,,False,
Mrs. Doubtfire,19 May 2015,★★★½,False,
Blazing Saddles,17 May 2015,,True,
The Producers,16 May 2015,,True,
The Producers,16 May 2015,,False,
Citizen Kane,09 May 2015,,True,
