Movie,Date Watched,Rating,Liked,Review
The Long Goodbye,14 Jan 2024,★★★★★,False,"My ideal perfect man, indisputably."
L.A. Confidential,11 Jan 2024,★★★,False,Solid. Made me want to watch mulholland drive
Henry Fool,13 Dec 2023,★★★½,False," Strange and engrossing. Less stylistically inventive than the Unbelievable Truth but the story is more compelling. All redeeming characters. And the world of Simon Grimm’s Queens is completely believable. The dynamic between characters seems authentic, so much so that I kept wondering if it was the dialogue or the acting that made it seem specific and familiar at once— when you get those two adjectives together it means that the project is true (a guy I used to date would… "
The Unbelievable Truth,13 Dec 2023,★★★★,False,Spiritual cousin of the virgin suicides. Already incorporating this film into my writing.
The House of Yes,08 Dec 2023,★★★★★,False,Crazy! Truly surprising
The Birds,06 Dec 2023,★★★★,False,I finally get ppl who are afraid of birds
Rope,06 Dec 2023,★★★½,False,"History will say they were roommates. I really like DA Miller’s reading of this movie. His title is Anal Rope. Also, eerie to watch this movie right after finishing crime and punishment."
Cronos,05 Dec 2023,★★★★,False,A film with real personality and life. Excited to see more from Del Toro. I love Mexico.
Killers of the Flower Moon,30 Oct 2023,★★★★,False,Took the wind out of me
Nosferatu,30 Oct 2023,★★★★,False,At nosferatu trivia as we speak
eXistenZ,18 Oct 2023,★★★,False,Descartes redux
The Age of Innocence,18 Oct 2023,★★★★½,False,Holds up to the book— thrilling to have the vividness of film for these scenes
The Addiction,18 Oct 2023,★★★★★,False,
New Rose Hotel,07 Oct 2023,★★★★,False,
Demonlover,05 Oct 2023,★★★★,False,
Westworld,05 Oct 2023,★★½,False,
Paprika,04 Oct 2023,★★★,False,
Minority Report,02 Oct 2023,★★★,False,
Videodrome,02 Oct 2023,★★★★,False,
Singin' in the Rain,30 Sep 2023,★★★★½,False,
The Faculty,30 Sep 2023,★★,False,
Massacre at Central High,30 Sep 2023,★,False,
Berlin: Symphony of a Great City,27 Sep 2023,★★★★,False,
Ghost World,26 Sep 2023,★★★★½,False,
Showgirls,20 Sep 2023,★★,False,
Trafic,19 Sep 2023,★★★★,False,
The Craft,18 Sep 2023,★★½,False,
The Cars That Ate Paris,17 Sep 2023,★★★,False,
Blade Runner,17 Sep 2023,★★★½,False,
Lawrence of Arabia,09 Sep 2023,★★★★½,False,
The Darjeeling Limited,09 Sep 2023,★★★★,False,
Belle de Jour,30 Aug 2023,★★★★★,False,
Amadeus,28 Aug 2023,★★★½,False,
Lost Highway,17 Aug 2023,★★★★,False,
Picnic at Hanging Rock,17 Aug 2023,★★★★★,False,
"Red, White & Royal Blue",17 Aug 2023,★★,False,
Rear Window,11 Aug 2023,★★★,False,
The Umbrellas of Cherbourg,09 Aug 2023,★★,False,
The Young Girls of Rochefort,09 Aug 2023,★★★★,False,
Le Samouraï,07 Aug 2023,★★★½,False,
Juliet of the Spirits,03 Aug 2023,★★★★★,False,
Barry Lyndon,03 Aug 2023,★★★★★,False,
Barbie,29 Jul 2023,★★,False,
Asteroid City,26 Jun 2023,★★★,False,
The Northman,19 Jun 2023,★★½,False,
Jaws,16 Jan 2023,,False,
Giant,03 Jul 2022,★★★★★,False,
Marie Antoinette,03 Jul 2022,,False,
Knives Out,28 Jun 2022,,False,
Persona,28 Jun 2022,★★★★★,False,
Everything Everywhere All at Once,28 Jun 2022,★,False,
Whiplash,28 Jun 2022,½,False,

Followers
eallendoerfer,sydlit,anikbernstein,bennettschwartz,jacksetrak,allavender44,tomthacat,meganlira4,molliemk,nicoroldan,sophiaprieto,areyoujayshis,_theodore,charlotttec,jordandavidwest

Following
eallendoerfer,anikbernstein,bennettschwartz,jacksetrak,samschmitt,allavender44,rfeldman9,izzk,sweetjimphony,lenakohls,tomthacat,meganlira4,sydlit,molliemk,areyoujayshis,charlotttec,lauravroldan,nicoroldan,sophiaprieto,jordandavidwest
