Movie,Date Watched,Rating,Liked,Review
The Matrix,12 Jan 2024,★★,False,lowkey flop
Trolls Band Together,11 Jan 2024,★★½,False," i enjoyed this movie nonetheless, it was fun to watch and i remain charmed by the trolls… but band together felt like it was made to be clipped and shared on tiktok and capture your attention for short bouts to me. the world building disappointed me in that it felt less intentional and creative than it did in the last two movies, with the new places we travelled receiving very little attention. after the movie ended i thought wtf… i… "
Douvan Jou Ka Leve,09 Jan 2024,★★★★,True,currently reading haiti the aftershocks of history & wanted to watch something from haiti to accompany it 🖤🇭🇹
Nymphomaniac: Vol. I,02 Jan 2024,★★★,False,"sex if it was boring and very depressing for two and a half hours (extended cut). yes three stars, sometimes boredom and depression is also mildly impressive"
Serial Mom,01 Jan 2024,★★★★,False,studying matthew lillards wardrobe intently for 2024
Poor Things,29 Dec 2023,★★★★★,False,i have much to say but for now i feel
Polite Society,27 Dec 2023,★★★★★,True,um? a funny and loving portrait of womanhood between generations that pushes us to ask how we can care for one another and address social wounds and honor families and histories? very playfully told and featuring love between sisters? yes!
The Devil Wears Prada,26 Dec 2023,★★★★★,False,flawless. no notes
Ocean's Eight,26 Dec 2023,★★★★,False,anne hathaway double feature w the devil wears prada
The Super Mario Bros. Movie,26 Dec 2023,★★★,False,better than i remember … easy rewatch
Sesame Street: Elmo Saves Christmas,24 Dec 2023,★★★,False,maya angelou!
Violent Night,24 Dec 2023,★★★,False,easy breezy watch esp around family
Home Alone,24 Dec 2023,★★★,False,
Saltburn,24 Dec 2023,★★★★★,True,
The Snowman,24 Dec 2023,★★★★½,False,
National Lampoon's Christmas Vacation,22 Dec 2023,★★,False,
Four Christmases,19 Dec 2023,★★★,False,
Night of the Kings,19 Dec 2023,★★★★,False,
El Planeta,18 Dec 2023,★★★★,False,
Leave the World Behind,15 Dec 2023,★★★★,False,
La La Land,15 Dec 2023,★★★★★,False,
Barnyard,14 Dec 2023,★★★,False,
El Conde,14 Dec 2023,★★,False,
Billy Madison,11 Dec 2023,★★,False,
Bad Santa,11 Dec 2023,★★★★★,False,
May December,03 Dec 2023,★★★★½,False,
Trolls,02 Dec 2023,★★★★★,False,
Losing the Light,01 Dec 2023,★★★★★,False,
Old Man/Sick Man/Shout,01 Dec 2023,★★★★★,False,
This Bed I Made,01 Dec 2023,★★★★★,False,
That Child with AID$,01 Dec 2023,★★★★★,False,
Heart Murmurs,01 Dec 2023,★★★★★,False,
Leo,30 Nov 2023,★★★,False,
The Lighthouse,29 Nov 2023,★★★★★,True,
Blade Runner 2049,27 Nov 2023,★★★★★,True,
Bottoms,26 Nov 2023,★★★,False,
Vamps,25 Nov 2023,★★★★,False,
No Hard Feelings,25 Nov 2023,★★★,False,
Orphan,24 Nov 2023,★★★★,True,
The Hunger Games: The Ballad of Songbirds & Snakes,21 Nov 2023,★★★★,False,
Multiple Maniacs,17 Nov 2023,★★★★★,False,
The Slug Finger,16 Nov 2023,★★★★★,False,
