Movie,Date Watched,Rating,Liked,Review
Saltburn,11 Jan 2024,★★,False,SureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureSureOh?SureSureSureSureSureSureSureSureSure
Afire,06 Jan 2024,★★★,False,Quite unpleasant
Godzilla vs. Gigan Rex,05 Jan 2024,,False,
Godzilla: Final Wars,05 Jan 2024,★★★★,False,
Poor Things,01 Jan 2024,★★★★,False,New fav Lanthimos? New fav Emma Stone performance? New fav Ruffalo performance?
Scavengers,29 Dec 2023,★★★★,False,Logging for both the short and the show
Leave the World Behind,25 Dec 2023,★★½,False,
Candy Cane Lane,25 Dec 2023,,False,
X,23 Dec 2023,★★★,False,
Pearl,21 Dec 2023,★★½,False,
Carrie,20 Dec 2023,★★★½,False,Prom scene so kino
Evil Dead Rise,20 Dec 2023,★★★,False,
Wonka,19 Dec 2023,★★,False,face
The House Builder-Upper,19 Dec 2023,,False,He is never going to build that house
The Zone of Interest,18 Dec 2023,★★★★,False, The dog turns round it’s masters legs and waits for a greeting. The dog follows it’s master through the house and cries and paws at the door when she goes to try on her new fur and her new lipstick. The dog traverses the yard while the children play in the pool. It follows its master through the garden but waits back to smell and taste the food set out on the unobserved picnic table. It is scolded and shooed… 
The Boy and the Heron,07 Dec 2023,★★★★,False,7-8
Nathan for You: Finding Frances,06 Dec 2023,★★★½,False,For I'm aDing dong daddy from DumasYou ought to see me do my stuff
Godzilla Minus One,03 Dec 2023,★★★★,False,7-8
I Am Sam,29 Nov 2023,★½,False,No one else could’ve done it better. Sean Penn was extraordinary
Napoleon,24 Nov 2023,★★,False,
Thanksgiving,19 Nov 2023,★★★,False,
Angel Dust,18 Nov 2023,★★★,False,
The Marvels,14 Nov 2023,★,False,
Dream Scenario,10 Nov 2023,★★★★,False,
Invasion of the Body Snatchers,08 Nov 2023,★★★,False,
The Holdovers,05 Nov 2023,★★★★,False,
Scooby-Doo 2: Monsters Unleashed,02 Nov 2023,★★★½,True,
Retribution,29 Oct 2023,★★★½,False,
The Killer,28 Oct 2023,★★★½,False,
Killers of the Flower Moon,24 Oct 2023,★★★½,False,
Dawn of the Dead,22 Oct 2023,★★★,False,
Anatomy of a Fall,17 Oct 2023,★★★½,False,
The Exorcist III,14 Oct 2023,★★★★½,True,
Exorcist: The Beginning,12 Oct 2023,★½,False,
Exorcist II: The Heretic,08 Oct 2023,★★★½,False,
Poison,05 Oct 2023,★★★½,False,
The Rat Catcher,05 Oct 2023,★★★½,False,
The Swan,05 Oct 2023,★★★★,False,
The Wonderful Story of Henry Sugar,05 Oct 2023,★★★½,False,
The Shining,04 Oct 2023,★½,False,
Dumb Money,25 Sep 2023,★★★,False,
Johnny Mnemonic,15 Sep 2023,★★½,False,
Encounter of the Spooky Kind,14 Sep 2023,★★★½,False,
Coven,10 Sep 2023,,False,
American Movie,09 Sep 2023,★★★★★,True,
Sorcerer,04 Sep 2023,★★★★,False,
Petite Maman,30 Aug 2023,★★★★,False,
Chameleon Street,21 Aug 2023,★★★½,False,
The Texas Chainsaw Massacre,16 Aug 2023,★★★,False,
Leatherface: The Texas Chainsaw Massacre III,14 Aug 2023,★½,False,
The Texas Chainsaw Massacre 2,14 Aug 2023,★★★★,False,
The Brood,13 Aug 2023,★★★½,False,
Computer Chess,12 Aug 2023,★★★★,False,
House of 1000 Corpses,11 Aug 2023,★★½,False,
Talk to Me,01 Aug 2023,★★★½,False,
Cutter's Way,31 Jul 2023,★★★,False,
Thir13en Ghosts,29 Jul 2023,★★★,False,
Barbie,26 Jul 2023,★★★½,False,
Dumb and Dumberer: When Harry Met Lloyd,23 Jul 2023,★★,False,
Oppenheimer,21 Jul 2023,★★★★½,False,
Tenet,17 Jul 2023,★★★½,False,
Ratty,16 Jul 2023,★★★★,False,
Godland,15 Jul 2023,★★★,False,
Die Hard: With a Vengeance,08 Jul 2023,★★★½,False,
Indiana Jones and the Dial of Destiny,01 Jul 2023,★★½,False,
Indiana Jones and the Kingdom of the Crystal Skull,01 Jul 2023,★★★½,False,
No Hard Feelings,27 Jun 2023,★★★,False,
Men in Black 3,20 Jun 2023,★★★½,False,
Asteroid City,18 Jun 2023,★★★½,False,
Holes,13 Jun 2023,★★★★,True,
Spider-Man: Across the Spider-Verse,11 Jun 2023,★★★½,False,
Signs,10 Jun 2023,★★★½,False,
But I'm a Cheerleader,09 Jun 2023,★★★½,False,
Jennifer's Body,05 Jun 2023,★★★½,False,
Boogie Nights,04 Jun 2023,★★★★½,True,
The World According to Garp,03 Jun 2023,★★★,False,
Dog Day Afternoon,01 Jun 2023,★★★★½,True,
Pitch Perfect,01 Jun 2023,★★½,False,
This Is Where I Leave You,31 May 2023,★★★,False,
A Matter of Life and Death,30 May 2023,★★★★,False,
Mysterious Skin,29 May 2023,★★★½,False,
BlackBerry,24 May 2023,★★★½,False,
Wet Hot American Summer,08 May 2023,★★★★,True,
Guardians of the Galaxy Vol. 3,05 May 2023,★★½,False,
Crimson Peak,05 May 2023,★★★,False,
The Thing,01 May 2023,★★★,False,
Network,29 Apr 2023,★★★★½,False,
Willy Wonka & the Chocolate Factory,26 Apr 2023,★★★½,False,
The Fugitive,18 Apr 2023,★★★½,False,
Beau Is Afraid,15 Apr 2023,★★★,False,
Hereditary,14 Apr 2023,★★½,False,
John Wick: Chapter 4,02 Apr 2023,★★★,False,
Kingsman: The Golden Circle,31 Mar 2023,★★★,False,
My Neighbor Totoro,29 Mar 2023,★★★★,False,
The Hunger Games: Mockingjay – Part 2,23 Mar 2023,★★½,False,
The Hunger Games: Mockingjay – Part 1,23 Mar 2023,★★½,False,
The Hunger Games: Catching Fire,22 Mar 2023,★★★½,False,
The Cable Guy,20 Mar 2023,★★★½,False,
The Perks of Being a Wallflower,19 Mar 2023,★★★½,False,
Drillbit Taylor,17 Mar 2023,★★★,False,
The Arrival,16 Mar 2023,★★★,False,
Everything Everywhere All at Once,15 Mar 2023,★★★,False,
Spacy,13 Mar 2023,★★★★,False,
Marry Me,13 Mar 2023,★★★½,False,
The Running Man,11 Mar 2023,★★★½,False,
Cocaine Bear,08 Mar 2023,★★★½,False,
Falling Down,07 Mar 2023,★★★½,False,
Ant-Man and the Wasp: Quantumania,02 Mar 2023,★,False,
DodgeBall: A True Underdog Story,27 Feb 2023,★★★,False,
Basic Instinct,24 Feb 2023,★★★★½,False,
A League of Their Own,23 Feb 2023,★★½,False,
The Abyss,21 Feb 2023,★★★½,False,
Thor: Love and Thunder,20 Feb 2023,½,False,
Star Trek II: The Wrath of Khan,17 Feb 2023,★★★,False,
Matinee,14 Feb 2023,★★★,False,
Life of Brian,13 Feb 2023,★★★,False,
True Lies,11 Feb 2023,★★★★,True,
Knock at the Cabin,10 Feb 2023,★★★½,False,
Infinity Pool,07 Feb 2023,★★★,False,
Alien,02 Feb 2023,★★★½,False,
Smooth Talk,01 Feb 2023,★★★★,False,
The Unbearable Weight of Massive Talent,29 Jan 2023,★★★,False,
The Magnificent Ambersons,28 Jan 2023,★★½,False,
"Paris, Texas",24 Jan 2023,★★★★½,True,
Aftersun,23 Jan 2023,★★★½,False,
Fleishman Is in Trouble,21 Jan 2023,★★★★,False,
Clue,21 Jan 2023,★★★½,False,
Cabaret,19 Jan 2023,★★★★½,False,
Skinamarink,14 Jan 2023,★★★★,False,
Puss in Boots: The Last Wish,11 Jan 2023,★★★½,False,
Southland Tales,10 Jan 2023,★★★★,True,
Family Guy Presents: Blue Harvest,10 Jan 2023,,False,
Harry Potter and the Half-Blood Prince,09 Jan 2023,★★★★,False,
Minority Report,06 Jan 2023,★★★★,False,
Fallen Angels,05 Jan 2023,★★★★,False,
The Murmuring,02 Jan 2023,★★★,False,
White Noise,30 Dec 2022,★★½,False,
Road House,28 Dec 2022,★★★★,True,
Ghostbusters,25 Dec 2022,★★★★,True,
Glass Onion,24 Dec 2022,★★½,False,
"Merry Christmas, Mr. Lawrence",23 Dec 2022,★★★★,False,
Babylon,22 Dec 2022,★★★½,False,
Avatar: The Way of Water,18 Dec 2022,★★★★,False,
The Haunting of Hill House,17 Dec 2022,★★★½,False,
Amsterdam,13 Dec 2022,★★,False,
The Muppet Christmas Carol,12 Dec 2022,★★★½,False,
The Whale,11 Dec 2022,★★★,False,
Sonatine,10 Dec 2022,★★★½,False,
The Menu,03 Dec 2022,★★★½,False,
Magic Mike,01 Dec 2022,★★★½,False,
The Wonder,30 Nov 2022,★★★,False,
The Viewing,30 Nov 2022,★★★½,False,
Making 1899,30 Nov 2022,★★½,False,
Collateral,25 Nov 2022,★★★½,False,
Disenchanted,23 Nov 2022,★★,False,
Bones and All,18 Nov 2022,★★★½,False,
Deep Impact,18 Nov 2022,★★½,False,
The Fabelmans,14 Nov 2022,★★★★,False,
Hearts of Darkness: A Filmmaker's Apocalypse,13 Nov 2022,★★★★,False,
Julien Donkey-Boy,12 Nov 2022,★★★★½,False,
Black Panther: Wakanda Forever,10 Nov 2022,★★½,False,
Heartburn,09 Nov 2022,★★★½,False,
The Banshees of Inisherin,08 Nov 2022,★★★,False,
Wittgenstein,07 Nov 2022,★★★½,False,
Star Wars: Episode I – The Phantom Menace,05 Nov 2022,★★½,False,
Jurassic Park,03 Nov 2022,★★★★,False,
Sparrow,01 Nov 2022,★★★★,False,
The Discarnates,31 Oct 2022,★★★½,False,
Decision to Leave,26 Oct 2022,★★★,False,
The Ruins,25 Oct 2022,★★★,False,
An American Werewolf in London,20 Oct 2022,★★★½,False,
This Is the End,19 Oct 2022,★★★½,False,
Young Frankenstein,17 Oct 2022,★★★,False,
Ghosts of Mars,17 Oct 2022,★★½,False,
War of the Worlds,15 Oct 2022,★★★½,False,
TÁR,13 Oct 2022,★★★½,False,
Halloween II,12 Oct 2022,★★★½,False,
The Covenant,11 Oct 2022,★★,False,
Triangle of Sadness,09 Oct 2022,★★★★,False,
Halloween,07 Oct 2022,★★½,False,
Speak No Evil,07 Oct 2022,★★★½,False,
