Movie,Date Watched,Rating,Liked,Review
Spider-Man: Across the Spider-Verse,25 Jun 2023,★★★★½,True,they made a movie about holes and its freaking bursting.
Black Mirror: Demon 79,18 Jun 2023,★★★★,True,Lesson learned: You should listen to your intrusive thoughts sometimes😂
Black Mirror: Mazey Day,16 Jun 2023,★★½,False,You will never be White Bear🤌🏻
Guillermo del Toro's Pinocchio,25 Dec 2022,,True,Christmas existential crisis🎄❄️☃️
The Double Life of Véronique,04 Sep 2022,★★★,False,Irène Jacobs is so beautiful.
Se7en,04 Sep 2022,★★½,False,"Fincher's execution and style in this film really didn't work for me. Most of the time, I felt detach from the experience."
Andrei Rublev,03 Sep 2022,★★★½,False,"At last, I have finally watched all Tarkovsky's feature length films. Similar to its previous works, it's a visual spectacle and otherworldly spiritual experience. However, I won't pretend that I've absorbed everything that I've just watched because it will really take you some extra time to interpret Tarkovsky's abstract ideas."
Fargo,03 Sep 2022,★★★★½,True,You know it'd be goddamn great the moment you see Frances McDormand on the screen.
Wild Tales,29 Aug 2022,★★★★½,True,What a great way to cap off the long weekend. That was literally a WILD experience. 🤣
The Big Lebowski,29 Aug 2022,★★★,False,"Life doesn't stop or start at your convenience, you piece of shit."
Frances Ha,29 Aug 2022,★★★★,True,I’m so embarrassed. I’m not a real person yet.
"Mary is Happy, Mary is Happy",28 Aug 2022,★★★½,False,May tomorrow be better.
Only Yesterday,28 Aug 2022,★★★★½,True,
10 Things I Hate About You,22 Aug 2022,★★★★,True,
Phantom Thread,21 Aug 2022,★★★★½,True,
Punch-Drunk Love,21 Aug 2022,★★★,False,
Magnolia,21 Aug 2022,★★★★,True,
"Oslo, August 31st",12 Aug 2022,★★★½,False,
Close-Up,23 Jul 2022,★★★,False,
Good Morning,10 Jul 2022,★★★,False,
Harakiri,15 Apr 2022,★★★,False,
Landscape in the Mist,30 Mar 2022,★★★★★,True,
Three Colours: Blue,29 Mar 2022,★★★,False,
Being John Malkovich,27 Mar 2022,★★★½,False,
When Harry Met Sally...,27 Feb 2022,★★★★,True,
Stand by Me,26 Feb 2022,★★★★½,True,
All Too Well: The Short Film,13 Nov 2021,★★★,False,
Tampopo,07 Nov 2021,★★★½,False,
The Piano Teacher,07 Nov 2021,★★★★,False,
Rosemary's Baby,01 Nov 2021,★★★,False,
Squid Game,29 Sep 2021,★★★★,True,
Terrorizers,31 Aug 2021,★★★★,False,
Witness for the Prosecution,30 Aug 2021,★★★★★,True,
Tokyo Sonata,16 Aug 2021,★★★★,True,
Stand by Me,15 Aug 2021,★★★★½,True,
Pain and Glory,27 Jun 2021,★★★½,False,
Decalogue I,27 Jun 2021,★★★★,True,
Amadeus,26 Jun 2021,★★★★★,True,
Insiang,04 Apr 2021,★★★★½,True,
Magnifico,04 Apr 2021,★★★★½,True,
Manila in the Claws of Light,04 Apr 2021,★★★★½,True,
Promising Young Woman,03 Apr 2021,★★★★,False,
Minari,03 Apr 2021,★★★½,True,
The Father,03 Apr 2021,★★★½,False,
Palm Springs,03 Apr 2021,★★★★,False,
Nomadland,02 Apr 2021,★★★★½,True,
Chungking Express,01 Apr 2021,★★★★★,True,
Little Miss Sunshine,28 Mar 2021,★★★★,False,
Joe Pera Talks You to Sleep,27 Mar 2021,★★★★★,True,
Amadeus,03 Jan 2021,★★★★★,True,
Soul,03 Jan 2021,★★★★,False,
It's a Wonderful Life,01 Jan 2021,★★★★½,True,
Fan Girl,30 Dec 2020,★★★★,True,
Ivan's Childhood,25 Dec 2020,★★★½,False,
Cléo from 5 to 7,12 Dec 2020,★★★★½,False,
Cleaners,07 Dec 2020,★★★★½,True,
The Sacrifice,23 Nov 2020,★★★★★,True,
The Queen's Gambit,22 Nov 2020,★★★★,False,
The Beaches of Agnès,22 Nov 2020,★★★★,False,
The Cranes Are Flying,24 Oct 2020,★★★★,False,
World of Tomorrow,10 Oct 2020,★★★★,False,
Network,02 Oct 2020,★★★★½,True,
Léon: The Professional,30 Sep 2020,★★,False,
A Scene at the Sea,29 Sep 2020,★★★,False,
Chungking Express,27 Sep 2020,★★★★★,True,
Fallen Angels,22 Sep 2020,★★★★½,True,
Fight Club,20 Sep 2020,★★★★★,True,
Double Indemnity,19 Sep 2020,★★★★½,False,
Requiem for a Dream,19 Sep 2020,★★★★,False,
Arrival,17 Sep 2020,★★★★,False,
A Ghost Story,17 Sep 2020,★★★,False,
The Young Girls of Rochefort,16 Sep 2020,★★★★½,False,
Sunset Boulevard,14 Sep 2020,★★★★★,True,
Some Like It Hot,14 Sep 2020,★★★★★,True,
Taipei Story,14 Sep 2020,★★★½,False,
Incendies,08 Sep 2020,★★★★½,False,
Rear Window,07 Sep 2020,★★★★½,False,
Carol,03 Sep 2020,★★★★,False,
The Thing,31 Aug 2020,★★★★½,True,
Late Spring,18 Aug 2020,★★★★½,False,
Solaris,17 Aug 2020,★★★★,False,
The Sacrifice,17 Aug 2020,★★★★★,True,
Come and See,15 Aug 2020,★★★★★,True,
John Denver Trending,15 Aug 2020,★★★★½,True,
12 Angry Men,12 Aug 2020,★★★★★,True,
Children of Men,11 Aug 2020,★★★½,False,
The Northman,08 Aug 2020,,False,
Dreams,31 Jul 2020,★★★★½,False,
High and Low,31 Jul 2020,★★★½,False,
After the Storm,28 Jul 2020,★★★★,False,
Our Little Sister,25 Jul 2020,★★★★½,False,
Maborosi,20 Jul 2020,★★★★½,True,
Memories of Murder,20 Jul 2020,★★★★½,False,
The 400 Blows,19 Jul 2020,★★★★,False,
Perfect Blue,18 Jul 2020,★★★★½,False,
Akira,18 Jul 2020,★★★★★,False,
Do the Right Thing,14 Jul 2020,★★★★★,True,
"Paris, Texas",13 Jul 2020,★★★½,False,
Mirror,06 Jul 2020,★★★★★,False,
Yi Yi,06 Jul 2020,★★★★½,False,
2001: A Space Odyssey,06 Jul 2020,★★★½,False,
Taste of Cherry,03 Jul 2020,★★★★,False,
There Will Be Blood,03 Jul 2020,★★★★,False,
Stalker,02 Jul 2020,★★★★½,True,
A Clockwork Orange,28 Jun 2020,★★★★★,False,
"Like Father, Like Son",24 Jun 2020,★★★★½,False,
Tokyo Story,22 Jun 2020,★★★★½,False,
Apocalypse Now,21 Jun 2020,★★★★★,True,
"Synecdoche, New York",21 Jun 2020,★★½,False,
The Graduate,16 Jun 2020,★★★★,False,
The Apartment,15 Jun 2020,★★★★★,True,
All That Jazz,14 Jun 2020,★★★★,False,
Cinema Paradiso,07 Jun 2020,★★★★★,True,
Barry Lyndon,07 Jun 2020,★★★★★,False,
Barry Lyndon,07 Jun 2020,★★★★★,False,
Nobody Knows,31 May 2020,★★★★,False,
Dog Day Afternoon,31 May 2020,★★★★½,True,
Sunday Beauty Queen,24 May 2020,★★★★,False,
The Kite Runner,23 May 2020,★★,False,
The Kite Runner,23 May 2020,★★,False,
The Godfather: Part II,23 May 2020,★★★★½,True,
Pulp Fiction,22 May 2020,★★★★½,False,
After Life,21 May 2020,★★★★,False,
The Shining,20 May 2020,★★★★,False,
3 Idiots,16 May 2020,★★★★,False,
City of God,16 May 2020,★★★★½,False,
GoodFellas,14 May 2020,★★★★½,True,
The Godfather,12 May 2020,★★★★★,True,
Jesus Is Dead,28 Apr 2020,★★½,False,
Sing Street,28 Apr 2020,★★★½,False,
Still Walking,28 Apr 2020,★★★★★,True,
Y Tu Mamá También,27 Apr 2020,★★★★★,True,
The Invisible Guest,26 Apr 2020,★★★★,False,
Blue Is the Warmest Color,26 Apr 2020,★★★½,False,
The Garden of Words,25 Apr 2020,★★★,False,
Chungking Express,22 Apr 2020,★★★★★,True,
Titanic,22 Apr 2020,★★★★★,False,
The Handmaiden,21 Apr 2020,★★★★★,False,
5 Centimeters per Second,21 Apr 2020,★★★★½,False,
Happy Together,21 Apr 2020,★★★,False,
Happy Together,21 Apr 2020,★★★,False,
A Gentle Breeze in the Village,21 Apr 2020,★★★,False,
Lost in Translation,17 Apr 2020,★★★★,False,
The Truman Show,13 Apr 2020,★★★★,False,
Little Women,14 Feb 2020,★★★★★,False,
The Lighthouse,08 Feb 2020,★★★★★,False,
Uncut Gems,05 Feb 2020,★★★★★,False,
Suspiria,06 Jan 2020,★★★★,False,
Game Night,06 Jan 2020,★★★,False,
Ready or Not,06 Jan 2020,★★★,False,
Climax,06 Jan 2020,★★★★,False,
The Souvenir,06 Jan 2020,★★★,False,
The Favourite,05 Jan 2020,★★★★★,False,
Ad Astra,05 Jan 2020,★★★★,False,
Midsommar,04 Jan 2020,★★★★★,True,
Call Me by Your Name,04 Jan 2020,★★★★,False,
In the Mood for Love,04 Jan 2020,★★★★,False,
Walk of Shame,04 Jan 2020,★★½,False,
The Grand Budapest Hotel,04 Jan 2020,★★★★,False,
Boyhood,04 Jan 2020,★★★,False,
The Farewell,04 Jan 2020,★★★★,False,
Portrait of a Lady on Fire,30 Dec 2019,★★★★★,False,
Marriage Story,29 Dec 2019,★★★★,False,
Shoplifters,05 Nov 2019,★★★★★,False,

Followers
catapinas,qalidqasim322,cocaconan,okayclaire,melrose90,timgerstfilms,davidjame0010,mamaru,jigranch,matheusrego,nassra,neobhatia,artbroken,fishtank,johnmherology,didierbecu,renielfilms,averylsarmiento,armanmanansala,sunjazzfilms,alexyoken,ariannexandrea,its_erica,veracio,remzabdulla,alisxnb,jacobstertz,nameloss,thefilmmaster91,dphbjs,ameliaoxford,gieselle,xpert_ninja,ethan_mateo,shuafilms,potaakosimj,wonderbabe,zedramos,gelocorado,ptacekethx,yogiieebear,pedrojj,kathydiaz86,maxrpower,sensate,jarocat,beemsoe,thelistislife42,alian_bicurtis,anjudevera,danielscalph,marysmode,dallasfrance,cydeltutoy,zibywiby,krodgers101,probablyajay,stardustedfilm,cesar470,nico_quejano,thriftedyouth,ckentelmann,kathleenceralde,dpsriver,tmra,jmillescent,sprvn,marcjoshualo,aleesasah,genxfranco,airadii,dnncq,markinjay,cinestill,philiphilip,hongweikai,peteragbayani,iamphilsm,chivancillo,davemhanley83,paulgrapes,christo1,supkdub,nancydrewblood6,fiepli,roisetto,cam1cobbo,cinephile_s,willhatch,lucianohernan,dan_felix,niborquinones,omgjaye,mialit0190,cinemaphillia,user1207756,stillsandtracks,jackwinchester,bradya,lssmnth,pelikula

Following
gabbigarcia,khalilramos,s1cksadworld,itsacslife,okayclaire,playbuck,mubi,mereophe,alexisminer123,leviyoung572,dreyuhsanchez,timgerstfilms,ameliaoxford,kimfrancis,cjgarciamataya,marcozom,cinemil,nassra,didierbecu,baehonest,therealjuntao,fishtank,seatricebebby,ilyclemmie,averylsarmiento
