Movie,Date Watched,Rating,Liked,Review
Beyond Utopia,15 Jan 2024,★★★★½,False,
Monster,11 Jan 2024,★★★★½,False,
The Boy and the Heron,08 Jan 2024,★★★,False,
Society of the Snow,07 Jan 2024,★★★½,False,
The Mission,30 Dec 2023,★★★½,False,
Saltburn,22 Dec 2023,★★★★½,False,
Maestro,21 Dec 2023,★★★½,False,
May December,03 Dec 2023,★★★★,False,
The Holdovers,02 Dec 2023,★★★★,False,
Napoleon,29 Nov 2023,★★★★,False,
Afire,27 Nov 2023,★★★★½,False,
The Creator,27 Nov 2023,★★★,False,
Leo,27 Nov 2023,★★★,False,
Rustin,19 Nov 2023,★★½,False,
Dumb Money,13 Nov 2023,★★★½,False,
Quiz Lady,13 Nov 2023,★★,False,
The Killer,12 Nov 2023,★★★★½,False,
NYAD,04 Nov 2023,★★★★,False,
The Pigeon Tunnel,04 Nov 2023,★★★,False,
A Haunting in Venice,01 Nov 2023,★★,False,None of these movies are good
The Taste of Things,30 Oct 2023,★★★½,False,This film made me HUNGRY
The Burial,20 Oct 2023,★★★½,False,
Killers of the Flower Moon,20 Oct 2023,★★★★★,False,
In My Mother's Skin,15 Oct 2023,★★★,False,
The Caine Mutiny Court-Martial,07 Oct 2023,★★★★½,False,
No One Will Save You,06 Oct 2023,★★★½,False,
La Chimera,03 Oct 2023,★★★★,False,Started a bit slow and odd but it really captured me by the end.
Bottoms,24 Sep 2023,★★,False,
Blue Beetle,24 Sep 2023,★½,False,
Talk to Me,24 Sep 2023,★★★★,False,Holy shit. Did not expect this to be that good.
El Conde,20 Sep 2023,★★★½,False,
Talk to Me,14 Sep 2023,★★★★,False,Holy shit. Did not expect this to be that good.
Indiana Jones and the Dial of Destiny,03 Sep 2023,★★½,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,03 Sep 2023,★★★½,False,
Anatomy of a Fall,27 Aug 2023,★★★★½,False,
Past Lives,26 Aug 2023,★★★★★,False," The one detail I absolutely loved in Past Lives is when Hae Sung asks Nora about Montauk, and in response, Nora tells him to watch Eternal Sunshine of the Spotless Mind, which we see him do in the following scene. [This exchange happens, by the way, in my favorite part of the film, directorially speaking. The camera work in that almost dream-like, montage phase of their re-connection was just too good.]One of the famous lines uttered in Eternal Sunshine… "
No Hard Feelings,10 Aug 2023,★★★,False,
JFK,05 Aug 2023,★★★★,False,
Joy Ride,28 Jul 2023,★★★½,False,
They Cloned Tyrone,23 Jul 2023,★★★,False,
Barbie,23 Jul 2023,★★★½,False," So Ken learns about the patriarchy in…. LA? One can only imagine what Kendom would’ve been like had they landed in middle America or the Philippines. The Kens might’ve flayed the trans Barbie. Otherwise it is a fun time at the cinema, although I don’t think its as progressive as some people think it is, the fact that Ken is actually the most developed and interesting character notwithstanding (am I the only one who left the film thinking “now I… "
Oppenheimer,20 Jul 2023,★★★★★,False,Holy shit.
The Flash,17 Jul 2023,★½,False,
Asteroid City,17 Jul 2023,★★★,False,
Mission: Impossible – Dead Reckoning Part One,13 Jul 2023,★★★★½,False,
Wham!,07 Jul 2023,★★★½,False,
Mission: Impossible II,30 Jun 2023,★½,False,
You Hurt My Feelings,28 Jun 2023,★★★★,False,
"Are You There God? It's Me, Margaret.",11 Jun 2023,★★★½,False,
BlackBerry,07 Jun 2023,★★★★½,False,I just love these kinds of movies
Basic Instinct,07 Jun 2023,★★★½,False,
Reality,05 Jun 2023,★★★,False,
Basic Instinct,05 Jun 2023,,False,
Spider-Man: Across the Spider-Verse,01 Jun 2023,★★★★★,False,
Polite Society,01 Jun 2023,★★★★,False,
Nam June Paik: Moon Is the Oldest TV,21 May 2023,★★★★,False,
A Thousand and One,20 May 2023,★★★½,False,
Raiders of the Lost Ark,20 May 2023,★★★★★,False,
Air,20 May 2023,★★★★,False,
The Super Mario Bros. Movie,14 May 2023,★★½,False,
Guardians of the Galaxy Vol. 3,12 May 2023,★★★½,False,
Return to Seoul,06 May 2023,★★★½,False,
Scream VI,05 May 2023,★★,False,
Shazam! Fury of the Gods,15 Apr 2023,★½,False,
Operation Fortune: Ruse de Guerre,10 Apr 2023,★★★½,False,
The Hunt for Red October,05 Apr 2023,★★★½,False,
Creed III,05 Apr 2023,★★★,False,
Rye Lane,01 Apr 2023,★★★½,False,
Dungeons & Dragons: Honor Among Thieves,30 Mar 2023,★★★★,False,
John Wick: Chapter 4,28 Mar 2023,★★★★,False,
Presumed Innocent,12 Mar 2023,★★★★,False,
All the Beauty and the Bloodshed,06 Mar 2023,★★★★,False,
Magic Mike's Last Dance,04 Mar 2023,★★½,False,
Rosencrantz & Guildenstern Are Dead,28 Feb 2023,★★★★,False,
The Grifters,28 Feb 2023,★★★½,False,
Women Talking,26 Feb 2023,★★★★½,False,
The Whale,25 Feb 2023,★★★,False,
Knock at the Cabin,23 Feb 2023,★★,False,There just wasnt enough meat in the bones.
Awakenings,20 Feb 2023,★★★★,False,
Shin Ultraman,17 Feb 2023,★★★★,False,
"Argentina, 1985",14 Feb 2023,★★★★★,False,
Babylon,11 Feb 2023,★★½,False,
Tootsie,11 Feb 2023,★★★★½,False,
Theater Camp,29 Jan 2023,★★★,False,
M3GAN,28 Jan 2023,★★★,False,
Joyland,27 Jan 2023,★★★★★,False,
Fair Play,26 Jan 2023,★★★½,False,
20 Days in Mariupol,26 Jan 2023,★★★★½,False,
A Little Prayer,26 Jan 2023,★★★★½,False,The final 10 minutes of this movie will make a grown man weep.
Cat Person,26 Jan 2023,★★★,False,
Little Richard: I Am Everything,25 Jan 2023,★★½,False,
Pianoforte,25 Jan 2023,★★★★,False,
Shortcomings,25 Jan 2023,★★★★,False,"This movie is filled with exactly the right kind of annoying, pretentious hipsters that i love to hatewatch."
Run Rabbit Run,25 Jan 2023,★★½,False,
Bones and All,15 Jan 2023,★★★★½,False,
Shaolin Soccer,15 Jan 2023,★★★½,False,
Marnie,09 Jan 2023,★★★,False,
Psycho,05 Jan 2023,★★★★,False,
The Birds,02 Jan 2023,★★★½,False,
Glass Onion,24 Dec 2022,★★★★½,False,
The Fabelmans,17 Dec 2022,★★★½,False,
Decision to Leave,16 Dec 2022,★★★★½,False,
Avatar: The Way of Water,15 Dec 2022,★★★½,False,
The Banshees of Inisherin,15 Dec 2022,★★★★½,False,
Corsage,11 Dec 2022,★★★,False,I fell asleep an hour in for like 30 mins and i woke up and kept watching and it didnt even matter
Guillermo del Toro's Pinocchio,11 Dec 2022,★★★★,False,
Till,30 Nov 2022,★★★½,False,
Armageddon Time,27 Nov 2022,★★★½,False,
She Said,24 Nov 2022,★★★,False,
Triangle of Sadness,24 Nov 2022,★★★★,False,
The Wonder,20 Nov 2022,★★★★,False,
TÁR,20 Nov 2022,★★★★★,False,
TÁR,19 Nov 2022,★★★★★,False,
Soft & Quiet,11 Nov 2022,★★★,False,
Black Panther: Wakanda Forever,10 Nov 2022,★★★½,False,
Causeway,06 Nov 2022,★★,False,
Weird: The Al Yankovic Story,06 Nov 2022,★★★½,False,
See How They Run,02 Nov 2022,★★★★,False,
All Quiet on the Western Front,28 Oct 2022,★★★★,False,
Barbarian,26 Oct 2022,★★★½,False,
Marcel the Shell with Shoes On,23 Oct 2022,★★★★½,False,
Pearl,23 Oct 2022,★★★½,False,
Bros,18 Oct 2022,★★,False,
The Lovers,16 Oct 2022,★★★½,False,
Zazie dans le Métro,16 Oct 2022,★½,False,
Catherine Called Birdy,15 Oct 2022,★★★★,False,
Don't Worry Darling,15 Oct 2022,★★,False,
