Movie,Date Watched,Rating,Liked,Review
Please Don't Destroy: The Treasure of Foggy Mountain,13 Jan 2024,★★★★,True,
Jennifer's Body,03 Jan 2024,★★★★,True,
Barbie,02 Jan 2024,★★★★,True,
Miss Americana,01 Jan 2024,★★★½,False,Insightful in the way that American Psycho is for Patrick Bateman
Zombieland: Double Tap,01 Jan 2024,★★½,True,
Stop Making Sense,01 Jan 2024,★★★★★,True,ONLY energy I am tolerating in 2024
All Too Well: The Short Film,01 Jan 2024,,False,Yeah I’m fine what’s up
Borat Subsequent Moviefilm,07 Dec 2023,★★★½,True,
Saltburn,06 Dec 2023,,False,
May December,02 Dec 2023,★★★★½,True,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,29 Nov 2023,★★★★,True,
The Marvels,19 Nov 2023,★★,False,
The Hunger Games: The Ballad of Songbirds & Snakes,19 Nov 2023,★★★½,False,Gasped at century gothic credits… that’s herstory
Under the Skin,23 Oct 2023,★★★,False,How it feels to chew 5 gum
Killers of the Flower Moon,19 Oct 2023,★★★★½,False,
The Killer in My Backyard,19 Oct 2023,★,False,Such a good movie if this is the first movie you've seen in 14 years
Phantom Thread,06 Oct 2023,★★★★,False,
Fair Play,06 Oct 2023,★★★½,True,
Triangle of Sadness,05 Oct 2023,★★★★,False,
Benny's Video,05 Oct 2023,★★,False,
Drag Me to Hell,05 Oct 2023,★★★½,True,
Theater Camp,04 Oct 2023,★★½,False,
Jigsaw,01 Oct 2023,★★½,True,The ugly stepchild of the family who I occasionally spend time with because nobody else will and sometimes I am in the mood for something different but worse
Saw X,28 Sep 2023,★★★½,True,
Saw V,27 Sep 2023,★★★,True,If Saw (franchise) wants to get back to their thrilling roots they need a homoerotic cat-and-mouse dynamic to rival whatever Buff Jigsaw and Gilmore Girls Guy have going on. Until then (hello Zepp wrap-up music)
Saw IV,27 Sep 2023,★★,True,The transitions on this movie are TRANSITIONING! Say what you want about the middling 4quel but this movie opens with the big bad's cock and balls out for all to see and that's something these other horror bitches won't even attempt. And swallowing a wax-covered cassette tape moments before death is one of the funniest John Krameriest things John Kramer ever did. What if he hadn't died? Would he have had to shit that out later? I miss John Kramer. I think we'd be friends.
Saw III,25 Sep 2023,★★★★,True,"Biblical. What John and Amanda have going on dynamic-wise is my version of the 2020s ""apocalyptic rugged man and lone child"" trope. Shawnee Smith best supporting actress"
Saw II,25 Sep 2023,★★★,True,"""You will find your son in a safe and secure state"" = HE IS IN A GOD DAMN SAFE is a top notch Jigsaw bit. Thus begins my love affair with Amanda Young. Harley Quinn for bpd girls. Donnie Wahlberg is in this movie! Edited by a group of fifth graders on a sugar rush. Fun gritty time before Saw III changes your life forever"
Saw,25 Sep 2023,★★★★½,True,You knowwww what time it is
Stop Making Sense,24 Sep 2023,★★★★★,True,ONLY energy I am tolerating in 2024
Missing,20 Sep 2023,★★★,False,
Glass Onion,20 Sep 2023,★★★½,True,
A Haunting in Venice,19 Sep 2023,★★½,False,
Saw 3D,14 Sep 2023,★★,True,
Saw VI,14 Sep 2023,★★½,True,
Bottoms,08 Sep 2023,★★★½,True,
