Movie,Date Watched,Rating,Liked,Review
Relic,14 Jan 2024,★★★★,True,Extremely powerful. One of the best endings I’ve seen to a horror film  in quite some time.
Poor Things,14 Jan 2024,★★★★½,True,
The Lair of the White Worm,11 Jan 2024,★★★,True,
Moulin Rouge!,10 Jan 2024,★★★½,True,
BLUE EYE SAMURAI,06 Jan 2024,★★★½,True,
Infinity Pool,06 Jan 2024,★★★½,True,
Mr. & Mrs. Smith,06 Jan 2024,★★,False,
Dave Chappelle: The Dreamer,05 Jan 2024,★★★½,True,
How to Blow Up a Pipeline,02 Jan 2024,★★★½,True,
Saltburn,30 Dec 2023,★★★½,True,
Spirited Away,25 Dec 2023,★★★★,True,
The Holdovers,24 Dec 2023,★★★★½,True,
May December,22 Dec 2023,★★★★½,True,
Leave the World Behind,19 Dec 2023,★★★½,True,
Spy Game,19 Dec 2023,★★★,True,
Godzilla Minus One,17 Dec 2023,★★★★½,True,"This film really snuck up on me. 3 weeks ago I didn’t even know we were expecting a Godzilla release, and now I’m updating my year-end Top 10."
The Boy and the Heron,10 Dec 2023,★★★★,True,
Matt Rife: Natural Selection,28 Nov 2023,★★★,True,
Mike Birbiglia: The Old Man and the Pool,26 Nov 2023,★★★★,True,
Barbarian,23 Nov 2023,★★★★½,True,
Body Snatchers,21 Nov 2023,★★★,True,
Toy Story 3,17 Nov 2023,★★★★½,False,
Cop Land,16 Nov 2023,★★★½,True,
Toy Story 2,16 Nov 2023,★★★★,True,
Paddington 2,16 Nov 2023,★★★★★,True,I had to make it a special screening for my 1000th ❤️‍🔥
Lilo & Stitch,13 Nov 2023,★★★½,True,
Toy Story,12 Nov 2023,★★★★,True,
Pete Holmes: I Am Not for Everyone,11 Nov 2023,★★★½,True,
Gone Girl,11 Nov 2023,★★★★½,True,
A Bug's Life,11 Nov 2023,★★★½,True,
Tangled,11 Nov 2023,★★★★,True,
Nacho Libre,05 Nov 2023,★★★½,True,
The SpongeBob SquarePants Movie,05 Nov 2023,★★★,True,
The Killer,05 Nov 2023,★★★★½,True,
Anatomy of a Fall,04 Nov 2023,★★★★½,True,
Theater Camp,04 Nov 2023,★★★½,True,
Body Parts,03 Nov 2023,★★★½,True,
Phantom of the Paradise,01 Nov 2023,★★★★½,True,
Def by Temptation,29 Oct 2023,★★★½,True,
Van Helsing,29 Oct 2023,★★,True,
The Conjuring,27 Oct 2023,★★★½,True,
The Lost Boys,27 Oct 2023,★★★½,True,
Evil Dead Rise,25 Oct 2023,★★★,True,
V/H/S,25 Oct 2023,★★½,True,
Elemental,24 Oct 2023,★★★,True,
Trick 'r Treat,24 Oct 2023,★★★,True,
Telemarketers,24 Oct 2023,★★★½,True,
Killers of the Flower Moon,21 Oct 2023,★★★★½,True,
Baskin,11 Oct 2023,★★★½,True,
Turkey Shoot,27 Sep 2023,★★★,True,
Barry Lyndon,24 Sep 2023,★★★★½,True,
[REC],23 Sep 2023,★★★½,True,
Benny's Video,23 Sep 2023,★★★½,True,
2001: A Space Odyssey,21 Sep 2023,★★★★★,True,
Sleepaway Camp II: Unhappy Campers,20 Sep 2023,★★½,True,
Day of the Dead,20 Sep 2023,★★★½,True,
Robots,18 Sep 2023,★★★,True,
The Long Good Friday,18 Sep 2023,★★★½,True,
The Seventh Continent,17 Sep 2023,★★★½,True,
Suspiria,16 Sep 2023,★★★★½,True,
Caché,15 Sep 2023,★★★★½,True,"I hardly ever go back to change my rating of a film, but looking for Roger Elbert’s “smoking gun” is driving me crazy and has opened my eyes to how well crafted this film actually is, as maddening as the ambiguity may be."
13 Assassins,14 Sep 2023,★★★★,True,
They Cloned Tyrone,14 Sep 2023,★★★½,True,
The Hills Have Eyes,11 Sep 2023,★★★,True,
The Thief and the Cobbler,10 Sep 2023,★★★,True,
Coraline,10 Sep 2023,★★★½,True,
Lagaan: Once Upon a Time in India,09 Sep 2023,★★★½,True,
Chris Fleming: Hell,09 Sep 2023,★★★,True,
Maniac Cop,08 Sep 2023,★★★,True,
Audition,04 Sep 2023,★★★★½,True,
The Last Voyage of the Demeter,03 Sep 2023,★★★,True,
Cade: The Tortured Crossing,02 Sep 2023,½,True,
Orphan,27 Aug 2023,★★★½,True,
My Bloody Valentine,26 Aug 2023,★★★½,True,
Collateral,26 Aug 2023,★★★½,True,
The Sting,26 Aug 2023,★★★★½,True,
Oldboy,24 Aug 2023,★★★★½,True,
Non-Stop,22 Aug 2023,★★★,True,
Star Trek,15 Aug 2023,★★★½,True,
Guardians of the Galaxy Vol. 3,12 Aug 2023,★★★½,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,04 Aug 2023,★★★½,True,
Little Women,29 Jul 2023,★★★★½,True,
Mission: Impossible – Dead Reckoning Part One,29 Jul 2023,★★★★,True,
Talk to Me,28 Jul 2023,★★★★,True,
Overlord,24 Jul 2023,★★★,True,
Dune,22 Jul 2023,★★★★½,True,
Barbie,21 Jul 2023,★★★★½,True,
Oppenheimer,21 Jul 2023,★★★★½,True,
Mission: Impossible – Fallout,20 Jul 2023,★★★★½,True,
Camp Rock 2: The Final Jam,18 Jul 2023,★★,False,
Kill List,17 Jul 2023,★★★½,True,
Pride & Prejudice,16 Jul 2023,★★★★,True,
Big Fish,16 Jul 2023,★★★★,True,
Mission: Impossible – Rogue Nation,11 Jul 2023,★★★★,True,
How Do You Measure a Year?,11 Jul 2023,★★★½,True,
Mission: Impossible – Ghost Protocol,10 Jul 2023,★★★★,True,
Primal Fear,10 Jul 2023,★★★½,True,
War for the Planet of the Apes,09 Jul 2023,★★★★½,True,
Dawn of the Planet of the Apes,07 Jul 2023,★★★★,True,
Mission: Impossible III,07 Jul 2023,★★★½,True,
Mission: Impossible II,06 Jul 2023,★★★,True,
The Stuff,06 Jul 2023,★★★,True,
Rise of the Planet of the Apes,02 Jul 2023,★★★½,True,
Camp Rock,29 Jun 2023,★½,False,
The Parallax View,26 Jun 2023,★★★★,True,
Schindler's List,25 Jun 2023,★★★★½,True,
Columbus,23 Jun 2023,★★★★½,True,
Twilight,23 Jun 2023,★½,False,
Past Lives,22 Jun 2023,★★★★½,True,
House of Wax,22 Jun 2023,★★★,True,
Tickled,20 Jun 2023,★★★★,True,
The Black Phone,18 Jun 2023,★★½,True,
John Wick: Chapter 4,18 Jun 2023,★★★½,True,
John Wick: Chapter 3 – Parabellum,17 Jun 2023,★★★,True,
The Super Mario Bros. Movie,16 Jun 2023,★★★,True,
Smile,13 Jun 2023,★★★½,True,
Demonlover,12 Jun 2023,★★½,True,
Spider-Man: Across the Spider-Verse,11 Jun 2023,★★★★½,True,
Reality,11 Jun 2023,★★★½,True,
The Burning,11 Jun 2023,★★½,True,
The Town,10 Jun 2023,★★★½,True,
Shiny Happy People: Duggar Family Secrets,09 Jun 2023,★★½,True,
Mysterious Skin,06 Jun 2023,★★★★½,True,
I See You,05 Jun 2023,★★★★,True,
The Comfort of Strangers,29 May 2023,★★★½,True,
Sheng Wang: Sweet and Juicy,28 May 2023,★★★½,True,
JFK,28 May 2023,★★★½,True,
Air,27 May 2023,★★★½,True,
"Sister, Sister",26 May 2023,★★★,True,
The Bedroom Window,26 May 2023,★★★★,True,
Crimes of Passion,24 May 2023,★★★,True,
Fleshtone,20 May 2023,★★★★,True,
Marc Maron: From Bleak to Dark,19 May 2023,★★★½,True,
Dressed to Kill,19 May 2023,★★★½,True,
Cliffhanger,15 May 2023,★★★,True,
Marathon Man,15 May 2023,★★★½,True,
Three Days of the Condor,07 May 2023,★★★½,True,
Raise Your Voice,03 May 2023,★½,False,"The film’s romantic interest pops his head out of a locked door and asks “what’s the password… it’s monkeys, by the way.” Which is the same line that actor says in the 2003 Amanda Bynes vehicle What A Girl Wants. Or at least that’s what I’ve always remembered since I was a child! My wife claims I’m wrong and it’s a bit of a Mandela Effect on my behalf. Now I have to follow up this dog bath with What A Girl Wants 😪 I’ll report back"
John Mulaney: Baby J,27 Apr 2023,★★★★,True,
Hard Boiled,23 Apr 2023,★★★½,True,
BEEF,21 Apr 2023,★★★★½,True,
Dungeons & Dragons: Honor Among Thieves,15 Apr 2023,★★★,True,
Destination Wedding,09 Apr 2023,★★½,True,
Heat,02 Apr 2023,★★★★½,True,
Road House,31 Mar 2023,★★★½,True,
Bullet Train,27 Mar 2023,★★★,True,
Those Who Walk Away,26 Mar 2023,★★★,True,
Cobra,25 Mar 2023,★★★,True,
Jerry Maguire,25 Mar 2023,★★★½,True,
Puss in Boots: The Last Wish,21 Mar 2023,★★★★,True,
Evil Dead,18 Mar 2023,★★½,False,
Beau Travail,03 Mar 2023,★★★½,True,
Exotica,03 Mar 2023,★★★★½,True,
Possession,28 Feb 2023,★★★★½,True,
The Woman King,26 Feb 2023,★★★½,True,
Twin Peaks: Fire Walk with Me,25 Feb 2023,★★★★★,True,
Cruising,22 Feb 2023,★★★½,True,
