Movie,Date Watched,Rating,Liked,Review
The Zone of Interest,15 Jan 2024,★★★★,True,this would be a sick virtual reality experience at the whitney
The Iron Claw,07 Jan 2024,★★★½,True,
Ferrari,26 Dec 2023,★★★,True,
Poor Things,25 Dec 2023,★★★★½,True,Wizard of oz for perverts like me
The Boy and the Heron,25 Dec 2023,★★★★,True,
Paper Moon,23 Dec 2023,★★★★★,True,
"What's Up, Doc?",16 Dec 2023,★★★★,True,Did not realize this was Barbara Streisands vibe
The Last Picture Show,15 Dec 2023,★★★★★,True,
Targets,15 Dec 2023,★★★½,True,
The Holdovers,15 Dec 2023,★★★½,False,"I can recognize that this shit corny as hell, and also that it was enjoyable. Duality of man"
Point Blank,14 Dec 2023,★★★★,True,
The Holiday,07 Dec 2023,★★★,True,The Laurence of Arabia of rom com. Because it’s long as hell
Superstar: The Karen Carpenter Story,29 Nov 2023,★★★★★,True,
Velvet Goldmine,27 Nov 2023,★★★½,True,
Gran Torino,26 Nov 2023,★★★,False,The Hallmark from  Hell
May December,24 Nov 2023,★★★★★,True,"To those who walked out of the theater, don’t be upset. this is just what grown ups do."
Demonlover,22 Nov 2023,★★★★½,True,I do not endorse anybody’s actions in this film. However
The Taking of Pelham One Two Three,21 Nov 2023,★★★★,True,Take me back to the good old days
Anatomy of a Fall,11 Nov 2023,★★★★,True,
The American Friend,07 Nov 2023,★★★★,True,
The Killer,06 Nov 2023,★★★½,True,
The Killing of a Chinese Bookie,30 Oct 2023,★★★½,True,
Killers of the Flower Moon,25 Oct 2023,★★★,False,It’s giving banality of evil
The Fall of the House of Usher,22 Oct 2023,★★½,False,
The Rapture,12 Oct 2023,★★,False,
Over the Garden Wall,11 Oct 2023,★★★★★,True,
John Adams,11 Oct 2023,,True,
Mikey and Nicky,30 Sep 2023,★★★★,True,
The Swan,29 Sep 2023,,True,This is what he was meant to do all along
The Wonderful Story of Henry Sugar,28 Sep 2023,,True,
The Deer Hunter,24 Sep 2023,★★★,False,"Much like time did not serve these characters well, time did not serve this film well"
Opening Night,23 Sep 2023,★★★★½,True,
I Know What You Did Last Summer,21 Sep 2023,★★,True,
The Faculty,21 Sep 2023,★★★★,True,
Bottoms,04 Sep 2023,★★★½,True,
Telemarketers,31 Aug 2023,,True,
The Daytrippers,25 Aug 2023,★★★★½,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,22 Aug 2023,★★★★,True,
High and Low,15 Aug 2023,★★★★,True,
The Menu,01 Aug 2023,★★½,False,
Oppenheimer,28 Jul 2023,★★★★,True,
Barbie,26 Jul 2023,★★★½,True,
Something Wild,23 Jul 2023,★★★★½,True,
Mission: Impossible – Dead Reckoning Part One,19 Jul 2023,★★★½,True,
Ran,16 Jul 2023,★★★★★,True,
Asteroid City,03 Jul 2023,★★★,False,
Safe,02 Jul 2023,★★★★,True,
Carnal Knowledge,21 Jun 2023,★★★½,True,
Alice Doesn't Live Here Anymore,18 Jun 2023,★★★½,True,
