Movie,Date Watched,Rating,Liked,Review
Song to Song,16 Jan 2024,★★★★★,True," Never seen anything quite like this honestly. Let me start with spitting out a bunch of things this reminded me of in a quick fire way to reflect the editing style of this movie. Yorgos Lanthimos. La La Land. Wasted! Sean Baker maybe? Goddamn the camera movements are so eclectic yet meticulous. There's so so so many beautiful shots in this too, and the way the actors will just be staring into the camera, as if we the viewer took… "
I Don't Feel at Home in This World Anymore,14 Jan 2024,★★★★½,True,Wow what a great debut film!! 
Dial M for Murder,12 Jan 2024,★★★★,False,Dial M for 🎶 Murder on the Dancefloor🎶
The Curse,12 Jan 2024,★★★★½,True," EPISODE 10: ""Don't worry I'm not telling anyone"" ""I'm telling everybody 😌"" I'm gonna consider this a finale because there's no way In hell I can see how they will push the story for a season 2 after this but anyways Holy fucking shit. Those are my three words to describe the final episode. This ended in a way I don't think litteraly anybody could've ever predicted, and I love that so much about it. Who would've guessed that it… "
Rear Window,12 Jan 2024,★★★★½,True,Honestly has like perfect dialogue. It's so good. And so funny when it's funny. This movie feels like it would've been so comforting during the pandemic. James Stewart is such an amazing actor here and once again the colors look superb thanks Hitchcock
Vertigo,11 Jan 2024,★★★★★,True," When the nightmare leaves you non verbal ...Any joke aside I'm actually trying so so so so so hard not to just call this my favorite movie of all time right now. Like this is I will admit my first Hitchcock movie. For some reason I never bothered to explore anything from his quite legendary cinematography. I haven't even seen Psycho yet. Anyways, this movie is just incredible through and through. There isn't a single shot in this movie… "
The Player,11 Jan 2024,★★★★½,True," Taking a very tense and downright horrifying situation and viewing it through this super chill lense that Robert Altman is just so good at doing. The story here is really captivating, even if it took me quite a while to finish this (I had to watch it in chunks because I kept getting distracted or had to go do something else etc.) but if I piece it all together in my mind it makes a really good overall movie. It… "
Liquid Sky,10 Jan 2024,★★★★★,True,If Gaspar Noé directed his own version of Under The Skin whilst being on crack the entire time. 
The Long Goodbye,09 Jan 2024,★★★★½,True,"""Well that's you Marlowe. You'll Never learn you're a born loser."" ""Yeah, I even lost my cat *BANG*"" "
3 Women,09 Jan 2024,★★★★★,True,"My second Robert Altman Masterpiece, IN A ROW. Holy shit does he ever elevate his style on this one. Shelley Duvall and Sissy Spacket are both phenomenal actresses and the story is here is so captivating. I feel like this a movie quite ahead of its time too"
Nashville,09 Jan 2024,★★★★★,True," A true example of a real American epic. Holy shit this movie packs so much of what we know of this interesting country into this one 2 hour and 40 minute experience. It's very very interesting from my perspective too, as someone who is studying to enter the music industry in a way. It's a great peek into one of the biggest cities in music, Nashville! Im not really a country person but holy shit every single song is great… "
Amélie,08 Jan 2024,★★★★★,True,Hehehehehehehe
The Florida Project,07 Jan 2024,★★★★★,True,
Tsugumi,07 Jan 2024,★★★★½,True,
"Paris, Texas",06 Jan 2024,★★★★★,True,
The Curse,06 Jan 2024,★★★★,True," EPISODE 10: ""Don't worry I'm not telling anyone"" ""I'm telling everybody 😌"" I'm gonna consider this a finale because there's no way In hell I can see how they will push the story for a season 2 after this but anyways Holy fucking shit. Those are my three words to describe the final episode. This ended in a way I don't think litteraly anybody could've ever predicted, and I love that so much about it. Who would've guessed that it… "
Wiener-Dog,05 Jan 2024,★★★★½,True,
Riceboy Sleeps,04 Jan 2024,★★★★★,True,
Cobweb,04 Jan 2024,★★★★½,True,
I Like Movies,03 Jan 2024,★★★★½,True,
The Midnight After,03 Jan 2024,★★★★½,True,
Eileen,02 Jan 2024,★★★½,False,
Taipei Exchanges,02 Jan 2024,★★★★★,True,
Her,02 Jan 2024,★★★★½,True,
Coffee and Cigarettes,01 Jan 2024,★★★★,True,
Aloners,01 Jan 2024,★★★★½,True,
The Dead Don't Die,01 Jan 2024,★★★★,False,
The Limits of Control,01 Jan 2024,★★★★★,True,
Poor Things,31 Dec 2023,★★★★★,True,
Shortcomings,31 Dec 2023,★★★★★,True,
The Killing of a Sacred Deer,31 Dec 2023,★★★★★,True,
Stranger Than Paradise,31 Dec 2023,★★★★½,True,
The Funeral,30 Dec 2023,★★★½,False,
Khaite FW21,30 Dec 2023,★★★★,True,
Snowbird,30 Dec 2023,★★★★,True,
Jane B. by Agnès V.,30 Dec 2023,★★★★½,True,
The Curse,29 Dec 2023,★★★★,True," EPISODE 10: ""Don't worry I'm not telling anyone"" ""I'm telling everybody 😌"" I'm gonna consider this a finale because there's no way In hell I can see how they will push the story for a season 2 after this but anyways Holy fucking shit. Those are my three words to describe the final episode. This ended in a way I don't think litteraly anybody could've ever predicted, and I love that so much about it. Who would've guessed that it… "
Ghost Dog: The Way of the Samurai,29 Dec 2023,★★★★½,True,
Night on Earth,29 Dec 2023,★★★★★,True,
Adaptation.,28 Dec 2023,★★★★★,True,
Being John Malkovich,28 Dec 2023,★★★★½,False,
Prince of Broadway,28 Dec 2023,★★★★½,True,
Take Out,27 Dec 2023,★★★★★,True,
Priscilla,27 Dec 2023,★★★★★,True,
