Movie,Date Watched,Rating,Liked,Review
American Fiction,29 Dec 2023,,True,"Cinematically boring and uninspired, narratively brilliant and subtle. You can tell it was re-engineered in the editing room a bit but, despite the hand of the director being faintly seen, the hand of the writer is bold and incisive. "
May December,27 Dec 2023,,True,"This is pure performance candy. I hope Todd Haynes feels like he’s allowed to die now knowing he’s put two of the most exceptional performances of the decade to film. And even beyond Portman and Moore, the supporting cast here is unbelievable. The husband carries so much of the weight of this film."
The Killer,26 Dec 2023,,False,"Everything’s about incels and stuff these days, huh?"
Godzilla Minus One,26 Dec 2023,,True,Good lord the Japanese sure know how to invoke the power of God. The score in this movie simply does not quit my friends. Choirs upon choirs regale us as we bask in the destructive delights of the one and only Godzilla. 
The Boy and the Heron,24 Dec 2023,,False,"This sincerely devastates me to say, but I didn’t like this movie. I cried afterward because I didn’t like it."
The Bourne Identity,19 Dec 2023,★★★★★,True,
The Zone of Interest,16 Dec 2023,★★★★★,True,"Possibly the best film I've seen in the last 5 years. I need to see it again before I can really articulate why but, suffice to say, few films I have seen match form to content so perfectly, and even fewer are quite as intentionally withholding (in a way only film can be) to such extraordinary, transcendent effect. Devastating, incredible, not about what you think it's about."
Unforeseen Consequences: A Half-Life Documentary,07 Dec 2023,,True,"The OGs of games were true bleeding edge artists, people who turn their nose up at this shit are luddites."
No End in Sight,06 Dec 2023,,True,
Napoleon,25 Nov 2023,,False,Forgettable enough that I’m logging it 1 month later.
Rango,20 Nov 2023,,True,One of the greatest of all time.
A Place in the Sun,14 Nov 2023,,False,I really didn’t like this minus some shots
Tetris,25 Oct 2023,,True,"Capitalism wins. No but really, for what this is it’s pretty good. It goes over the top at parts but games are fascinating and the game business is fascinating and this movie is filled with shockingly good performances and we’ll paced edits. A great watch and a pretty nuts story."
Perfect Days,20 Oct 2023,★★★★★,True,"Small joys, little sorrows. Temporal atmosphere."
Water Rises,19 Oct 2023,,True,
Music,18 Oct 2023,,False,
Dumb Money,11 Oct 2023,,False,
Pickpocket,21 Sep 2023,,False,
8½,19 Sep 2023,,False,
Jumanji: Welcome to the Jungle,04 Sep 2023,,False,
Jackass 4.5,02 Sep 2023,,False,
Jackass Forever,02 Sep 2023,,True,
The Ghost Writer,29 Aug 2023,,True,
Over the Garden Wall,14 Aug 2023,,True,
Coraline,14 Aug 2023,,True,
Oppenheimer,28 Jul 2023,,True,
Barbie,24 Jul 2023,,True,
Mission: Impossible – Dead Reckoning Part One,23 Jul 2023,,False,
How to Train Your Dragon,23 Jul 2023,,False,
Funny Games,21 Jul 2023,★★★★★,True,
No Hard Feelings,10 Jul 2023,,False,
The Piano Teacher,01 Jul 2023,★★★★★,True,
Combat Obscura,01 Jul 2023,,True,
Extraction 2,27 Jun 2023,,False,
Extraction,25 Jun 2023,,True,
Past Lives,10 Jun 2023,,True,
The Mauritanian,09 Jun 2023,,True,
Spider-Man: Across the Spider-Verse,08 Jun 2023,,True,
La Ciénaga,05 Jun 2023,,True,
Blue Ruin,31 May 2023,,True,
Full Metal Jacket,25 May 2023,★★★★★,True,
Hitch,22 May 2023,★★★,True,
The Beasts,19 May 2023,★★★★½,True,
Master Gardener,18 May 2023,,False,
Blonde,18 May 2023,,False,
The Revenant,10 May 2023,,False,
First Reformed,08 May 2023,★★★★★,True,
First Reformed,06 May 2023,★★★★★,True,
The Killing of Two Lovers,06 May 2023,★★★★★,True,
Beau Is Afraid,24 Apr 2023,,True,
The Card Counter,15 Apr 2023,,True,
Dungeons & Dragons: Honor Among Thieves,14 Apr 2023,,False,
The Killing of Two Lovers,13 Apr 2023,★★★★★,True,
Azor,11 Apr 2023,,True,
