Movie,Date Watched,Rating,Liked,Review
Society of the Snow,14 Jan 2024,★★★★½,True,"“Pero ellos no se sienten héroes. Porque estuvieron muertos como nosotros, y solo ellos regresaron.”"
Priscilla,13 Jan 2024,★★★★,True,I just know that Jacob Elordi doesn’t know how to move his hips
Saltburn,13 Jan 2024,★★★★,True,
Talk to Me,13 Jan 2024,★★★★,True,
Aquaman and the Lost Kingdom,05 Jan 2024,★★★,False,
Bottoms,05 Jan 2024,★★★★,True,
Aliens,03 Jan 2024,★★★½,False,
Fantastic Mr. Fox,02 Jan 2024,★★★★,False,
The French Dispatch,02 Jan 2024,★★★★½,True,
Orphan: First Kill,02 Jan 2024,★★½,False,
Saltburn,02 Jan 2024,★★★★,True,
The Book of Life,31 Dec 2023,★★★★½,True,
Klaus,30 Dec 2023,★★★★,False,
Home Alone,29 Dec 2023,★★★★★,False,
Enchanted,29 Dec 2023,★★★★,False,
Night at the Museum,26 Dec 2023,★★★½,False,
Miss Congeniality,25 Dec 2023,★★,False,A “feminist” movie directed by a man.
The Curious Case of Benjamin Button,25 Dec 2023,★★★★★,True,
Nerve,21 Dec 2023,★★★½,False,
"Yes, God, Yes",21 Dec 2023,★★★,False,
Uptown Girls,21 Dec 2023,★★★★★,True,
Wonka,16 Dec 2023,★★★★,False,
Requiem for a Dream,08 Dec 2023,★★★★★,True,
The Unbearable Weight of Massive Talent,27 Nov 2023,★★★,False,
Love Actually,25 Nov 2023,★★★★★,True,
The Hunger Games: The Ballad of Songbirds & Snakes,24 Nov 2023,★★★★★,True,
First Daughter,21 Nov 2023,★★,False,
Scary Movie,14 Nov 2023,★★½,False,
Bones and All,13 Nov 2023,★★★★½,True,
Bring It On,25 Oct 2023,★★★★,False,
Totally Killer,23 Oct 2023,★★★★,False,
Taylor Swift: The Eras Tour,21 Oct 2023,★★★★★,True,
Monte Carlo,19 Oct 2023,★★★★,True,
X,06 Oct 2023,★★★★½,True,
Juno,30 Sep 2023,★★★★★,True,
Gia,24 Sep 2023,★★★★,False,
The Voyeurs,23 Sep 2023,★★★★,True,
You Are So Not Invited to My Bat Mitzvah,21 Sep 2023,★★★½,False,
My Fault,17 Sep 2023,★★½,False,
Moulin Rouge!,16 Sep 2023,★★★★,True,
Nope,12 Sep 2023,★★★★,False,
Her,06 Sep 2023,★★★★½,True,
The Great Gatsby,16 Aug 2023,★★★★,False,
Jurassic Park,07 Aug 2023,★★★★,True,
Amsterdam,28 Jul 2023,★★★★,False,
Barbie,28 Jul 2023,★★★★★,True,
Barbie,22 Jul 2023,★★★★★,True,
Oppenheimer,21 Jul 2023,★★★★★,True,DILF supremacy
Bridge to Terabithia,16 Jul 2023,★★★★,True,
Raiders of the Lost Ark,14 Jul 2023,★★★,False,
Get Out,13 Jul 2023,★★★★,True,
Little Women,23 Jun 2023,★★★★½,True,
Midnight in Paris,23 Jun 2023,★★★★★,True,
Ant-Man and the Wasp: Quantumania,22 Jun 2023,★★½,False,
Harry Potter and the Goblet of Fire,22 Jun 2023,★★★★,False,
Step Up,17 Jun 2023,★★★½,True,
Final Destination 2,17 Jun 2023,★★½,False,
Final Destination,17 Jun 2023,★★★,False,The Pool scene was it for me
Bodies Bodies Bodies,16 Jun 2023,★★★★½,True,
Spider-Man: Across the Spider-Verse,03 Jun 2023,★★★★½,True,
Bullet Train,20 May 2023,★★★,False,
Guardians of the Galaxy Vol. 3,20 May 2023,★★★½,False,
John Wick: Chapter 4,23 Apr 2023,★★★★,False,
Interstellar,23 Apr 2023,★★★★★,True,
Easy A,04 Apr 2023,★★★★,False,
Burlesque,10 Mar 2023,★★★★,False,
Hairspray,19 Feb 2023,★★★½,False,
The Whale,18 Feb 2023,★★★★,False,
La La Land,10 Feb 2023,★★★★½,True,Changed my life
The Fabelmans,29 Jan 2023,★★★★½,True,
Lost in Translation,23 Jan 2023,★★★★½,True,
The Wonder,07 Jan 2023,★★★★½,False,
Roald Dahl's Matilda the Musical,30 Dec 2022,★★★★,False,
Avatar: The Way of Water,25 Dec 2022,★★★★,False,
Glass Onion,25 Dec 2022,★★★★,True,
Sweet Bean,16 Dec 2022,★★★★,False,
The Menu,10 Dec 2022,★★★★★,True,
Black Panther: Wakanda Forever,29 Nov 2022,★★★½,False,
Murder on the Orient Express,18 Nov 2022,★★,False,
Closer,18 Nov 2022,,False,
Hustlers,12 Nov 2022,★★★★,False,
Save the Last Dance,12 Nov 2022,★★,False,
Don't Worry Darling,07 Nov 2022,★★★★,False,
Enola Holmes 2,06 Nov 2022,★★★★,False,
Atonement,04 Nov 2022,★★★★,True,
Atonement,04 Nov 2022,★★★★,True,
Christiane F.,02 Nov 2022,★★★★½,True,
Black Adam,01 Nov 2022,★★★,False,
Purple Hearts,17 Oct 2022,★★,False,
Do Revenge,17 Oct 2022,★★★½,False,
Men on the Verge of a Nervous Breakdown,15 Oct 2022,★★★½,True,
My Girl,08 Oct 2022,★★★★,False,
Bombshell,08 Oct 2022,★★★,False,
Blonde,08 Oct 2022,★★,False,
Escape Room,01 Oct 2022,★★,False,
Escape Room: Tournament of Champions,30 Sep 2022,★★★½,False,
Orphan,21 Sep 2022,★★★★,False,
The Crush,14 Sep 2022,★★★★½,True,
Promising Young Woman,14 Sep 2022,★★★★,False,
Fall,12 Sep 2022,★★½,False,
Fathers and Daughters,10 Sep 2022,★★★½,False,
Friends with Benefits,08 Sep 2022,★★★½,False,
The Breakfast Club,05 Sep 2022,★★★★½,True,
Singin' in the Rain,03 Sep 2022,★★★★½,True,
Freedom Writers,29 Aug 2022,★★★★,False,
That's Amor,28 Aug 2022,½,False,
Resident Evil: Welcome to Raccoon City,23 Aug 2022,★½,False,The only good thing about this movie was that flying cow
Iron Man,19 Aug 2022,★★★★½,True,
Elvis,15 Aug 2022,★★★½,False,
Alien,14 Aug 2022,★★★★,False,Mother is a bitch
Alien,14 Aug 2022,★★★★,False,Mother is a bitch
Not Okay,11 Aug 2022,★★★½,True,I knew the intentions of that guinea pig from the start
Not Okay,11 Aug 2022,★★★½,True,I knew the intentions of that guinea pig from the start
Inception,10 Aug 2022,★★★★★,True,
Spider-Man: Into the Spider-Verse,10 Aug 2022,★★★★★,False,
The Perks of Being a Wallflower,09 Aug 2022,★★★★★,True,
Little Women,31 Jul 2022,★★★½,False,
Ms. Marvel,15 Jul 2022,★★★½,False,
Thor: Love and Thunder,10 Jul 2022,★★★★,False,
Last Night in Soho,05 Jul 2022,★★★½,False,
La La Land,05 Jul 2022,★★★★½,True,Changed my life
Silver Linings Playbook,04 Jul 2022,★★★★,False,
(500) Days of Summer,03 Jul 2022,★★★★★,True,
Made of Honor,27 Jun 2022,★★★,False,
Everything Everywhere All at Once,25 Jun 2022,★★★★½,True,
Minamata,25 Jun 2022,★★★★,True,
What's Your Number?,22 Jun 2022,★★★,False,
Mr. & Mrs. Smith,21 Jun 2022,★★★★,False,
Spiderhead,21 Jun 2022,★★★,False,
Pride & Prejudice,21 Jun 2022,★★★★,False,
Lightyear,21 Jun 2022,★★★½,False,
Good Will Hunting,21 Jun 2022,★★★★½,True,
Knives Out,21 Jun 2022,★★★★,False,
Along Came Polly,19 Jun 2022,★★,False,
C'mon C'mon,04 Jun 2022,★★★★½,True,
The Impossible,29 May 2022,★★★½,False,
Dog,29 May 2022,★★★,False,
Eternal Sunshine of the Spotless Mind,27 May 2022,★★★★½,False,
Ginger Snaps,23 May 2022,★★★½,True,
Top Gun: Maverick,21 May 2022,★★★★,False,
Spree,14 May 2022,★★★,False,
Melancholia,13 May 2022,★★★★,True,
The Bling Ring,13 May 2022,★★★½,False,
The Two Escobars,13 May 2022,★★★★,False,
Doctor Strange in the Multiverse of Madness,05 May 2022,★★★★½,True,
El testigo: Caín y Abel,22 Apr 2022,★★★★½,True,
The Virgin Suicides,19 Apr 2022,★★★★½,True,
Booksmart,16 Apr 2022,★★★★,True,
Taxi Driver,16 Apr 2022,★★★★½,False,
Saw,16 Apr 2022,★★★,False,
American Psycho,16 Apr 2022,★★★★,True,
Fantastic Beasts: The Secrets of Dumbledore,16 Apr 2022,★★★★,False,
Project X,09 Apr 2022,★★★★,True,
Silent Night,02 Apr 2022,★★★★½,True,
Morbius,02 Apr 2022,★★★,False,
Fresh,19 Mar 2022,★★★★,True,
Belfast,14 Mar 2022,★★★★½,False,
Licorice Pizza,13 Mar 2022,★★★,False,
Uncharted,13 Mar 2022,★★★,False,
"I, Tonya",08 Mar 2022,★★★★,False,
The Batman,05 Mar 2022,★★★★½,True,
Parallel Mothers,04 Mar 2022,★★★,False,
West Side Story,04 Mar 2022,★★★★★,True,
The Power of the Dog,04 Mar 2022,★★★★,False,
White Oleander,03 Mar 2022,★★★★½,True,
Death on the Nile,18 Feb 2022,★★★,False,
Rifkin's Festival,12 Feb 2022,★★★,False,
Babyteeth,10 Feb 2022,★★★★½,True,
Hot Summer Nights,10 Feb 2022,★★★,False,
Before Sunrise,05 Feb 2022,★★★★,True,
Through My Window,04 Feb 2022,★★★,False,
Moonfall,03 Feb 2022,★★½,False,
The Lost Daughter,30 Jan 2022,★★★★★,True,
King Richard,30 Jan 2022,★★★½,False,
Spencer,28 Jan 2022,★★★★,False,
The Fallout,28 Jan 2022,★★★★,True,
Carrie,22 Jan 2022,★★★★★,True,
CODA,22 Jan 2022,★★★★,False,
The 355,22 Jan 2022,★★★½,False,
Scream 2,21 Jan 2022,★★★,False,
Ant-Man and the Wasp,15 Jan 2022,★★★½,False,
Sea Fever,15 Jan 2022,★★★★,False,
Kill Bill: Vol. 1,14 Jan 2022,★★★★,False,
Speak,14 Jan 2022,★★★★★,True,
Scream,14 Jan 2022,★★★★,False,
What Happens in Vegas,12 Jan 2022,★★★★,False,
Harry Potter 20th Anniversary: Return to Hogwarts,04 Jan 2022,,False,
Zodiac,30 Dec 2021,★★★★,False,
13 Going on 30,30 Dec 2021,★★★,True,
House of Gucci,29 Dec 2021,★★★★,True,
The Matrix Resurrections,25 Dec 2021,★★★★,True,
The Matrix Reloaded,25 Dec 2021,★★★,False,
Don't Look Up,24 Dec 2021,★★★★,True,
The Favourite,18 Dec 2021,★★★★,False,
Spider-Man: No Way Home,17 Dec 2021,★★★★★,True,
The Amazing Spider-Man,16 Dec 2021,★★★★,False,
Hawkeye,08 Dec 2021,★★★★½,False,
The Grand Budapest Hotel,06 Dec 2021,★★★★,True,
Gentlemen Prefer Blondes,05 Dec 2021,★★★★,True,
Thirteen,04 Dec 2021,★★★★★,True,
Mammal,03 Dec 2021,★★½,False,
Submarine Sandwich,02 Dec 2021,★★★★,False,
"tick, tick...BOOM!",01 Dec 2021,★★★★,False,
The DUFF,01 Dec 2021,★★½,False,
Ghostbusters: Afterlife,30 Nov 2021,★★★½,False,
Encanto,28 Nov 2021,★★★★½,True,
Pitch Perfect 2,27 Nov 2021,★★★,False,
Pitch Perfect,27 Nov 2021,★★★½,False,
Kill Bill: The Whole Bloody Affair,21 Nov 2021,★★★★,False,
Five Feet Apart,20 Nov 2021,★★★½,False,
Love Hard,19 Nov 2021,★★½,False,
Black Swan,19 Nov 2021,★★★★★,True,
Maze Runner: The Death Cure,19 Nov 2021,★★★★,True,
Fight Club,19 Nov 2021,★★★★★,True,
The Descendants,16 Nov 2021,★★★½,False,
Scarface,16 Nov 2021,★★★★,False,
Blade Runner 2049,15 Nov 2021,★★★★½,True,
