Movie,Date Watched,Rating,Liked,Review
Society of the Snow,11 Jan 2024,★★★★½,False,
Leave the World Behind,01 Jan 2024,★★★,False,
Saltburn,28 Dec 2023,★½,False,
The Holdovers,26 Dec 2023,★★★★,False,
May December,01 Dec 2023,★★★★½,True,"This movie was a pleasant surprise. Subtle, perfect control of tone, knew what it was and what it wanted to be."
No Hard Feelings,10 Nov 2023,★★★,False,
Bottoms,24 Sep 2023,★★★½,False,
Theater Camp,05 Aug 2023,★★★★★,True,
Oppenheimer,31 Jul 2023,★★★★★,True,
Barbie,23 Jul 2023,★★★★,False,
Chicago,12 Jul 2023,★★★★,False,
Aftersun,28 Jun 2023,★★★½,False,
Scream VI,09 Mar 2023,★★★★,True,
Elvis,08 Jan 2023,★★★½,False,
The Banshees of Inisherin,08 Jan 2023,★★★½,False,
Clue,28 Dec 2022,★★★★,True,
Glass Onion,27 Dec 2022,★★★★½,True,
TÁR,21 Nov 2022,★★★★★,False,
The Menu,18 Nov 2022,★★★,False,Absolutely loved this until the corny burger scene. Three stars and an eye roll.
My Policeman,15 Nov 2022,★★,False,
See How They Run,13 Nov 2022,★★★,False,
Triangle of Sadness,04 Nov 2022,★★★★★,True,
The Batman,17 Aug 2022,★★★★,True,
Death Becomes Her,17 Aug 2022,★★★★,False,
The Outfit,17 Aug 2022,★★★★,True,
Top Gun: Maverick,30 Jun 2022,★★★★,False,
The Power of the Dog,27 Mar 2022,★★★★½,False,
Nightmare Alley,26 Mar 2022,★★,False,
Spencer,14 Nov 2021,★★★½,False,
I Care a Lot,09 May 2021,½,False,
Ammonite,08 Apr 2021,★★,False,
Hedgehog in the Fog,29 Mar 2021,★★★½,False,
Three Days of the Condor,20 Dec 2020,★★★★,True,
The Prom,17 Dec 2020,★½,False,
To the Stars,30 Nov 2020,★★★★,True,
Happiest Season,29 Nov 2020,★★★★,True,
Bombshell,28 Nov 2020,★★★★,True,
Vita & Virginia,17 Nov 2020,★½,False,
"Where'd You Go, Bernadette",16 Nov 2020,★★★★½,True,
69: The Saga of Danny Hernandez,12 Nov 2020,★★★,False,
Scooby-Doo,28 Oct 2020,★★½,False,
A Bad Moms Christmas,22 Feb 2020,★★★½,False,
Freeheld,21 Feb 2020,★★★★,False,
Juno,21 Feb 2020,★★★★,False,
Super,21 Feb 2020,★★★,False,
Hard Candy,21 Feb 2020,★★★,False,
Inception,21 Feb 2020,★★★,False,
Whip It,21 Feb 2020,★★★★,True,
American Beauty,21 Feb 2020,★★★★,False,
The Virgin Suicides,21 Feb 2020,★★★★,False,
Eternal Sunshine of the Spotless Mind,21 Feb 2020,★★★★★,True,
The Graduate,21 Feb 2020,★★★★,False,
Us,17 Feb 2020,★★★★★,False,
Once Upon a Time… in Hollywood,17 Feb 2020,★★★,False,
Kill Bill: Vol. 1,13 Feb 2020,★★★★★,True,
The Silence of the Lambs,13 Feb 2020,★★★★★,True,

Followers
rafaelkzmv,jaden2798,laythtbaileh,thefilmmaster91,marshallonfilm_,vocloz,defile959,sleepysharon,dan_felix,emilyschnitker

Following
defile959,vocloz,mildredsfierce,belledejour,tucker_hazell,theskascsak,ashonfilm,sleepysharon,silencedhills,emilyschnitker
