Movie,Date Watched,Rating,Liked,Review
Sick of Myself,12 Jan 2024,★★★★,False,This so funny at times
Past Lives,10 Jan 2024,★★★,False,Slow.I am an immigrant but do not have a crush from my former country so maybe that's why I didn't get it
The 'Burbs,09 Jan 2024,★★★,False,
The King of Comedy,09 Jan 2024,★★★½,False,Never seen De Niro smile so much before
Emily,06 Jan 2024,★★★,False,I wish Anne Lister had made an appearance
The Quiet Girl,06 Jan 2024,★★★★,False,
The Lost Boys,05 Jan 2024,★★½,False,Wild
Alice Doesn't Live Here Anymore,05 Jan 2024,★★★★,False,Made me laugh
Sanctuary,02 Jan 2024,★★★,False,
Targets,01 Jan 2024,★★★½,False,
The Holdovers,25 Dec 2023,★★★★½,False,
Violent Night,24 Dec 2023,★½,False,
Krampus,24 Dec 2023,★★,False,
Jingle All the Way,24 Dec 2023,★★★,False,
National Lampoon's Christmas Vacation,22 Dec 2023,★★,False,
Poor Things,21 Dec 2023,★★★★½,False,Emma deserves 2 Oscars for this
The Driver,19 Dec 2023,★★★½,False,
Paint,10 Dec 2023,★★★★,False,Such a silly movie
Master Gardener,07 Dec 2023,★★★,False,Some truly awful dialogue in here
May December,06 Dec 2023,★★★★,False,
"They Shoot Horses, Don't They?",05 Dec 2023,★★★½,False,
Mrs. Harris Goes to Paris,03 Dec 2023,★★★★,False,
Killers of the Flower Moon,01 Dec 2023,★★★★,False,
Primal Fear,27 Nov 2023,★★★½,False,"Pretty solid, maybe a bit long"
Saltburn,27 Nov 2023,★★★,False,
Stand by Me,26 Nov 2023,★★★★,False,
NYAD,21 Nov 2023,★★★★,False,
The Others,20 Nov 2023,★★★★,False,
The Killer,10 Nov 2023,★★★,False,
How to Blow Up a Pipeline,08 Nov 2023,★★★½,False,
[REC],29 Oct 2023,★★★,False,
Hocus Pocus,29 Oct 2023,★★½,False,
Anatomy of a Fall,29 Oct 2023,★★★★½,False,
The Strangers,27 Oct 2023,★★,False,
Happy Death Day,24 Oct 2023,★★★★,False,Guessed it very early on but still fun
Poison,22 Oct 2023,★★★½,False,
The Swan,22 Oct 2023,★★★,False,
Killers of the Flower Moon,22 Oct 2023,★★★★,False,
The Mist,12 Oct 2023,★★★★,False,
Barbarian,08 Oct 2023,★★★★,False,
Totally Killer,08 Oct 2023,★★★★,False,
You're Next,08 Oct 2023,★★★★,False,
Murder Party,08 Oct 2023,★★★★,False,
The Rat Catcher,07 Oct 2023,★★★½,False,
The Wonderful Story of Henry Sugar,07 Oct 2023,★★★★½,False,
Stop Making Sense,03 Oct 2023,★★★★★,True,Loved seeing it in theaters
M3GAN,01 Oct 2023,★½,False,
The Toxic Avenger,30 Sep 2023,★★★,False,
Frankenweenie,30 Sep 2023,★★★,False,
Miriam Margolyes: Almost Australian,30 Sep 2023,★★★½,False,
Freaky,24 Sep 2023,★★★★,False,
Malignant,24 Sep 2023,★★★,False,
Lake Mungo,24 Sep 2023,★★★,False,
Deadstream,24 Sep 2023,★★★★,False,
The Ring,19 Sep 2023,★★★½,False,
A Haunting in Venice,17 Sep 2023,★★½,False,
The Exorcist,15 Sep 2023,★★★★,False,
Frailty,10 Sep 2023,★★½,False,
Extra Ordinary,03 Sep 2023,★★★★,False,
Dead Again,01 Sep 2023,★★,False,
The Vanishing,30 Aug 2023,★★★★,False,
Inside Man,19 Aug 2023,★★★★,False,
To Live and Die in L.A.,18 Aug 2023,★★★,False,
Breadcrumb Trail,18 Aug 2023,★★½,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,15 Aug 2023,★★★★,False,
Jodorowsky's Dune,13 Aug 2023,★★★★,False,
Sorcerer,12 Aug 2023,★★★★,False,
Talk to Me,29 Jul 2023,★★½,False,
