Movie,Date Watched,Rating,Liked,Review
Little Women,26 Dec 2023,★★★★★,True,They were in fact of average size fyi
Scrooged,26 Dec 2023,★★★½,False,Campy retelling of a classic. 
Alita: Battle Angel,26 Dec 2023,★,False,A movie with an indiscernible audience and cool visual FX
Wonka,24 Dec 2023,★★★½,False,Such a joyous time. May have cried a few times. 
Eileen,18 Dec 2023,★★★★½,False,“Cigarettes are Great”
Poor Things,17 Dec 2023,★★★★,False,Really really pretty
Only the Animals,15 Dec 2023,★★★½,False,* Catfishing conquers *wrapped in a nice little bow
The Princess Switch: Switched Again,06 Dec 2023,★★★,False,It should’ve been more like home alone
Saltburn,02 Dec 2023,★★★★,True,Honestly had a grand old time.
The Descent: Part 2,24 Nov 2023,★★★★½,False,"Honestly had the best time. The mirrored escape sequence at the end is Gorg.Every moment was earned.Just fab, man."
The Lost Boys,22 Nov 2023,★★★,False,glitter blood runs through my veins
The Descent,20 Nov 2023,★★★★,True,Wow. loved this. Women own the world.Cheaters should die.Vampires.Violence montages.True❤️
Knock at the Cabin,23 Oct 2023,★★½,False,
Dicks: The Musical,21 Oct 2023,★★★★,False,
Guardians of the Galaxy Vol. 3,04 Oct 2023,★★★,False,
Bones and All,04 Oct 2023,★★★★,False,
Practical Magic,29 Sep 2023,★★★,False,
A Haunting in Venice,25 Sep 2023,★★★,False,
Rotting in the Sun,20 Sep 2023,★★½,False,
The Nun,12 Sep 2023,★★,False,
Bottoms,07 Sep 2023,★★★★★,True,
Terrifier 2,25 Aug 2023,★½,False,
Talk to Me,24 Aug 2023,★★★★★,False,
Life After Beth,07 Aug 2023,★★★,False,
Shiva Baby,04 Aug 2023,★★★,False,
Barbie,24 Jul 2023,★★★,True,
Barbie,24 Jul 2023,★★★,True,
The Little Mermaid,11 Jul 2023,★★★★,False,
The Bling Ring,29 Jun 2023,★★★,False,
Gia,05 Jun 2023,★★★★,False,
Guardians of the Galaxy Vol. 3,11 May 2023,★★,False,
"Girl, Interrupted",09 May 2023,★★★½,False,
Poser,08 May 2023,★★★,False,
Orphan,03 May 2023,★★,False,
Orphan: First Kill,03 May 2023,★½,False,
Knife+Heart,26 Apr 2023,★★★★★,True,
Evil Dead Rise,21 Apr 2023,★★★,False,
In Fabric,21 Apr 2023,★★★,True,
Renfield,16 Apr 2023,★★½,False,
The Ballad of Genesis and Lady Jaye,31 Mar 2023,★★★★,False,
Dungeons & Dragons: Honor Among Thieves,31 Mar 2023,★★★,False,
Scream VI,12 Mar 2023,★★★★,False,
Under the Skin,11 Mar 2023,★★★★,False,
Spring Breakers,11 Mar 2023,★★★★★,False,
The Bitter Tears of Petra von Kant,06 Mar 2023,★★★★,False,
The Crazies,05 Mar 2023,★★★,False,
Birdman or (The Unexpected Virtue of Ignorance),28 Feb 2023,★★★★,False,
Ema,28 Feb 2023,★★★★★,False,
Ema,23 Feb 2023,★★★★★,False,
Three Colours: White,07 Feb 2023,★★★★,False,
Nocturne,26 Jan 2023,★★,False,
Skinamarink,19 Jan 2023,★★★★★,True,
The Haunting of Hill House,15 Jan 2023,★★★★★,False,
Midnight Mass,15 Jan 2023,★★★★,False,
Saint Maud,15 Jan 2023,★★★★,True,
M3GAN,08 Jan 2023,★★★★★,True,
The Menu,03 Jan 2023,★½,False,
Roald Dahl's Matilda the Musical,03 Jan 2023,★★★★★,True,
Babylon,02 Jan 2023,★★★★★,True,
Sucker Punch,28 Dec 2022,★★★★★,True,
Dune,27 Dec 2022,★★★★,False,
Zola,26 Dec 2022,★★★★★,True,
I'm Thinking of Ending Things,26 Dec 2022,★★★,False,
Luckiest Girl Alive,25 Dec 2022,★★,False,
Assassination Nation,12 Dec 2022,★★,False,
The Night House,27 Nov 2022,★★★★,False,

Followers
krishnasunder,reeceq,xsalley,jarjarthinks,astricker,therealcaitb,autechre69,hammyegg,queerpants

Following
krishnasunder,reeceq,sinwithoutgod,xsalley,jarjarthinks,astricker,autechre69,hammyegg,queerpants,therealcaitb
