Movie,Date Watched,Rating,Liked,Review
In the Heights,16 Jun 2021,★★½,False,i've romanticized the movies so much this year that i forgot that watching a bad movie in the theater makes you feel like a hostage
Shiva Baby,08 May 2021,★★★½,False,
The Father,02 May 2021,★★★★,True,
The Scary of Sixty-First,30 Apr 2021,,False,
Judas and the Black Messiah,24 Apr 2021,★★★½,False,
Minari,23 Apr 2021,★★★★★,True,
The Fly,20 Apr 2021,★★★★,True,david cronenberg lowkey went off here
Dead Ringers,18 Apr 2021,★★★★,False,
Repulsion,16 Apr 2021,★★★★,False,
Nomadland,13 Apr 2021,★★★★½,True,
Zack Snyder's Justice League,04 Apr 2021,★★,False,
Sound of Metal,25 Feb 2021,★★★★,True,
Castle in the Sky,20 Feb 2021,,False,
Interview with the Vampire,07 Feb 2021,★★★½,False,
Lovers Rock,06 Feb 2021,★★★★,True,
28 Days Later,02 Feb 2021,,False,
Children of Men,02 Feb 2021,★★★★★,True,
Borat Subsequent Moviefilm,16 Jan 2021,★★★½,False,
Promising Young Woman,13 Jan 2021,★★★,False,
Mangrove,11 Jan 2021,★★★★,True,
The Trial of the Chicago 7,10 Jan 2021,★★★½,False,
Rachel Getting Married,27 Dec 2020,★★★★★,True,
Mother,23 Dec 2020,★★★★,True,
Another Round,21 Dec 2020,★★★½,False,
Bad Education,19 Dec 2020,★★★★,True,
Uncle Frank,15 Dec 2020,★★,False,
GoodFellas,28 Nov 2020,★★★★½,True,
Happiest Season,26 Nov 2020,★★★,False,what did you expect
Orlando,08 Nov 2020,★★★★,True,
Cronos,24 Oct 2020,★★★½,False,
Tampopo,11 Oct 2020,★★★★½,True,
The Ice Storm,09 Oct 2020,★★★★★,True,
Perfect Blue,01 Oct 2020,★★★,False,
Adaptation.,28 Sep 2020,★★★★,True,
The Housemaid,14 Sep 2020,★★★★,False,cautionary tale about living above your means
Millennium Actress,13 Sep 2020,★★★,False,
Don't Look Now,13 Sep 2020,★★★★,True,
Spotlight,12 Sep 2020,★★★★,False,
I'm Thinking of Ending Things,06 Sep 2020,,True,
A Woman Under the Influence,05 Sep 2020,★★★,False,
Palm Springs,04 Sep 2020,★★★½,False,
Desert Hearts,03 Sep 2020,★★★½,False,
Certain Women,31 Aug 2020,★★★★,True,
The Matrix,23 Aug 2020,★★★★,False,
Love & Basketball,22 Aug 2020,★★★★½,True,
Rashomon,20 Aug 2020,★★★★,False,
The Insider,19 Aug 2020,★★★★½,True,
All About Eve,07 Aug 2020,★★★★★,True,
Shirley,02 Aug 2020,★★★★½,True,
Dirty Computer,29 Apr 2018,★★★★,False,
Maborosi,10 Apr 2018,,False,
Yi Yi,03 Apr 2018,★★★★★,True,
In the Mood for Love,08 Mar 2018,★★★★★,True,
Happy Together,07 Mar 2018,★★★★,True,
Ashes of Time,06 Mar 2018,★★,False,
A City of Sadness,01 Mar 2018,,False,
The Legend of Fong Sai Yuk,20 Feb 2018,★★★★,True,
Early Summer,13 Feb 2018,★★★★,True,
The Power of Kangwon Province,08 Feb 2018,★★★½,False,
Memories of Murder,07 Feb 2018,★★★★,True,
Too Many Ways to Be No. 1,06 Feb 2018,★★★,False,
Dust in the Wind,01 Feb 2018,,False,
"He's a Woman, She's a Man",30 Jan 2018,★★★★,True,
Peking Opera Blues,25 Jan 2018,★★★½,False,
Y Tu Mamá También,25 Jan 2018,★★★★★,True,
Paddington 2,23 Jan 2018,★★★★,True,Excellent pro-bear propaganda. Almost made me forget my extremely rational fear of bears.
The Post,19 Jan 2018,★★★★,True,
Phantom Thread,16 Jan 2018,★★★★★,True,
Once,14 Jan 2018,★★★★½,True,
Paterson,14 Jan 2018,★★★½,False,This is just to sayThat I've eaten the notebookThat you left on the sofaEven though you were probably hoping to Xerox those poemsForgive meYour words were deliciousSo crispAnd so light-Marvin
Breathe,14 Jan 2018,★★★★,False,
Clouds of Sils Maria,14 Jan 2018,★★★★,True,
mother!,13 Jan 2018,★★½,False,
Kingsman: The Secret Service,10 Jan 2018,★★★★,True,
"Three Billboards Outside Ebbing, Missouri",09 Jan 2018,★★★★,False,
Miss Stevens,07 Jan 2018,★★★★,True,
The Shape of Water,06 Jan 2018,★★★½,False,
Bad Genius,03 Jan 2018,★★★★,False,
The Incredible Jessica James,02 Jan 2018,★★★,False,
Women Who Kill,02 Jan 2018,★★★½,False,
Star Wars: The Last Jedi,28 Dec 2017,★★★★,True,got milk @lukeskywalker
It Comes at Night,26 Dec 2017,★★★,False,
Mudbound,25 Dec 2017,★★★½,False,
Call Me by Your Name,25 Nov 2017,★★★★★,True,
The Killing of a Sacred Deer,25 Nov 2017,★★★★½,True,"A stranger yelled at me for laughing too hard during the screening. Another stranger immediately came to my defense, followed by a chorus of cheers.I don't know if the movie deserves this many stars, but the experience definitely did."
The Florida Project,24 Nov 2017,★★★★,True,
Tokyo Drifter,21 Nov 2017,★★★,False,
Raise the Red Lantern,16 Nov 2017,★★★★★,True,
Lady Bird,16 Oct 2017,★★★★,True,
The Big City,10 Oct 2017,★★★★½,True,
Pather Panchali,10 Oct 2017,★★★★★,True,
High and Low,26 Sep 2017,★★★★,True,
Yojimbo,26 Sep 2017,★★★½,False,
Magnolia,26 Sep 2017,★★★★★,True,
Chungking Express,26 Sep 2017,★★★★½,True,
Blind Chance,19 Sep 2017,★★★★★,True,
A Short Film About Love,19 Sep 2017,★★★★,True,
The Edge of Heaven,17 Sep 2017,★★★★½,True,
On the Occasion of Remembering the Turning Gate,16 Sep 2017,★★★★½,True,
Taipei Story,13 Sep 2017,★★★½,False,
Duck Season,12 Sep 2017,★★★★,True,
Lake Tahoe,12 Sep 2017,★★★★,True,
"Comrades, Almost a Love Story",10 Sep 2017,★★★★,False,
Beasts of the Southern Wild,06 Sep 2017,★★★★,False,
The Rules of the Game,05 Sep 2017,★★★★,False,
Good Time,30 Aug 2017,★★★★,True,
Columbus,14 Aug 2017,★★★,False,
Dunkirk,12 Aug 2017,★★★★½,True,
In a Heartbeat,10 Aug 2017,★★★,False,
The Big Sick,09 Aug 2017,★★★★,True,
Walk the Line,03 Aug 2017,★★★★,False,
The Beguiled,29 Jul 2017,★★★★,False,
Baby Driver,22 Jul 2017,★★★★,False,
To the Bone,14 Jul 2017,★★★,False,
Spider-Man: Homecoming,08 Jul 2017,★★★★,False,
Big Little Lies,21 May 2017,★★★★★,False,
Carol,19 May 2017,★★★★½,True,
The Handmaiden,17 May 2017,★★★★,False,
Lovesong,17 May 2017,★★★★,True,"There's a profound stillness to this film. The camera lingers on every close up, refusing to release us from the moment. It's in these pauses, these instances of arrested longing, that we comprehend the roiling emotions under the surface of every glance. Unspoken yearning, articulated only in the slightest of winces, the shrug of a shoulder, the twitch of an eyebrow. To pull away would be to miss the seismic shift of emotion, communicated in the flicker of a smile."
Water Lilies,15 May 2017,★★★½,True,
Main Hoon Na,10 May 2017,★★★★½,False,
Polyester,08 May 2017,★★★★,False,
Women on the Verge of a Nervous Breakdown,06 May 2017,★★★★,True,
The Tin Drum,02 May 2017,★★★½,False,I don't need Wikipedia to tell me that David Lynch LOVES this movie
Dancer in the Dark,01 May 2017,★★★★★,True,it hurts so good
