Movie,Date Watched,Rating,Liked,Review
Barbarian,08 Jan 2024,★,False,how did I rate this four stars initially
Grimsby,01 Dec 2023,★½,False,
Entergalactic,14 Nov 2023,★★★,False,
The Killer,12 Nov 2023,,False,
Twin Peaks: Fire Walk with Me,07 Nov 2023,,True,
El Camino: A Breaking Bad Movie,04 Nov 2023,,False,
Brüno,27 Oct 2023,★★★★,True,
Who Is America?,26 Oct 2023,★★★★★,True,hell yeah
Borat Subsequent Moviefilm,24 Oct 2023,★★★½,True,
Hellraiser,23 Oct 2023,,False,"if you think mortal kombat fatalities are scary, watch this"
Killers of the Flower Moon,20 Oct 2023,★★★★,False,
Terrifier 2,10 Oct 2023,★★★,True,
About Dry Grasses,08 Oct 2023,★★★★,True,
The Raid,28 Sep 2023,,True,
Cure,24 Sep 2023,★★★½,True,
Talk to Me,17 Sep 2023,,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,02 Sep 2023,★★★★★,True," boy this was fucking amazing I can't wait to rewatch this without dubs I had to watch it in dubs bc that's how it is with ""childrens films"" in turkey. but, this was like, so fucking good. the turtles were teen af, haven't seen them be all this spesific in a long long time. I love how they weren't who they wanted like in the 2008 film but just kinda pretending to be their cool versions. leo is hilarious (only… "
In Fabric,02 Sep 2023,★,False,could barely get through this. fucking no.
Bringing Out the Dead,30 Aug 2023,,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,28 Aug 2023,★★★★★,True," boy this was fucking amazing I can't wait to rewatch this without dubs I had to watch it in dubs bc that's how it is with ""childrens films"" in turkey. but, this was like, so fucking good. the turtles were teen af, haven't seen them be all this spesific in a long long time. I love how they weren't who they wanted like in the 2008 film but just kinda pretending to be their cool versions. leo is hilarious (only… "
Bones and All,26 Aug 2023,,False,stopped watching at the last hour and idc
Invincible: Atom Eve,25 Aug 2023,★★★½,True,
Gummo,24 Aug 2023,★★★,True,how is this anyones debut?
Two Lovers,16 Aug 2023,,False,come on bro
Krisha,30 Jul 2023,,False,
After Hours,30 Jul 2023,★★★★★,True,
The Mother and the Whore,28 Jul 2023,★★★★,True,
The Flute,11 Jun 2023,★★★★★,True,i love this film so much
Beau Is Afraid,09 Jun 2023,★★★★,True,
Spider-Man: Across the Spider-Verse,08 Jun 2023,★★★★,True,
Fractured,21 May 2023,★★★½,False,
Donadona,20 May 2023,★★★★,False,cool script
Glassy Stares,20 May 2023,★★★½,False,
HyperNormalisation,10 Apr 2023,★★★★,True,
The Lord of the Rings: The Two Towers,11 Mar 2023,★½,False,literally feels like watching an ant war
The Lord of the Rings: The Fellowship of the Ring,10 Mar 2023,★★,False,mid
Puss in Boots: The Last Wish,15 Feb 2023,★★★★,True,
Everything Everywhere All at Once,16 Jan 2023,★★★★★,True,
Guillermo del Toro's Pinocchio,01 Jan 2023,★★★★★,True,
Glass Onion,25 Dec 2022,★★★,False,
Avatar: The Way of Water,19 Dec 2022,★½,False,
Stiletto,15 Dec 2022,½,False,
Eat Your Catfish,15 Dec 2022,★★★★★,True,
Decision to Leave,13 Dec 2022,★★★★★,True,
Free Solo,10 Dec 2022,★★★★,True,
Burning Days,09 Dec 2022,★★★★,True,
Carnal Knowledge,02 Dec 2022,★★★★,True,
Jennifer's Body,02 Dec 2022,,False,
Sick of Myself,09 Nov 2022,★★★★★,True,
Barbarian,08 Nov 2022,★★★★,False,how did I rate this four stars initially
Ivy,04 Nov 2022,★★★★½,True,
Triangle of Sadness,01 Nov 2022,★★★★½,True,
Swallow,31 Oct 2022,★★★½,False,
The Bones,31 Oct 2022,★★★★★,True,
Smile,15 Oct 2022,½,False,
The Dark Knight,11 Oct 2022,★★½,True,
Doctor Sleep,19 Sep 2022,★★½,False,
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),19 Sep 2022,★,False,
The Descent,04 Sep 2022,★★★★,True,
21 Jump Street,03 Sep 2022,,False,
Busy Bodies,26 Aug 2022,★★★½,True,
Nathan for You: Finding Frances,25 Aug 2022,★★★★★,True,
Nope,19 Aug 2022,★★★,False,
The Invisible Man,18 Aug 2022,,False,
The Death of Dick Long,18 Aug 2022,★★★½,True,
Prey,09 Aug 2022,★★★,False,
Angel Heart,08 Aug 2022,★★★,True,
Dog Day Afternoon,05 Aug 2022,★★★★½,True,
The Lighthouse,04 Aug 2022,★★★★★,True,
Honeymoon,30 Jul 2022,★★★★,True,
After Hours,30 Jul 2022,★★★★★,True,
This Is the End,28 Jul 2022,★★★★★,True,
Krisha,28 Jul 2022,,False,
Heat,27 Jul 2022,★★★★½,True,
Riki-Oh: The Story of Ricky,26 Jul 2022,★★★★★,True,
Dog Day Afternoon,24 Jul 2022,★★★★½,True,
Riki-Oh: The Story of Ricky,23 Jul 2022,★★★★★,True,
The Rental,21 Jul 2022,★★★,False,
Pinocchio,15 Jul 2022,★★★★,True,
Minions: The Rise of Gru,06 Jul 2022,,False,
The Black Phone,01 Jul 2022,★★★½,True,
C'mon C'mon,30 Jun 2022,★★★★★,True,
Kung Fu Panda,29 Jun 2022,★★★★★,True,
Donald Glover: Weirdo,24 Jun 2022,,False,
The Sacrament,22 Jun 2022,★★½,False,
Batman Returns,20 Jun 2022,★★★,True,
Maniac,20 Jun 2022,★★★,False,
mother!,16 Jun 2022,★★★,False,
Naked Lunch,14 Jun 2022,,True,
Top Gun: Maverick,12 Jun 2022,★★,False,
The Art of Self-Defense,10 Jun 2022,★★★½,True,
Men,03 Jun 2022,,False,
Donnie Darko,03 Jun 2022,★,False,
Human Nature,01 Jun 2022,★★★,False,
Adaptation.,01 Jun 2022,★★★★★,True,
Thunder Road,31 May 2022,★★★★★,True,
Good Time,31 May 2022,★★★★½,True,
The Texas Chain Saw Massacre,31 May 2022,★★★★★,True,
Drag Me to Hell,30 May 2022,★★★★,True,
The Wolf of Wall Street,29 May 2022,★★★,False,
Lux Æterna,28 May 2022,★★★★★,True,
Everything Everywhere All at Once,25 May 2022,★★★★★,True,
Jackass 4.5,24 May 2022,★★★★,True,
Red Rocket,22 May 2022,★★★★,True,
Vortex,21 May 2022,★★★,False,
Pinocchio,20 May 2022,★★★★,True,
964 Pinocchio,14 May 2022,★★★,True,
The Worst Person in the World,13 May 2022,★★,False,
Doctor Strange in the Multiverse of Madness,09 May 2022,★,False,
Titane,08 May 2022,½,False,
"Oslo, August 31st",08 May 2022,★★★½,True,
My Fat Arse and I,29 Apr 2022,,False,
The Northman,23 Apr 2022,★★,False,
Time of the Wolf,22 Apr 2022,★★★½,False,
Bad Cat,21 Apr 2022,★★★★,True,
After Yang,20 Apr 2022,★★★★½,True,
Batman: Year One,19 Apr 2022,★★★½,True,
Kerr,18 Apr 2022,★½,False,
Wiener-Dog,18 Apr 2022,★★★★,True,
Dark Horse,18 Apr 2022,★★★½,False,
The Comedy,16 Apr 2022,★★★½,True,
X,14 Apr 2022,★★½,False,
Falling Down,14 Apr 2022,★★★½,True,
Ambulance,12 Apr 2022,★★★,False,
Swiss Army Man,11 Apr 2022,★★★★½,True,
Everything Everywhere All at Once,10 Apr 2022,★★★★★,True,
Super Dark Times,09 Apr 2022,★★★½,True,
Everything Everywhere All at Once,07 Apr 2022,★★★★★,True,
The Beta Test,05 Apr 2022,★★★★,True,
Cape Fear,05 Apr 2022,★★★★,True,
Hereditary,03 Apr 2022,★★★★★,True,
