Movie,Date Watched,Rating,Liked,Review
Far from Heaven,15 Jan 2024,★★★★,False,
Alice Doesn't Live Here Anymore,14 Jan 2024,★★★★½,False,
Self Reliance,14 Jan 2024,★★★½,False,
The Unknown Country,13 Jan 2024,★★★,False,
Poor Things,12 Jan 2024,★★★★,False,
Matthias & Maxime,11 Jan 2024,★★★,False,Harris Dickinson doing the dab then talking about the downfall of monogamy was an insane choice
The Act,11 Jan 2024,★★★★½,False,
John Wick,07 Jan 2024,★★★★,False,
Superstar: The Karen Carpenter Story,06 Jan 2024,★★★★,False,Karen Carpenter will have her revenge !!!
Good Grief,06 Jan 2024,★★½,False,title says it all. however props to whoever did the poster !
Society of the Snow,04 Jan 2024,★★★★½,False,
Eileen,03 Jan 2024,★★★★,False,
One Fine Morning,02 Jan 2024,★★★★,False,The freeze frame at the end was definitely a choice LOL. Regardless I really liked this movie. It’s sensitive and delicate; the epitome of springtime in Paris🌷🍃
How to Have Sex,01 Jan 2024,★★★★½,False,"An insane directorial debut!!! While How To Have Sex has the same grit and anxiety-inducing experience as Spring Breakers, it also has the empathetic/familiar material Korine lacks imo. Happy with my first watch of 2024 🤓"
The Persian Version,26 Dec 2023,★★★,False,
Ricky Gervais: Armageddon,26 Dec 2023,★★½,False,
The Iron Claw,26 Dec 2023,★★★★½,False,
99 Homes,25 Dec 2023,★★★,False,
Good Time,25 Dec 2023,★★★★,False,105 minutes full of quests
Full Time,25 Dec 2023,★★★★,False,
Maestro,24 Dec 2023,★★★½,False,
Happy Christmas,24 Dec 2023,★★★½,False,it’s a mumblecore christmas!
Dream Scenario,24 Dec 2023,★★★★,False,
Anatomy of a Fall,23 Dec 2023,★★★★,False,
When Evil Lurks,19 Dec 2023,★★½,False,Devious spirits aren’t in my wheelhouse unfortunately
Saltburn,18 Dec 2023,★★★½,False,"predictable, impassive….. Would just rewatch Metropolitan instead. the montages and music were fun though"
Children of Men,16 Dec 2023,★★★★½,False,
Joyland,13 Dec 2023,★★★★,False,
Firecrackers,12 Dec 2023,★★★,False,
Cat Person,11 Dec 2023,★★★½,False,
The Fighter,10 Dec 2023,★★★★,False,
R.M.N.,10 Dec 2023,★★★½,False,
Riceboy Sleeps,09 Dec 2023,★★★★★,False,
Leave the World Behind,08 Dec 2023,★★★½,False,
Return to Seoul,08 Dec 2023,★★★★,False,
"Great Photo, Lovely Life",07 Dec 2023,★★★★,False,
Good Boys,06 Dec 2023,★★★★,False,
Frybread Face and Me,05 Dec 2023,★★★½,False,
Nebraska,04 Dec 2023,★★★★★,False,
Tom at the Farm,04 Dec 2023,★★★½,False,
Earth Mama,03 Dec 2023,★★★★,False,
Nick Mullen: The Year of the Dragon,03 Dec 2023,★★★½,False,
May December,01 Dec 2023,★★★★½,False,
Love Has Won: The Cult of Mother God,30 Nov 2023,★★★★,False,
The Teachers’ Lounge,28 Nov 2023,★★★★,False,
The Dirties,26 Nov 2023,★★★★,False,
Christine,26 Nov 2023,★★★★,False,
Inglourious Basterds,23 Nov 2023,★★★★★,False,
Montana Story,22 Nov 2023,★★★,False,
Heaven Knows What,20 Nov 2023,★★★,False,
The Ice Storm,19 Nov 2023,★★★½,False,
The Holdovers,18 Nov 2023,★★★★★,False,"See, I come from BostonI'm gonna tell y'all about how I love New England, it's my favorite placeAnd I've been all around the world, but I love New England bestI might be prejudiced, but it's true, I love New England best"
Mutt,17 Nov 2023,★★★½,False,
Shortcomings,17 Nov 2023,★★★★,False,
Stranger Than Paradise,14 Nov 2023,★★★½,False,
Thirst Street,13 Nov 2023,★★★½,False,
Dumb Money,12 Nov 2023,★★★½,False,
Palmer,12 Nov 2023,★★★★,False,
The Piano Teacher,11 Nov 2023,★★★,False,
The Holdovers,11 Nov 2023,★★★★★,False,"See, I come from BostonI'm gonna tell y'all about how I love New England, it's my favorite placeAnd I've been all around the world, but I love New England bestI might be prejudiced, but it's true, I love New England best"
The Killer,11 Nov 2023,★★★½,False,
Spotlight,09 Nov 2023,★★★★½,False,
The Color Wheel,08 Nov 2023,★★★,False,
Never Rarely Sometimes Always,07 Nov 2023,★★★★½,False,
Quiz Lady,07 Nov 2023,★★★½,False,
NYAD,05 Nov 2023,★★★,False,
Priscilla,04 Nov 2023,★★★★,False,
The Royal Hotel,04 Nov 2023,★★★★,False,
Spider-Man: Across the Spider-Verse,01 Nov 2023,★★★★,False,
Five Nights at Freddy's,30 Oct 2023,★★½,False,
Mutual Appreciation,25 Oct 2023,★★★½,False,
Beeswax,24 Oct 2023,★★★★,False,
Slacker,23 Oct 2023,★★★½,False,
Margot at the Wedding,22 Oct 2023,★★★½,False,
The Innocents,21 Oct 2023,★★★½,False,
Tahara,21 Oct 2023,★★★,False,
Killers of the Flower Moon,21 Oct 2023,★★★★★,False,
Fair Play,16 Oct 2023,★★★½,False,
Bait,16 Oct 2023,★★★,False,
Anatomy of a Fall,15 Oct 2023,★★★★,False,
Totally Killer,15 Oct 2023,★★★½,False,
The Fall of the House of Usher,14 Oct 2023,★★★★,False,
Passages,08 Oct 2023,★★★★,False,
Night Moves,07 Oct 2023,★★★½,False,
The Watcher,06 Oct 2023,★★½,False,
Certain Women,05 Oct 2023,★★★★½,False,
Sully,02 Oct 2023,★★★★,False,
Poison,01 Oct 2023,★★★★,False,
Flora and Son,29 Sep 2023,★★★★,False,The SOPHIE reference was insane
The Rat Catcher,29 Sep 2023,★★★½,False,
The Swan,29 Sep 2023,★★★★,False,
Celeste & Jesse Forever,28 Sep 2023,★★★½,False,
The Wonderful Story of Henry Sugar,27 Sep 2023,★★★,False,
Maggie's Plan,26 Sep 2023,★★★½,False,
Crazy Heart,25 Sep 2023,★★★★,False,
Dinner with Friends,24 Sep 2023,★★★,False,
No One Will Save You,23 Sep 2023,★★★,False,
Bottoms,23 Sep 2023,★★★★½,False,
Nights and Weekends,21 Sep 2023,★★½,False,
Jules,20 Sep 2023,★★★½,False,
The Watermelon Woman,19 Sep 2023,★★★★,False,
The Deer Hunter,18 Sep 2023,★★★★,False,
The Passenger,17 Sep 2023,★★★,False,
Love at First Sight,17 Sep 2023,★★★,False,
Theater Camp,16 Sep 2023,★★★★,False,
Shortcomings,12 Sep 2023,★★★★,False,
United 93,10 Sep 2023,★★★★,False,
You Can Live Forever,10 Sep 2023,★★★★½,False,
Sitting in Bars with Cake,09 Sep 2023,★★★½,False,
My Big Fat Greek Wedding,07 Sep 2023,★★★★½,False,
Shane Gillis: Beautiful Dogs,06 Sep 2023,★★★★½,False,
As You Are,04 Sep 2023,★★★½,False,
"Anne at 13,000 Ft.",30 Aug 2023,★★★½,False,
Actual People,29 Aug 2023,★★★★,False,
Metropolitan,28 Aug 2023,★★★★,False,
Telemarketers,28 Aug 2023,★★★★½,False,
Past Lives,27 Aug 2023,★★★★½,False,
You Are So Not Invited to My Bat Mitzvah,26 Aug 2023,★★★★,False,
War Pony,25 Aug 2023,★★★★,False,
Boy Erased,20 Aug 2023,★★★★,False,
After,19 Aug 2023,★½,False,
The Adults,16 Aug 2023,★★★★,False,
No Hard Feelings,15 Aug 2023,★★★★,False,
Funny People,14 Aug 2023,★★★½,False,
"Red, White & Royal Blue",12 Aug 2023,★★★,False,
It Felt Like Love,03 Aug 2023,★★★,False,
Beach Rats,02 Aug 2023,★★★,False,
Talk to Me,30 Jul 2023,★★★★,False,
Lean on Pete,30 Jul 2023,★★★★½,False,
Joy Ride,29 Jul 2023,★★★½,False,
Barbie,28 Jul 2023,★★★★,False,
Oppenheimer,23 Jul 2023,★★★★★,False,
Asteroid City,13 Jul 2023,★★★★½,False,
The Starling Girl,12 Jul 2023,★★★★½,False,
Martha Marcy May Marlene,11 Jul 2023,★★★½,False,
The Keepers,11 Jul 2023,★★★★,False,
Black Mirror: Demon 79,08 Jul 2023,★★★★,False,
Sanctuary,08 Jul 2023,★★★½,False,
A Thousand and One,07 Jul 2023,★★★★★,False,
Biosphere,07 Jul 2023,★★★,False,
Showing Up,06 Jul 2023,★★★★,False,
Little Children,04 Jul 2023,★★★★½,False,
The Civil Dead,03 Jul 2023,★★★★,False,
BlackBerry,02 Jul 2023,★★★★,False,
I Like Movies,02 Jul 2023,★★★★½,False,
Run Rabbit Run,01 Jul 2023,★★,False,
Still Alice,01 Jul 2023,★★★★,False,
Take Care of Maya,01 Jul 2023,★★★½,False,
Reality,30 Jun 2023,★★★★,False,
Beau Is Afraid,30 Jun 2023,★★★½,False,
You Hurt My Feelings,24 Jun 2023,★★★★½,False,
Of an Age,17 Jun 2023,★★★★,False,
Portrait of a Lady on Fire,17 Jun 2023,★★★★½,False,
The Inspection,17 Jun 2023,★★★★,False,
Other People,03 Jun 2023,★★★★,False,
The Glass Castle,02 Jun 2023,★★★,False,
"Are You There God? It's Me, Margaret.",20 May 2023,★★★★,False,
Air,13 May 2023,★★★★,False,
How to Blow Up a Pipeline,12 May 2023,★★★★,False,
The Year Between,02 May 2023,★★★,False,
Temple Grandin,30 Apr 2023,★★★★,False,
Soft & Quiet,29 Apr 2023,★★★★,False,
Wildflower,29 Apr 2023,★★★,False,
Greenberg,23 Apr 2023,★★★,False,
Life of Crime 2,22 Apr 2023,★★★★,False,
One Year in a Life of Crime,22 Apr 2023,★★★½,False,
A Good Person,22 Apr 2023,★★★,False,
Keep Sweet: Pray and Obey,19 Apr 2023,★★★★,False,
American Manhunt: The Boston Marathon Bombing,17 Apr 2023,★★★½,False,
BEEF,08 Apr 2023,★★★★½,False,
Pinball: The Man Who Saved the Game,02 Apr 2023,★★★,False,
Tetris,01 Apr 2023,★★★½,False,
Rye Lane,01 Apr 2023,★★★★,False,
Daisy Jones & the Six,29 Mar 2023,★★★★½,False,
Shin Godzilla,25 Mar 2023,★★★,False,
Zero Fucks Given,20 Mar 2023,★★★½,False,
Fourteen,19 Mar 2023,★★★★,False,
All My Friends Hate Me,19 Mar 2023,★★★,False,
Lovesong,15 Mar 2023,★★★★,False,
Cocaine Bear,14 Mar 2023,★★★½,False,
Close,12 Mar 2023,★★★★,False,
Ice Merchants,11 Mar 2023,★★★★½,False,
"The Boy, the Mole, the Fox and the Horse",11 Mar 2023,★★★★,False,
Caveat,11 Mar 2023,★★½,False,
Bruiser,10 Mar 2023,★★★★,False,
A Man Called Otto,09 Mar 2023,★★★★,False,
River of Grass,08 Mar 2023,★★★,False,
Old Joy,07 Mar 2023,★★★★½,False,I love the Lucy universe …
Missing,07 Mar 2023,★★★½,False,
Palm Trees and Power Lines,06 Mar 2023,★★★★,False,
Le Pupille,06 Mar 2023,★★★★,False,
Chris Rock: Selective Outrage,05 Mar 2023,★★★★,False,
The Strays,03 Mar 2023,★★½,False,
Murdaugh Murders: A Southern Scandal,01 Mar 2023,★★★,False,
The Whale,28 Feb 2023,★★★★,False,
Knock at the Cabin,28 Feb 2023,★★★,False,
My Year of Dicks,18 Feb 2023,★★★★½,False,
Last Days,18 Feb 2023,★★½,False,
Stolen Youth: Inside the Cult at Sarah Lawrence,16 Feb 2023,★★★½,False,
Mickey and the Bear,15 Feb 2023,★★★★,False,
SALEM: Midwest Side Story,15 Feb 2023,★★,False,
Wendy and Lucy,14 Feb 2023,★★★★,False,
Softness of Bodies,13 Feb 2023,★★★,False,
Hannah Ha Ha,12 Feb 2023,★★★★,False,
Somebody I Used to Know,11 Feb 2023,★★★½,False,
The Good House,08 Feb 2023,★★★½,False,
Take This Waltz,07 Feb 2023,★★★★,False,
When You Finish Saving The World,06 Feb 2023,★★★½,False,
"Alice, Darling",04 Feb 2023,★★★½,False,
M3GAN,04 Feb 2023,★★★½,False,
Skinamarink,03 Feb 2023,★★½,False,
Empire Falls,01 Feb 2023,★★★½,False,
Guillermo del Toro's Pinocchio,31 Jan 2023,★★★★,False,
Fire of Love,30 Jan 2023,★★★½,False,
The Sea Beast,30 Jan 2023,★★★½,False,
Scrapper,29 Jan 2023,★★★★,False,
Infinity Pool,28 Jan 2023,★★★½,False,
Hello I Must Be Going,27 Jan 2023,★★★,False,
You People,27 Jan 2023,★★★½,False,
To Leslie,26 Jan 2023,★★★★½,False,
I Believe in Unicorns,25 Jan 2023,★★★,False,
Aftersun,24 Jan 2023,★★★★★,False,
Puss in Boots: The Last Wish,22 Jan 2023,★★★★,False,
Shane Gillis: Live in Austin,22 Jan 2023,★★★★,False,
Marcel the Shell with Shoes On,18 Jan 2023,★★★★★,False,
Normal People Confessions,17 Jan 2023,★★★★,False,
Normal People,17 Jan 2023,★★★★★,False,
"Good Luck to You, Leo Grande",15 Jan 2023,★★★★,False,
The Pale Blue Eye,14 Jan 2023,★★★½,False,
Irrational Man,13 Jan 2023,★★★,False,
The Drop,13 Jan 2023,★★★½,False,
The Menu,03 Jan 2023,★★★★,False,
This Place Rules,01 Jan 2023,,True,
"Confess, Fletch",31 Dec 2022,★★★★,False,
White Noise,30 Dec 2022,★★★½,False,
Troll,29 Dec 2022,★★½,False,
Fleishman Is in Trouble,29 Dec 2022,★★★★½,False,
Roald Dahl's Matilda the Musical,28 Dec 2022,★★★½,False,
The Fabelmans,25 Dec 2022,★★★★½,False,
Aftersun,24 Dec 2022,★★★★★,False,
Zola,24 Dec 2022,★★★★,False,
Set It Up,23 Dec 2022,★★★★,False,
Glass Onion,23 Dec 2022,★★★★,False,
Who Killed Santa? A Murderville Murder Mystery,17 Dec 2022,★★★½,False,
The Fabelmans,16 Dec 2022,★★★★½,False,
The Banshees of Inisherin,14 Dec 2022,★★★★,False,
Bones and All,13 Dec 2022,★★★★,False,
Something from Tiffany's,11 Dec 2022,★★★½,False,
Decision to Leave,11 Dec 2022,★★★½,False,
Force Majeure,10 Dec 2022,★★★★½,False,
Petite Maman,09 Dec 2022,★★★★½,False,
Frances Ha,08 Dec 2022,★★★★½,False,
She Said,07 Dec 2022,★★★★,False,
TÁR,06 Dec 2022,★★★★,False,
7 Days,04 Dec 2022,★★★,False,
American Factory,04 Dec 2022,,True,
Jerry & Marge Go Large,03 Dec 2022,★★★,False,
Ben Is Back,03 Dec 2022,★★★½,False,
Triangle of Sadness,01 Dec 2022,★★★★,False,
My So-Called High School Rank,30 Nov 2022,,True,
Call Jane,29 Nov 2022,★★★,False,
Meet Me in the Bathroom,28 Nov 2022,,True,
Don't Worry Darling,25 Nov 2022,★★½,False,
Armageddon Time,24 Nov 2022,★★★½,False,
If Beale Street Could Talk,14 Nov 2022,★★★★½,False,
A Tree of Life: The Pittsburgh Synagogue Shooting,09 Nov 2022,,True,
From Scratch,08 Nov 2022,★★★★½,False,
All Quiet on the Western Front,05 Nov 2022,★★★★,False,
Causeway,04 Nov 2022,★★★★,False,
Emily the Criminal,02 Nov 2022,★★★★,False,
The Good Nurse,01 Nov 2022,★★★½,False,
Ticket to Paradise,28 Oct 2022,★★½,False,
Barbarian,27 Oct 2022,★★★★½,False,
The Patient,25 Oct 2022,★★★½,False,
Pearl,22 Oct 2022,★★★★½,False,
A Love Song,20 Oct 2022,★★★★½,False,
Bros,19 Oct 2022,★★★★,False,
God's Creatures,17 Oct 2022,★★★½,False,
Luckiest Girl Alive,16 Oct 2022,★★★,False,
Dahmer – Monster: The Jeffrey Dahmer Story,07 Oct 2022,★★★★,False,
Blonde,29 Sep 2022,★★★★,False,
Bullet Train,28 Sep 2022,★★★,False,
Bodies Bodies Bodies,23 Sep 2022,★★★★,False,
Do Revenge,21 Sep 2022,★★½,False,
Sins of Our Mother,19 Sep 2022,★★★,False,
Vengeance,10 Sep 2022,★★★½,False,
Where the Crawdads Sing,07 Sep 2022,★★½,False,
The Daytrippers,05 Sep 2022,★★★★½,False,
We're All Going to the World's Fair,03 Sep 2022,★★★½,False,
Aftersun,03 Sep 2022,★★★★★,False,
