Movie,Date Watched,Rating,Liked,Review
Air,13 Jan 2024,★★★,False,I hope to one day have as much money as this movie's music budget
The Holdovers,06 Jan 2024,★★★½,False,What a lovely time watching this was
May December,06 Jan 2024,★★★,False,Dramatic piano best supporting actor
Maestro,03 Jan 2024,★★★½,False,The shot of Felicia next to a curtain in the giant shadow of Leonard conducting while Adagietto from Mahler's 5th plays...CINEMA!!!
Chicken Run: Dawn of the Nugget,30 Dec 2023,,False,I thought they for real threw Tweety in the grinder and I was about to be like damn... that was dark
Wonka,25 Dec 2023,★★★★,False,
It's a Wonderful Life,25 Dec 2023,★★★★★,True,
Hannah Waddingham: Home for Christmas,25 Dec 2023,,False,*Phil Dunster crush intensifies*
White Christmas,22 Dec 2023,★★★★★,True,
Doctor Who: The Giggle,13 Dec 2023,,False,
Doctor Who: Wild Blue Yonder,12 Dec 2023,,False,
Waitress: The Musical,11 Dec 2023,,True,
The Boy and the Heron,10 Dec 2023,,False,
Doctor Who: The Star Beast,03 Dec 2023,,False,
Little Women,01 Dec 2023,★★★★★,True,
How the Grinch Stole Christmas,25 Nov 2023,,False,
Elf,25 Nov 2023,★★★★★,True,
The King's Speech,22 Nov 2023,★★★½,False,It's been said a million times but this winning over The Social Network and Black Swan even Toy Story 3 is not right.
Winter's Bone,17 Nov 2023,★★★,False,
The Marvels,12 Nov 2023,,True,
True Grit,05 Nov 2023,★★★½,False,
Toy Story 4,04 Nov 2023,★★★,False,
Cats Don't Dance,01 Nov 2023,,False,
Hocus Pocus,31 Oct 2023,,True,
The Nightmare Before Christmas,31 Oct 2023,,False,
Toy Story 3,26 Oct 2023,★★★★★,True,
The Social Network,22 Oct 2023,★★★★½,True,
Toy Story 2,21 Oct 2023,,False,
Scream VI,20 Oct 2023,,False,
Scream,20 Oct 2023,,False,
Toy Story,18 Oct 2023,★★★★★,True,
Casper,14 Oct 2023,,True,
Miss Congeniality,14 Oct 2023,★★★★★,True,
The Kids Are All Right,06 Oct 2023,★★,False,My friends and I have a podcast where we chat about movies. Listen to our episode about The Kids Are All Right - here audioboom.com/posts/8388610-oscar-rewind-the-kids-are-all-right
Loki,04 Oct 2023,★★★★★,False,
Mean Girls,03 Oct 2023,★★★★★,True,
God of Love,27 Sep 2023,,False,
Inception,24 Sep 2023,★★★★★,True,Wow I haven't seen this since it came out and man does it hold up. I'm so glad I saw it in theaters
War for the Planet of the Apes,23 Sep 2023,★★★★,False,
Dawn of the Planet of the Apes,23 Sep 2023,★★★★★,True,
Rise of the Planet of the Apes,23 Sep 2023,★★★★½,True,
Beauty and the Beast,23 Sep 2023,,True,
The Fighter,19 Sep 2023,★★,False,This won over Hailee Steinfeld in True Grit??? Oh ok
STILL: A Michael J. Fox Movie,09 Sep 2023,,False,
Black Swan,27 Aug 2023,★★★★★,False,"WOW this is way better then I remember! The score, the choreography, the costumes, Natalie Portman!!! all blended beautifully"
Scooby-Doo,27 Aug 2023,★★★★★,True,
Degrassi Goes Hollywood,22 Aug 2023,,False,
Onward,19 Aug 2023,,False,
127 Hours,16 Aug 2023,★★★,False,James Franco’s best film
Shang-Chi and the Legend of the Ten Rings,06 Aug 2023,★★★★★,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,05 Aug 2023,,True,
Oppenheimer,05 Aug 2023,★★★★,False,
Toy Story,30 Jul 2023,,True,
Secret Invasion,26 Jul 2023,★★,False,
Barbie,24 Jul 2023,★★★★★,True,
Puss in Boots: The Last Wish,23 Jul 2023,★★★★★,True,
The Artist,19 Jul 2023,★★★★,False,
Mission: Impossible – Dead Reckoning Part One,15 Jul 2023,,False,
BEEF,15 Jul 2023,,False,
War Horse,12 Jul 2023,★★★★,False,
Scream 4,04 Jul 2023,,False,
The Tree of Life,02 Jul 2023,★★★★★,True,
Moneyball,18 Jun 2023,★★,False,
A Goofy Movie,18 Jun 2023,★★★★★,True,
The Menu,16 Jun 2023,★★★★,True,
Midnight in Paris,04 Jun 2023,★★,False,
Spider-Man: Across the Spider-Verse,03 Jun 2023,,True,
Fast X,21 May 2023,,False,
Dungeons & Dragons: Honor Among Thieves,20 May 2023,★★★★★,True,
Sunday,20 May 2023,,False,
Hugo,20 May 2023,★★★★,False,
A Morning Stroll,19 May 2023,,False,
Guardians of the Galaxy Vol. 3,12 May 2023,,False,
The Help,11 May 2023,★★★★,False,
Extremely Loud & Incredibly Close,05 May 2023,★★★,False,
La luna,02 May 2023,,False,
The Descendants,26 Apr 2023,★★★,False,
The Super Mario Bros. Movie,23 Apr 2023,,False,
Dungeons & Dragons: Honor Among Thieves,18 Apr 2023,★★★★★,True,
Shrek 2,31 Mar 2023,★★★★★,True,
Shrek,31 Mar 2023,★★★★★,True,
The Maze Runner,26 Mar 2023,,True,
A Celebration of the Music from Coco,18 Mar 2023,,True,
Encanto at the Hollywood Bowl,18 Mar 2023,,True,
Encanto,18 Mar 2023,,True,
Making of The Last of Us,13 Mar 2023,,False,
Hope,13 Mar 2023,,True,
The Lizzie McGuire Movie,12 Mar 2023,★★★★★,True,
Women Talking,03 Mar 2023,★★★★,False,
Triangle of Sadness,27 Feb 2023,★★,False,
Top Gun: Maverick,24 Feb 2023,★★★½,False,
TÁR,20 Feb 2023,★★★★½,True,
Ant-Man and the Wasp: Quantumania,18 Feb 2023,★★★,False,
House Comes with a Bird,16 Feb 2023,,False,
Of an Age,15 Feb 2023,★★★★,False,
The Fabelmans,12 Feb 2023,★★★½,False,
Everything Everywhere All at Once,06 Feb 2023,★★★★★,True,
"The Boy, the Mole, the Fox and the Horse",04 Feb 2023,★★★★,False,
Elvis,03 Feb 2023,★★½,False,
The Banshees of Inisherin,28 Jan 2023,★★★★½,True,
All Quiet on the Western Front,26 Jan 2023,★★★,False,
Hustle,21 Jan 2023,★★★★,False,
Avatar: The Way of Water,17 Jan 2023,★★½,False,
Puss in Boots: The Last Wish,09 Jan 2023,★★★★★,True,
Glass Onion,06 Jan 2023,★★★½,False,
Spring Awakening: Those You've Known,05 Jan 2023,,False,
The Banshees of Inisherin,03 Jan 2023,★★★,True,
The Wedding Singer,27 Dec 2022,,True,
Puss in Boots: The Last Wish,25 Dec 2022,★★★★★,True,
The Guardians of the Galaxy Holiday Special,23 Dec 2022,,False,
Prep & Landing: Naughty vs. Nice,23 Dec 2022,,False,
Prep & Landing,23 Dec 2022,,False,
The Nutcracker,23 Dec 2022,,True,
It's a Wonderful Life,22 Dec 2022,★★★★★,True,
Home Alone 2: Lost in New York,19 Dec 2022,★★★★★,True,
Avatar,18 Dec 2022,★★,False,
White Christmas,16 Dec 2022,★★★★★,True,
Beauty and the Beast: A 30th Celebration,15 Dec 2022,,False,
Howl's Moving Castle,10 Dec 2022,,False,
Ponyo,10 Dec 2022,,False,
Top Gun: Maverick,09 Dec 2022,★★★,False,
Home Alone,07 Dec 2022,★★★★★,True,
Savage X Fenty Show Vol. 4,06 Dec 2022,,False,
Arthur Christmas,05 Dec 2022,,False,
The Muppet Christmas Carol,02 Dec 2022,,False,
The Santa Clause,02 Dec 2022,,False,
The Hip Hop Nutcracker,01 Dec 2022,,False,
The Guardians of the Galaxy Holiday Special,29 Nov 2022,,False,
Spirited,28 Nov 2022,★★★★★,True,
Secrets in the Wilderness,27 Nov 2022,,False,
Elf,26 Nov 2022,★★★★★,True,
Jingle All the Way,26 Nov 2022,,True,
Pocahontas,25 Nov 2022,,False,
Coco,24 Nov 2022,★★★★★,True,
Encanto,24 Nov 2022,,True,
A Charlie Brown Thanksgiving,24 Nov 2022,,False,
A Goofy Movie,23 Nov 2022,,True,
Turning Red,23 Nov 2022,,False,
Disenchanted,22 Nov 2022,★★,False,
Elton John Live: Farewell from Dodger Stadium,21 Nov 2022,,False,
Enchanted,20 Nov 2022,,False,
Black Panther: Wakanda Forever,13 Nov 2022,,False,
Hotel Transylvania: Transformania,12 Nov 2022,,False,
Hotel Transylvania 3: Summer Vacation,12 Nov 2022,,False,
Hotel Transylvania 2,12 Nov 2022,,False,
Enola Holmes 2,05 Nov 2022,,False,
Enola Holmes,04 Nov 2022,★★★★★,False,
Werewolf by Night,22 Oct 2022,,False,
Casper,22 Oct 2022,,True,
Don't Worry Darling,19 Oct 2022,★★½,False,
Scream 3,18 Oct 2022,,False,
Scream 2,18 Oct 2022,,False,
Hocus Pocus 2,13 Oct 2022,,False,
She-Hulk: Attorney at Law,12 Oct 2022,,False,
The Wedding Singer,09 Oct 2022,,True,
